"dc_title","dc_writer","writer_ip","dc_date"
"파이썬코드는 뭔가 장황한 느낌이없네","병자신바 "," ","05.08"
"왜 프로그래머가 최적화를 해야하냐같은 질문이나오는걸보면","통암기공부법 "," ","05.08"
"근데 프로그래머가 왜 최적화를 해야하냐","ㅇㅇ ","27.113 ","05.08"
"위키라는분은 적이참 많네요","신이라불리는자 "," ","05.08"
"P=NP라는게 무슨 뜻임??","ㅇㅇ ","175.112 ","05.08"
"숏코딩하지마라","ㅇㅇ ","211.219 ","05.08"
"파이썬 숏코딩 재밌누","병자신바 "," ","05.08"
"언리얼 엔진","스티븐존슨 ","121.133 ","05.08"
"배그 한일전 -- 겜에서도 나오는 종특 ㅇㅇ","♨2.85™ "," ","05.08"
"프린이 진지하게 질문좀","ㅇㅇ ","58.239 ","05.08"
"어플 만들어서 대박나고싶은데","ㅇㅇ ","222.234 ","05.08"
"위키 차단은 지능순","ㅇㅇ ","175.113 ","05.08"
"파이썬이랑 자바스크립트 이것만 잘해도 취직가능하냐 ?","ㅇㅇ ","175.211 ","05.08"
"오 방금 신기한거 발견함","사가와큐슈 "," ","05.08"
"내가 ㅁㅁ인데","ㅋㄷ ","119.195 ","05.08"
"이제야 위키 차단했다.","고양아 "," ","05.08"
"퇴근 합니다","젖은장작 ","106.133 ","05.08"
"행님들 자바스크립트 입문책좀 추천드려요","장작패기 ","121.141 ","05.08"
"Union-Find 문제좀 풀어도","ㅇㅇ ","211.232 ","05.08"
"미국이나 일본에서 IT취업할떄 유리한 경력이나 이력이뭐임?","asfd ","175.126 ","05.08"
"정신나간 여자가 한 명 더 있는데","ㅋㄷ ","119.195 ","05.08"
"정신나간 여자가 한 명 있었는데","ㅋㄷ ","119.195 ","05.08"
"S.LSI 취업했는데 의사 못 됐다고 아빠가 ㅄ취급","ㅋㄷ ","119.195 ","05.08"
"대체 보안이 왜 핫한지 모르겠음","ㅇㅇ ","110.70 ","05.08"
"클리너 무료 없냐?","ㅇㅇ ","116.37 ","05.08"
"씻고 이세계 콰르텟 봐야징 ㅋ","bluepick "," ","05.08"
"css는 공부해봤자 디자인 쌈박하게 못만들잔아","543543 "," ","05.08"
"내가 평소에는 쌤쑹 졸라 까는 사람 중에 한명인데..","♨2.85™ "," ","05.08"
"당연한 얘기를 하고 있어","Cloud땔감dz ","117.111 ","05.08"
"담주부터 한주간 오랫만에 전반적으로 주가 분석이나 해볼까 ?","♨2.85™ "," ","05.08"
"좀 현실에서 존나 까이고싶다","병자신바 "," ","05.08"
"이성의 끈을 놓고 여자에게 돌진 뒹굴고싶다 엄청난기세로 짐승이 되고싶다","ㅇㅇ ","175.211 ","05.08"
"winapi에서 그래픽 그릴때마다 계속해서 dc를 얻어야하나요?","ㅇㅇ ","110.70 ","05.08"
"컴공가면 코딩 안알랴줌?","ㅇㅇ ","183.107 ","05.08"
"삼성 SDS 직원 13,000명에 1년 영업이익 7000억 실화냐?ㅋㅋㅋ","ㅇㅇ ","14.52 ","05.08"
"C언어 잘하는 게이 구한다. 이기","ㅇㅇ ","121.145 ","05.08"
"샘숭 안드커널연구는 어디서함","병자신바 "," ","05.08"
"웹사이트에서 뒤로가기 다른행도으로 조작하는거 개씨발극혐임","ㅇㅇ ","165.132 ","05.08"
"3대 국내 빡머가리 IT기업","ㅇㅇ ","14.52 ","05.08"
"와진짜 내가 이걸 3년걸려서 결국따냄","정처기맨 ","175.223 ","05.08"
"삼숭SDS = 글로벌 하청업체","ㅇㅇ ","14.52 ","05.08"
"인간은 왜 잘난척 하는걸 좋아할까","신이라불리는자 "," ","05.08"
"레디스 고수 님들 도와주세요","ㅇㅇ ","39.7 ","05.08"
"자바 채팅프로그램 난이도가 어떻게 됨?","Zkim ","122.43 ","05.08"
"존잘선배","ㄷㄷ ","39.7 ","05.08"
"프로그래머 적성 많이타서 취업이 잘되는듯","ㅇㅇ ","175.113 ","05.08"
"천재프로그래머가 되고싶다","ㅇㅇ ","222.119 ","05.08"
"책 값 아끼는거 너무 궁상 맞은 짓인가?","학부 ","119.149 ","05.08"
"초코냥이 춧천 해준 책 왔당.","♨2.85™ "," ","05.08"
"프갤 처음인데 걸러야할것좀 알려주세요","XOR.EAX,EAX "," ","05.08"
"죽어","급진 ","175.223 ","05.08"
"셎토스 영문판인지 확인하는 방법좀 알려주세요","ㅇㅇ ","175.223 ","05.08"
"웹 프론트 그냥 GUI 라 생각하면 되는거 아니냐?","김대중 ","119.149 ","05.08"
"리액트 고수분들 질문 할게여","선물공룡디보 ","61.109 ","05.08"
"컴과 2학년인데 오목도 제대로 못만들겠다","ㅇㅇ ","110.70 ","05.08"
"X같다","자괴남 ","175.223 ","05.08"
"돈이 부질없는게","자괴남 ","175.223 ","05.08"
"월 실소득 250만원 받아도 욜로하면 진짜 개꿀인생임","ㅇㅇ ","175.211 ","05.08"
"테라라는 한국 코인 아쇼 이후로 40배 떡상한 거 아냐","Thunnini "," ","05.08"
"redis 읽기 락 어떻게해요?","ㅇㅇ ","39.7 ","05.08"
"오늘도 죽음의공부간다","신이라불리는자 "," ","05.08"
