"noun","n"
"케이콘",44
"콘서트",41
"굿즈",38
"레카",35
"이번",26
"트와이스",26
"오늘",25
"시발",22
"스탠딩",21
"크롭티",19
"트갤",19
"슬로건",17
"찍덕",17
"구역",16
"모모",16
"카메라",15
"캔디봉",15
"옷걸이",14
"효갓이",14
"효갓아",13
"노래",12
"만원",12
"사람",12
"영이",12
"입갤",12
"첫콘",12
"커버",12
"다현",11
"딸기",11
"라부",11
"양도",11
"크롭탑",11
"무대",10
"왤케",10
"원스",10
"일본",10
"팬시",10
"포카",10
"휴지",10
"귀걸이",9
"리얼리티",9
"지효",9
"텅텅텅텅텅",9
"틋스타",9
"다음",8
"마지막",8
"뭔데",8
"바디로션",8
"언제",8
"우리",8
"주말",8
"티켓",8
"나연이",7
"남자",7
"떡밥",7
"링크",7
"몇시",7
"뱃지",7
"사과문",7
"스포",7
"시간",7
"실화",7
"온라인",7
"중계",7
"체조콘",7
"카라카",7
"트붕이",7
"하나",7
"가능",6
"뉴디봉",6
"병신",6
"쇼퍼백",6
"어디",6
"예올예",6
"외장하드",6
"용이",6
"젯디봉",6
"챙이",6
"트갤슬로건",6
"티셔츠",6
"파우치",6
"피땀눈물",6
"거찍리스트",5
"구매",5
"굿즈는",5
"굿즈리스트",5
"나봉쓰",5
"돔투어",5
"등장",5
"라부리",5
"맨날",5
"반지",5
"쓰레기단",5
"엔딩",5
"여권지갑",5
"정도",5
"케이스",5
"퀵스냅",5
"트레이딩카드",5
"트와이스가",5
"트위치",5
"틋진",5
"파워뱅크",5
"홀더",5
"각도",4
"개콘",4
"거북이",4
"걸그룹",4
"결혼충",4
"공식",4
"공식슬로건",4
"기차",4
"김다현",4
"깊갤",4
"나봉",4
"댓글",4
"디자인",4
"딸기티",4
"라쿠텐",4
"리스트",4
"머리",4
"무선키보드",4
"민트향",4
"방석이",4
"병신들",4
"병신새끼",4
"보닌",4
"브이앱",4
"사과",4
"생중계",4
"시발년",4
"아이즈원",4
"아이피",4
"아침",4
"어그",4
"어제",4
"여덕",4
"여자",4
"연습",4
"응원법",4
"이유",4
"이젠",4
"일코",4
"자기",4
"저놈",4
"정연",4
"좆목",4
"차단",4
"추천좀",4
"케콘",4
"쿠우",4
"키보드",4
"킹름법",4
"트갤에",4
"트레이닝복",4
"트붕이들",4
"틋피스",4
"필요",4
"현장",4
"화질",4
"확정",4
"효갓",4
"갱이",3
"구디봉",3
"국내",3
"그놈",3
"기차요청",3
"나시간",3
"나중",3
"낰낰",3
"다님",3
"다들",3
"다행",3
"당일날",3
"대리",3
"대박",3
"더쿠",3
"들어오지마",3
"리프트",3
"링크좀",3
"막대사탕",3
"목소리",3
"문제",3
"뭔디",3
"미래",3
"밀당",3
"바느질",3
"바인더",3
"박제",3
"밥한끼",3
"방송",3
"본무대",3
"본인",3
"불도저",3
"불후의명곡",3
"사야",3
"사이즈",3
"사장님",3
"서울",3
"소리",3
"스페셜",3
"신분증",3
"실검",3
"아마존",3
"안나",3
"앨범",3
"어디서봄",3
"얼굴",3
"엘홀더",3
"영상",3
"예스",3
"오프",3
"요청기차",3
"원가양도",3
"이것",3
"이벤트",3
"이상",3
"자리",3
"작년",3
"저번",3
"정리",3
"좌표",3
"질문",3
"쯔위",3
"최고",3
"카메라맨",3
"캔디보이",3
"캔디봉사",3
"콘테스트",3
"클렌징",3
"타갤주",3
"토요일",3
"트갤에서",3
"퍄퍄",3
"펜타곤",3
"평가좀",3
"표정",3
"프로미스",3
"하트",3
"한국",3
"한남아",3
"한번",3
"해체하면",3
"호텔",3
"가격",2
"가능성",2
"가능함",2
"가방",2
"가수",2
"가입",2
"가족사진",2
"가즈아",2
"각이",2
"강아지옷",2
"개꿀잼",2
"개시발",2
"거기",2
"거찍",2
"검사하면",2
"고싶은거",2
"곡수많다고",2
"공항",2
"과자땡기",2
"교환",2
"구매하",2
"굿즈살거",2
"귀여움",2
"귀엽누",2
"그것",2
"그만좀",2
"꼴데팬들은",2
"나라",2
"나연이랑",2
"나오는거",2
"나죽어",2
"난리났네",2
"남한",2
"냄받",2
"냄비받침",2
"네임드",2
"넹글넹글",2
"노트북파우치",2
"누군가",2
"눈물",2
"뉴비",2
"니네",2
"니애미걸고",2
"다구리",2
"다시",2
"다음주",2
"단톡방",2
"달라달라",2
"대구",2
"덕분",2
