"noun","n"
"다현",67
"트갤",25
"오늘",22
"토스",21
"실검",20
"념글",19
"트와이스",18
"퀴즈",16
"생일",14
"피아노",14
"난이도",12
"포카",12
"초성",11
"콘서트",11
"트덕후",11
"틋스타",11
"노래",10
"만원",10
"모모",10
"사진",10
"순대",10
"시발",10
"원스",10
"입갤",10
"행시",10
"어디",9
"이번",9
"팩트",9
"다현생일축하해",8
"단톡방",8
"미나",8
"소스",8
"어제",8
"언제",8
"찍덕",8
"하나",8
"하와이",8
"김다현",7
"다현아",7
"된장찌개",7
"스탠딩",7
"영상",7
"탕수육",7
"토스퀴즈",7
"혐카리",7
"개추",6
"뉴비",6
"둡시",6
"본인",6
"사람",6
"스타",6
"이온워터",6
"검색",5
"다들",5
"대박",5
"두부",5
"보닌",5
"애초",5
"여기",5
"여자",5
"이벤트",5
"이행시",5
"작년",5
"저번",5
"저새끼",5
"찍덕이",5
"체조",5
"토스아재",5
"트갤에",5
"틋토리",5
"가사",4
"거찍",4
"다음",4
"메모",4
"부계",4
"블랙리스트",4
"빛콘",4
"쌈장",4
"앵콜",4
"영이",4
"올해",4
"우리",4
"유동",4
"음악중심",4
"이시간",4
"중국인",4
"지효",4
"차단",4
"팬미팅",4
"페이지",4
"한번",4
"휴가",4
"거찍리스트",3
"관심",3
"기억",3
"나고야",3
"나눔러들",3
"당첨",3
"동생",3
"디시",3
"딸기",3
"또또",3
"레전드",3
"링링링",3
"마지막",3
"맨날",3
"명단",3
"몇개",3
"묘시",3
"문구",3
"문제",3
"뭔데",3
"민초",3
"박제",3
"사나",3
"사랑해",3
"삭제",3
"성지순례글",3
"시간",3
"실화",3
"아이폰",3
"아이피",3
"어그",3
"얼마",3
"예올예",3
"오프",3
"요즘",3
"요청",3
"응모",3
"이름",3
"이용자메모",3
"재미",3
"저녁",3
"저새",3
"정답",3
"주경기장",3
"중상",3
"질문",3
"질문좀",3
"첫콘",3
"총대",3
"카톡",3
"컴갤",3
"크롭티",3
"탑솩",3
"태준이",3
"테일즈위버",3
"트갤럼들",3
"트갤에서",3
"트붕이들",3
"트붕이들이",3
"팬즈",3
"하트립",3
"하트립도",3
"한명",3
"협상갤",3
"활동",3
"회사",3
"가수",2
"갓직히",2
"같은거",2
"개새끼들",2
"갤창",2
"갱이",2
"걸그룹",2
"고닉",2
"공개",2
"공식",2
"광고",2
"굿즈",2
"궁금한거",2
"그갤",2
"그것",2
"급식",2
"기생충",2
"까지",2
"나도념글보내줘잉",2
"나라",2
"나오는거",2
"남자",2
"념글은",2
"념딸러",2
"누나",2
"눈팅",2
"뉴비들",2
"다현이",2
"단톡들가기",2
"도배",2
"도중",2
"되는거",2
"둡갤",2
"둡스타",2
"둡이",2
"둡이랑",2
"둡탄절",2
"드랍더비트",2
"들이",2
"디간거",2
"디씨",2
"떡밥",2
"리메이크됨",2
"리스트",2
"링삼",2
"링크",2
"매니저",2
"매장",2
"멤버",2
"모모사",2
"모모시",2
"모사",2
"모시모시",2
"목격짤",2
"못감",2
"미국",2
"미나시",2
"발련들",2
"병신",2
"병신들",2
"병신들이",2
"병크",2
"뻔뻔",2
"사생",2
"사실",2
"새끼들",2
"생각",2
"샤인어라이트",2
"서재패",2
"서재페",2
"서트",2
"선물",2
"설리받는법",2
"세상",2
"섹시",2
"소감",2
"소금아",2
"소똥",2
"소리",2
"수록곡",2
"순서",2
"스밍찍",2
"스크린",2
"슬로건",2
"시발새끼",2
"신청곡",2
"실명",2
"아이디",2
"아파트",2
"안함",2
"야구",2
"어느정도",2
"어보셈",2
"억억억",2
"얼굴",2
"엄마",2
"여덕",2
"연세대",2
"연주",2
"예전",2
"우리둡",2
"원스들",2
"윾스타",2
"윾시",2
"음식",2
"음식이름",2
"의미",2
"의외",2
"이것",2
"이넘",2
"이상",2
"인증",2
"일반",2
"있는거",2
"자살",2
"자신",2
"정보",2
"제목",2
"조장풍",2
"좆목",2
"좌석",2
"좌표",2
"죄송한데",2
"지랄",2
"찍덕들",2
"찍덕중에",2
"찍먹충들",2
"찍먹충들은",2
"처음",2
"체크바지",2
"첼시",2
"초성퀴즈",2
"최근",2
"축구",2
"치킨",2
"카톡프사",2
"캔디봉",2
"커뮤니티",2
"키크면",2
"킹카",2
"탈모",2
"턴잇업",2
"트갤럼",2
"트갤이",2
"트와이스시",2
"틴페",2
"틴페스타",2
"틴페스티벌",2
"팬즈는",2
"피아노치",2
"하면",2
