"dc_title","dc_writer","writer_ip","dc_date"
"하이볼 마실 때 얼음 소리 좋아","체벨 ","175.113 ","05.08"
"어떤새끼가 하이볼 알려준거야 하 쒸불...","ZODIAC "," ","05.08"
"간만에 술 새로사고 후회가 없는건 오랜만이네","ㅇㅇ ","211.202 ","05.08"
"머임 여기서 나만 미래 허물어서 노는거였슴?","늒네야 "," ","05.08"
"구와앙악 블루문 뭔맛으로 먹냐","ㅇㅇ ","223.33 ","05.08"
"40분만에 꿀주 16잔 마시고 필름끊겼는데","ㅇㅇ ","183.99 ","05.08"
"형들 로마에서 bdm 못구해요??","GR2 "," ","05.08"
"솔직히 바에서 민폐끼치는 인싸들은 쪼까내더됨","소고기＃U＃U "," ","05.08"
"난 인싸들도 다희 데려가는데","체벨 ","175.113 ","05.08"
"4캔 만원중 하나좀 추천해줘","ㅇㅇ ","117.111 ","05.08"
"다희 인싸피케이션 너무 심하다","ㅇㅇ ","59.17 ","05.08"
"위스키 공병 세척은어케해야할까요","넘야해 "," ","05.08"
"좀 이상하게 들릴지 모르겠지만 질문 좀","해츨링 "," ","05.08"
"진토닉 마시고 아쉬운데 하이볼 마실까?","체벨 ","175.113 ","05.08"
"탱커레이 120ml에 취기 올라 먼저 잔다","ㅇㅇ ","175.223 ","05.08"
"소주 좋아하는 아부지께 무슨 와인이 좋을까요","까동이 "," ","05.08"
"봄베이를 진정으로 즐기는 사람은 천재인 듯 ","ㅇㅇ ","175.223 ","05.08"
"막걸리 맥주 다 막겠는데 소주는 못먹겠더라","ㅇㅇ ","58.239 ","05.08"
"혼자 감성에 젖어 술마시기 괜찮은곳좀..","ㅇㅇ ","218.144 ","05.08"
"캔달잭슨 가볍게 먹기ㄱㅊ음?","ㅇㅇ ","211.36 ","05.08"
"탱커토닉 마시며 남자의취미 채널 보다가 들은 생각","ㅇㅇ ","175.223 ","05.08"
"부산 삐에로에는 보타니스트 있으려나","스테비아 "," ","05.08"
"치킨이랑 먹울 편의점먁주 하나만 추천좀","병력 "," ","05.08"
"근데 곤약은 왜 안팔어","스테비아 "," ","05.08"
"위스키 생년 빈티지","아이우에오 ","121.164 ","05.08"
"님들아 코르크 바사삭 안할라면 매일 30초 정도 뒤집어주면댐?","소고기＃U＃U "," ","05.08"
"곧 엔젤스 넥타르 피트를 시음하겠습니다","ㅇㅇ ","211.202 ","05.08"
"롯데마트 지점별로 행사 다른거","ㅇㅇ ","221.156 ","05.08"
