"dc_title","dc_writer","writer_ip","dc_date"
"뉴비 질문점","ㅇㅇ ","220.122 ","05.08"
"디트가 갑자기 갤길 싹다 쟁걸고 패면 어떡할거냐니들","ㅇㅇ ","211.246 ","05.08"
"복커 늒네 잠재력 97 / 157 있는데 머부터 해야하누?","뺙뺙. "," ","05.08"
"아두 각인하는게 좋음?","초보토끼 "," ","05.08"
"생활 지금 뭐하야됨?","dd "," ","05.08"
"디트가 짭쌔 아레나한테 졌으면 어떻게됬을지 궁금하다","ㅇㅇ ","39.7 ","05.08"
"유툰귀쌍이 먼저냐 동단델이먼저냐","ㅇㅇ ","211.110 ","05.08"
"요즘은 유트도 크론트하냐?","땀내 "," ","05.08"
"생활 돌려도 전투 경험치 차냐?","ㅁㄴㅇㅁㄴㅇㄴㅁㅇㄴㅁㅇ ","110.10 ","05.08"
"늒네 위치할래!","ㅇㅇ ","118.44 ","05.08"
"근데 지금 보스템들 다 드랍해서먹은거임 산거임?","ㅇㅇ3 ","119.193 ","05.08"
"2070ti 나오면 사려는데","ㅇㅇ ","119.194 ","05.08"
"갤길은 왜 다 초식길드됬냐 로어빼고 ","ㅇㅇ ","211.246 ","05.08"
"위치에서 아처로 갈아탄 이유.txt","ㅇㅇ ","121.150 ","05.08"
"거래소 대기 순서대로임?","ㅇㅇ ","58.77 ","05.08"
"530에 유입되는 유저 30퍼는 데리고 갈 수 있겠지?","ㅇㅇ ","119.194 ","05.08"
"뉴비한테 위자치 추천하는새끼들은 ㄹㅇ 개좆같은새끼들임","ㅇㅇ ","220.70 ","05.08"
"공합 665 면 상위몇퍼냐","1 ","117.111 ","05.08"
"뉴비인데 5 30일까지 아무것도하기싫음","ㅇㅇ ","175.115 ","05.08"
"좋은사료 300개 돌렸는데 파란색 하나도 안주는거 실화임?","ㅇㅇ ","119.193 ","05.08"
"다크나이트어떰??","ㅇㅇ ","118.44 ","05.08"
"금기의서랑 고유결 팔기vs한입껴서 하기","늒네충 ","58.121 ","05.08"
"고보스 템 주는거 보고 복귀할려고","ㅇㅇ ","122.47 ","05.08"
"드랍 50프로 체감 안된다고 한거 취소..",".. ","175.214 ","05.08"
"솔직히 위치 뉴비한테 추천한건","ㅋ_ㅋ ","175.223 ","05.08"
"복귀각 잡는데 280공이면 요즘 어느정도냐?","ㅇㅁㅇ ","211.114 ","05.08"
"요정한테 곧 대가리 깨질 로어","ㅇㅇ ","223.62 ","05.08"
"이전템 유보스 - 550 인데, 600 짜리 계정 얼마임?","ㅇㅇ ","211.36 ","05.08"
"칼바람할사람","다람쥐킹 "," ","05.08"
"와우!!!!!!!!!!!!!!!!!!! 쒸벌 이전하면 저거 다 주는거냐","ㅇㅇ ","1.237 ","05.08"
"복귀충인데 무슨 초승이 2천에 오반이 6천따리냐?????","ㅇㅇ ","39.7 ","05.08"
"316방으로는 심해힘듬?","1235 ","112.153 ","05.08"
"호미나 도끼질할려면 자본금얼마나있어야함?","ㅇㅇ ","182.31 ","05.08"
"사냥 이벤트 체감 엄청나네","석재빌런 "," ","05.08"
"항해러 자칭하려면 숙련 몇정도 되야함??","dd ","119.207 ","05.08"
"매화 거점킬딸 어떰?","1235 ","112.153 ","05.08"
"8억가지고 호미질할려는대 사야될거 추천좀","ㅇㅇ ","182.31 ","05.08"
"아원래 아크만이 이렇개 아팟나","땀내 "," ","05.08"
"일베길드 현황","유리코스타 "," ","05.08"
"노드 일꾼 정리하다 포기","ㅇㅇ ","223.62 ","05.08"
"그래서 씨발300/370은 얼마냐고","ㅇㅇ ","39.118 ","05.08"
"금기의 서 이거 혼자까도 수익 나옴?","ㅇㅇ ","223.39 ","05.08"
"계정값으로 싸우는 형들에게 참고.","ㅇㅇ ","212.103 ","05.08"
"이게임은 장비 귀속임??","ㅇㅇ ","118.44 ","05.08"
"로어가 길드냐 씨발 좆가은 새키들이","ㅇㅇ ","39.7 ","05.08"
"아니 로어 씹새끼들진짜 뭐라는거냐","ㅇㅇ ","39.7 ","05.08"
"알피지겜 해볼려는데","ㅇㅇ ","175.199 ","05.08"
"이전서비스 개좆같네","ㅇㅇ ","223.38 ","05.08"
"25살 지잡대생인데 근로장려금?신청하라드라","ㅇㅇ ","1.228 ","05.08"
"로어 똥휴지 대장이 글러먹은점","ㅇㅇ ","39.7 ","05.08"
"액박패드쓴느애들아... 진동이 안멈춰","조상철 "," ","05.08"
"위치 유저 많음?? 위치 어느정도 캐릭터인가요??","ㅇㅇ ","118.44 ","05.08"
"영국보다 프랑스가 예술적이고 화려한이유가 모임?","ㅇㅇ ","183.97 ","05.08"
"발키리 뷰-지","ㅇㅇ ","110.70 ","05.08"
"마르니의 돌 1,2 두개 다 사서 함?","ㅇㅇ ","119.197 ","05.08"
"똥휴지 월챗을 보며 느끼는 감성","ㅇㅇ ","103.212 ","05.08"
"붉전에서 방셋 존나치는 장애인새끼들 대체 뭐냐","ㅇㅇ ","110.70 ","05.08"
"계정 이전하는거 계정이 2개면 어떡함??","ㅇㅇ ","222.234 ","05.08"
"무사vs매화 진지하게좀 골라주라","ㅇㅇ ","14.32 ","05.08"
"발키리 위치중에 뭐가조음?","ㅇㅇ ","118.44 ","05.08"
"미스틱 사냥 손 많이 편함?","ㅇㅇ ","39.122 ","05.08"
"검은사막 지금 시작 어떰??","ㅇㅇ ","118.44 ","05.08"
"뉴비 ) 5월 31일까지 기운이나 잔뜩 올려두려는데","ㅍㅍㅁ "," ","05.08"
"쿠노 별로냐고 애드라~~~~~ ","ㅇㅇ ","1.229 ","05.08"
"발렌시아3 바이퍼 미루목 벨매미","ㅇㅇ ","117.111 ","05.08"
"670짜리는 얼마임??","ㅇㅇ ","39.118 ","05.08"
"길드는 캐릭별로 따로임?","ㅇㅇ ","220.122 ","05.08"
"계정회수당하면 내가 캐시 지른거 못받음?","ㅇㅇ ","223.38 ","05.08"
"별무덤질문좀","ㅇㅇ ","117.111 ","05.08"
"진짜 640계정이 800함?ㅇㅇ","ㅇㅇ ","211.36 ","05.08"
"드랍율이벤 상시이벤임?","공기퐁 "," ","05.08"
"와써 길드소개 뭐냐 ㅋㅋ","ㅇㅇ ","106.246 ","05.08"
"상남자특) 금수랑키움","ㅇㅇ ","124.50 ","05.08"
"아쳐인데 아크만돌아지냐?","갓스티니 ","115.21 ","05.08"
"아처 무사 둘중 선택해야될 시간이 왔따","왕겜충 ","114.205 ","05.08"
"오늘의 검은사막","Valueable "," ","05.08"
"뉴비쉑덜 황기퐁님이 질문받아준다 질문 고고혓","공기퐁 "," ","05.08"
"뉴비미스틱 돈모아서 뭐부터사야돼","ㄹㅅㄹ "," ","05.08"
"1대를 모르고 살수가 있나","ㅇㅇ ","223.38 ","05.08"
"5.30 직업 뭘로 받냐","dd "," ","05.08"
"오핀 가려면 머머 챙겨야댐?","ㅇㅇ ","221.158 ","05.08"
"쿠노로 달린다 ","ㅇㅇ ","1.229 ","05.08"
"지금 길드1위누구임?","ㅇㅇ ","175.115 ","05.08"
"vpn쓰는사람잇냐","오질듯이 "," ","05.08"
"복귀했는데 메인퀘 분기선택 ㅆㅅㅌㅊ냉;;","ㅇㅇ ","175.223 ","05.08"
"아처 vs 위자드","ㅇㅇ ","223.39 ","05.08"
"예전 지금 계정팔이 온도차이ㅋㅋ","ㅇㅇ ","223.38 ","05.08"
"강화질문좀","ㅇㅇ ","116.39 ","05.08"
"금기의서랑 고유결은 혼자까냐? 왜팟이없엉","늒네충 ","58.121 ","05.08"
"요즘은 8티준마가 7억이나하냐?","ㅇㅇ ","175.194 ","05.08"
"좆벤충은 좀 꺼져라","rrtt ","223.38 ","05.08"
"쿠노할바에 닌자함???","ㅇㅇ ","1.229 ","05.08"
"검은사막 인게임 스크린샷 거꾸로 저장되는데 이거 갑자기 왜이러지?","ㅇㅇ ","112.158 ","05.08"
"8티 준마 왜 올라오자말자 다 사가는거 같냐?","ㅇㅇ ","112.162 ","05.08"
"내가 복귀하니깐 바로 드랍이벤 조지네","오질듯이 "," ","05.08"
"어겐이 34살인데 길드에서","ㅇ ","61.97 ","05.08"
"아니 이젠 하다하다 이벤트도 히든이냐","ㅇㅇ ","121.150 ","05.08"
"수련의서 몇일쌓아두고 접었는데 이거버프다적용댐?","늒네충 ","58.121 ","05.08"
"둠 히든커맨드 이거 나만 몰랐냐?","GLHF "," ","05.08"
"거점전 원래 도핑을 그렇게하고 겜함?","왕겜충 ","218.235 ","05.08"
"킹무의 와사비 살아있었으면 멀리 안가도 됐을텐데..","ㅇㅇ ","101.235 ","05.08"
"격가애덜잇냐 만샤움 시간당 몇개먹냐?","공기퐁 "," ","05.08"
"아처 아크만 사냥좀 물읍시다","땀내 "," ","05.08"
"무혁쿤 구데기스펙으로도 디틀딱2대1이기지않았냐?","ㅇㅇ ","223.62 ","05.08"
"떼껄룩 로어 뇌피셜","석재빌런 "," ","05.08"
"50% 버프받고 필라쿠 미쳣넹","파푸 "," ","05.08"
"쿠툼공 245따리 어디까지 사냥갈수있냐","ㅇㅇ ","223.39 ","05.08"
"지금 철새길드 들어왔는데 아푸아루아낄까?","늒네충 ","58.121 ","05.08"
"57랩 발키리 12억","첫걸음 "," ","05.08"
"허무의 공성길드가면 통베 새끼들 반응 볼만할듯 ㅋㅋ","ㅇㅇ ","211.36 ","05.08"
"야 소서는 회피세팅함 피감세팅함?","ㅇㅇ ","223.62 ","05.08"
"가하즈 카드라 필라쿠","ㅇㅇ ","223.62 ","05.08"
"드랍 이벤 언제까지임? 이벤트 페이지 찾아봐도 없는데","ㅇㅇ ","121.150 ","05.08"
