"dc_title","dc_writer","writer_ip","dc_date"
"내가 카본타는 이유","ㅇㅇ ","222.110 ","05.08"
"주말에 왕복 두시간정도 탈건데 추천가능하신가요... 대학생입니다","ㅇㅇ ","175.223 ","05.08"
"스컬트라 100이랑 트렉 1.1중에 머가조아?","ㅇㅇ ","223.33 ","05.08"
"이번주 일요일엔 분원리가땡긴다","식당 "," ","05.08"
"한국 자전거 라이프에서 제일 맘에 안 드는거","ㅇㅇ ","1.231 ","05.08"
"입문 2달차 첫남산 7분 44초임 체중줄이면 6분대가능?","뉴비 ","223.62 ","05.08"
"20만원짜리 자전거 봐줘라","ㅇㅇㅇㅇㄹ ","121.124 ","05.08"
"입믄 3개월차 용문-속초 가능?","뉴비 ","223.62 ","05.08"
"취미로 한강 고수부지 일주일에 한두번 라이딩할라고 하는데 전거 추천좀 ","고고고복동 ","146.111 ","05.08"
"자전거 벨 뭐가 좋을까?","낚린이 ","110.12 ","05.08"
"페달 정비 잘하는곳 있나여 ㅋㅋ","인천닭 "," ","05.08"
"오늘도 평화롭지 않는","ㅇㅇ ","117.111 ","05.08"
"자전거 그냥 집안에 냅두면 10년뒤도에 탈수있음?","ㅇㅇ ","223.33 ","05.08"
"체인링 볼트 하나 터졌는데","ㅇㅇ ","222.111 ","05.08"
"클릿사용한이후로 통증","ㅇㅇ ","211.36 ","05.08"
"rs11이  좆망 똥휠임??","ㅇㅇ ","222.110 ","05.08"
"남산 7분이내루들어가려면","happylifer "," ","05.08"
"반장갑 끼는 놈들 ㅉㅉ","ㅇㅇㅇ ","211.201 ","05.08"
"자린이인데요 여름에 장갑 필수임?","ㅇㅇ ","39.7 ","05.08"
"도싸 가 뭐야?","자이언트 ","218.237 ","05.08"
"출근하기 싫다..............","ㅇㅇ ","121.131 ","05.08"
"스파이더 엑스퍼트 내년 가을쯤이나 가능할듯..","happylifer "," ","05.08"
"정준영처럼 살고 5년깜빵 vs 지금 니인생","ㅇㅇ ","1.231 ","05.08"
"해피좌 스파이더 트레이닝센터 자이언트 안받으면 어케함?","ㅇㅇ ","106.102 ","05.08"
"국토종주할 때 안동 코스는 어떻게 함?","ㅇㅇ ","110.70 ","05.08"
"손흥민 챔스결승 갔으면 좋겠다!","시크리또 "," ","05.08"
"느그들 신전떡볶이 먹어봤냐?","시크리또 "," ","05.08"
"검머는 상남자인척 하지만","레스포맨 "," ","05.08"
"24*1.00 튜브 구할수 있나요?","돌아온겨 ","110.70 ","05.08"
"형님들 스트라바 배터리 많이먹습니가?","ㅇㅇ ","58.122 ","05.08"
"자전거 정비같은건 구입한 샾에서만 해줌??","ㅇㅇ ","180.224 ","05.08"
"근데 자전거 유튜버는 백수냐?","ㅇㅇ ","211.36 ","05.08"
"에이지 오브 엠파이어 리마스터 25000원 다운받을까 말까","ㅇㅇ ","211.195 ","05.08"
"자전거 타면 못생겨지는건 맞지 않냐?","ㅇㅇ ","122.32 ","05.08"
"어렸을때 맞아가면서 운동했던 사람이랑은 운동내기 하는거 아니다","ㅇㅇ ","59.9 ","05.08"
"동훈이가 준경이 천적맞음","ㅇㅇ ","223.38 ","05.08"
"고소 당하는 애들은 당할 정도로 지능수준이 낮은거 같다","ㅇㅇ ","211.195 ","05.08"
"유튜브 로라 타는거 보고 왔는데","ㅇㅇ ","211.36 ","05.08"
"느그들 자살한사람 실제로 못봤지?","시크리또 "," ","05.08"
"젊었을때 운동해놓으면 평생가지 않냐?","ㅇㅇ ","112.150 ","05.08"
"한강 뒤통수 튀튀 사건  외국인 라이더 아내가 댓글 달았다","ㅇㅇ ","211.195 ","05.08"
"자전거 업그레이드 가르쳐줌ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ","ㅇㅅㅇ ","175.195 ","05.08"
"알리익스프래스 왤케쌈??","ㅇㄹ ","220.126 ","05.08"
"벤지랑 디스크타막 프레임만보고 구별 가능함?","호경 "," ","05.08"
"우리 윗집은 아가씨 혼자 사는데","ㅇㅇ ","211.36 ","05.08"
"필라테스= 명기운동 맞냐???","ㅇㅇ ","59.9 ","05.08"
"여기 있는 새기들 중","ㅇㅇ ","175.115 ","05.08"
"젊을때 운동 안하다가 나이먹고 운동하면 잘 안느는데","ㅇㅇ ","175.213 ","05.08"
"이제는 하다하다 연예인한테까지 열등감느끼네","감동란 ","176.186 ","05.08"
"로드 자전거 너무 불편한데","ㅇㅇ ","14.53 ","05.08"
"자전거 팔고 필라테스 등록하러가자","ㅇㅇ ","59.9 ","05.08"
"필라테스 가면 진짜로 이러냐고??","ㅇㅇ ","59.9 ","05.08"
"필라테스 가면 진짜 이러냐??","ㅇㅇ ","59.9 ","05.08"
"율무 아줌마 나이 알려준다","ㅇㅇ ","175.213 ","05.08"
"2016 스컬트라 5000","ㅇㅇ ","125.132 ","05.08"
"고오관절 스트레칭 흐미야","ㅇㅇ ","59.9 ","05.08"
"에레이 유튜브 옛날 영상 싹 삭제했네ㅋㅋㅋㅋㅋ","ㅇㅇ ","1.231 ","05.08"
"수특이는 자갤 최고 븅신이 확실해","ㅇㅇ ","175.115 ","05.08"
"자전거 타는 십새기들","ㅇㅇ ","175.115 ","05.08"
"자전거타고 횡단금지만큼이나 안 지켜지는 자전거 법률","ㅇㅇ ","1.231 ","05.08"
"형들 자전거 택배거래하는데 고속버스로 보내도 괜찮아요?","ㅇㅇ ","1.246 ","05.08"
"도마니 vs 루베 고민 ㅠㅠ","ㅂㅂ ","180.224 ","05.08"
"도싸 외국인 사건 이해안되네","ㄴㅇ ","219.255 ","05.08"
"자전거 푹 빠졋을때","ㅇㅇ ","211.36 ","05.08"
"육각렌치 분명 있다고 생각했는데 찾아보니 없어","ss ","61.75 ","05.08"
"스트라바 이제 케이던스 안나옴??","ㅇㅇ ","27.112 ","05.08"
"내가 누누히 말했지만 자전거는 위 험한거시여..","ㅇㅇ ","182.230 ","05.08"
"자전거 잘타는법 잇냐","애플머핀 "," ","05.08"
"판돈이형 진짜 92년생이야?","식당 "," ","05.08"
"솔까 와꾸는 레스포맨보다 검머외가 나음","ㅇㅇ ","220.71 ","05.08"
"에어로 효과가 시속 45키로 이상부터 아니냐??","ㅇㅇ ","222.110 ","05.08"
"프레임 신경쓸바에 몸 프레임이나 신경써라","ㅇㅇ ","39.7 ","05.08"
"cj park루베 리뷰보면 에어로 성능이 타막을 상회한다고 했는데","호경 "," ","05.08"
"업힐과 장거리 투어링에 대한 환상은 깨져야함","ㅇㅇ ","39.7 ","05.08"
"요즘 샵으로 자전거 택배보내는데 2만원 넘어??","ㅇㅇ ","1.246 ","05.08"
"올라운드 항속유지되면서 업힐도 어느정도 속도 내고싶으면","호경 "," ","05.08"
"입문용 엠티비 어디서 사는거 나아요","ㅇㅇ ","223.39 ","05.08"
"남자라면 타라 ㅇㅅㅇ","페코린느 ","223.62 ","05.08"
"전기자전거 여기서 물어보면 호구냐","ㅇㅇ ","175.223 ","05.08"
"11년식 카봉 ㄱㅊ?","ㅇㅇ ","39.114 ","05.08"
"햇님덜 자전거 안장 너트가 안풀리면 어쩜???","자린이F ","220.86 ","05.08"
" 드디어 스트라바 다운 받았는데 긴장됩늬다..","ㅇㅇ ","58.122 ","05.08"
"한 시간째 전담물고 있다...","페코린느 "," ","05.08"
"형님들 스트라바 사용하려면 ","ㅇㅇ ","58.122 ","05.08"
"엔진은 평지 최고속 항속 유지력만 보면 됨","ㅇㅇ ","39.7 ","05.08"
"나 네임드 맞냐 ㅇㅅㅇ?","페코린느 "," ","05.08"
"3월달에 작업했었던게 사건이 터졌다...","페코린느 "," ","05.08"
"아직은 자전거 관련 브랜드 입기에 부담스럽습이다..","ㅇㅇ ","58.122 ","05.08"
"하... 자살하면 마음 편하냐... ","페코린느 "," ","05.08"
"화천 가는 녀석들 있니?","식당 "," ","05.08"
"올해 훈련방법 바꾸니 폭풍성장하네","ㅇㅇㅇ ","211.201 ","05.08"
"형님들 남산 길 정확히 나온거 있읍니까...","ㅇㅇ ","58.122 ","05.08"
"해피좌 혼자서 피팅이랑 이론글 그만보고","ㅇㅇ ","117.111 ","05.08"
"남산11분이면","ㅇㅇ ","117.111 ","05.08"
"로라가다니는 스파이더 머시깽이 한달얼마냐?","ㅇㅇ ","117.111 ","05.08"
"로라 이제 입문수준을 뛰어넘었네...","s파이더맨 "," ","05.08"
"수특아 니 헤어스타일이 더 웃겨","ㅇㅇ ","175.197 ","05.08"
"도싸 독일인 라이더가 한국인 따릉이유저 뒤통수 후리고 가다 잡혔다는거","ㅇㅇ ","211.195 ","05.08"
"갤러리 여러분은 부모님을 일찍 여의어 자산증식에 어려움을 겪는 듯 합니다","검머외 "," ","05.08"
"질문이요 . 뒷변속이 왜 갑자기 타다가 안될까..","ㅋㅋㅇ ","222.112 ","05.08"
"에레이 보고 싶다","ㅇㅇ ","211.195 ","05.08"
"도대체 3차로 고속도로에서 2차로에 멈추는건 무슨 생각인거냐","ㅇㅇ ","211.195 ","05.08"
"외국인에게 한국어 교정 받는 자갤러들....","검머외 "," ","05.08"
"엔드게임이나 한번더 봐야겠다","식당 "," ","05.08"
"기획고소하는애덜 거의 갓수가 많음","시크리또 "," ","05.08"
"자전거 복동 안당하는 꿀팁","dd ","118.43 ","05.08"
"비빔냉면 vs  돈까스","시크리또 "," ","05.08"
"형님들 에어로 질문있습니다","ㅇㅇ ","58.122 ","05.08"
"지금 3500킬로 탄거 같은데 브레이크 패드는 언제교체함?","ㅇㅇ ","220.79 ","05.08"
"자갤 칭찬릴레이 운동하네","식당 "," ","05.08"
"형님들 자전거는 살안빠집님가","ㅇㅇ ","58.122 ","05.08"
"사이클에도 정현같은 선수가 나와야 흥하지","ㅇㅇ ","220.121 ","05.08"
"버디가 좋습네다 ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ","ㅇㅅㅇ ","175.195 ","05.08"
"인심 길이에따라 크랭크암 길이도 바뀌잖아","호경 "," ","05.08"
"브롬톤 중고로 100이면 사던데?","개소리의황제 "," ","05.08"
"방금 사고 2번 피했다. ","happylifer "," ","05.08"
"자전거 업계는 결국 시마노가 깔아놓은 레드카펫","ㅇㅇ ","118.222 ","05.08"
"므틉 타이어 교체하는데 주걱없이 빠지는게 정상?","ㅇㅇ ","1.231 ","05.08"
"자전거샵은 사고싶은 브랜드 샵가서 사는게 좋아?","타오파이파이 "," ","05.08"
"차타고 가다 재밌을때 ","ㅇㅇ ","175.115 ","05.08"
"자젘거 타는 새기들 보면","ㅇㅇ ","175.115 ","05.08"
"시발새기들","ㅇㅇ ","175.115 ","05.08"
"자전거 추천좀 해줘;","츈탁 ","124.195 ","05.08"
