"dc_title","dc_writer","writer_ip","dc_date"
"±¦ÂúÀº ºÎÃ÷ ¾ø½À´Ï±î?","¤·¤· ","125.178 ","05.08"
"12~1½Ã »çÀÌ ¸¸Àåor ¿µµîÆ÷ ¼¼Â÷°¥»ç¶÷?","ÇÏµ¨ "," ","05.08"
"Á¨¸®¿¡ ÄÚ¸äµµ ²¸ÁÖ³ª¿ä??","¾ØÆ® "," ","05.08"
"ÀÌÁ¤µµ¸é Çö¿ª ¼±¼ö ¾Æ´Ï³Ä","azaknae "," ","05.08"
"²É°¡·ç ¶§¹®¿¡ ³»ÀÏ µ¤°Ô »ç·¯°£´Ù","¤·¤· ","110.70 ","05.08"
"¿©±â°¡ »ê¼ÛÀå°¶ÀÎ°¡¿ä?","¤¾¤·¤¼ ","211.235 ","05.08"
"½ºÄíÅÍ ¿£Áø¿ÀÀÏ ±³Ã¼ ´ë¸®Á¡ÀÌ¶û ¸»ÀÌ ´Ù¸¥µ¥ ¾îÄÉÇÔ","¤·¤·¤¤¤¤ ","121.174 ","05.08"
"Ç®ÆäÀÌ½º Á» Å©°Ô³ª¿À´Â ºê·£µå ¾îµð¾ß?","È£ºøÄ¿ºêÃæ ","14.50 ","05.08"
"È¥ÀÚ ½½¸³ÇÏ°í ½Çºñº¸ÇèÀ¸·Î ÀÇ·áºñ ºñº­º» ¹Ù°¶·³ ÀÖÀ½?","¤·¤µ¤· ","58.141 ","05.08"
"²É°¡·ç, ¼ÛÈ±°¡·ç ¾ðÁ¦±îÁö ³¯¸®³Ä","¤·¤· ","220.85 ","05.08"
"¿ÀÅä¹ÙÀÌ¼¾Å¸¿¡¼­ °í¾çÀÌ Å°¿ì´Âµ¥ ³ÉÀÌ ¶§¸®¸é ´Ï ¿ÀÅä¹ÙÀÌ´Â?","¤·¤· ","223.38 ","05.08"
"°í¶ó´Ï¾ê±â³ª¿À´Ï ±º¸Ó½ÃÀý »ý°¢³ª³×","Ÿ¶³× "," ","05.08"
