"dc_title","dc_writer","writer_ip","dc_date"
"체탈 걱정없겠지","소까 ","124.54 ","05.08"
"오늘 페이스대로 체탈 나오면","ㅇㅇ ","119.198 ","05.08"
"몬스터x 챙겨간건 언제 묵지?","ㅇㅇ ","211.36 ","05.08"
"오늘 몇명정도 체탈했어??","ㅇㅇ ","123.213 ","05.08"
"1점당 대략 몇명씩 몰려 있을까요","ㅇㅇ ","110.70 ","05.08"
"등수 관련 궁금한게 있습니다.","13 ","211.212 ","05.08"
"그러니까 제발 평소에 운동 좀 해둬","ㅇㅇ ","221.143 ","05.08"
"체력 치르고 왔더니 두통 생겼다","ㅇㅇ ","125.180 ","05.08"
"체력검정 하다가 실격되면 걍 바로 짐싸서 가는거야?","ㅇㅇ ","39.7 ","05.08"
"낮에 잠깐 눈팅할 때 특전사 있더만","ㅇㅇ ","211.36 ","05.08"
"ktx 광명사거리 7시40분도착이면 널널함?","12356 ","121.152 ","05.08"
"10미 질문","ㅇㅇㅇ ","223.39 ","05.08"
"아 ㅅㅂ 나 조에서 3번짼데","ㅇㅇ ","211.36 ","05.08"
"근데 윗몸 감독관이 밟아주나요? 개수는 세 줌?","ㅇㅇ ","58.239 ","05.08"
"악력50정도인데 너무 걱정안해도 되겠지?","타케이 ","125.62 ","05.08"
"교정학 공부법 뭐 없나 지금 정도교정학 핵심하나 샀는 데","00 ","27.35 ","05.08"
"남부구도 교도소급으로 고충으로 못감?","산소해리곡선 "," ","05.08"
"면접 강의는 프패 안 돼요?","ㅇㅇ ","125.180 ","05.08"
"지방러들은 남부 붙어도 힘들지 않음?","ㅇㅇ ","175.200 ","05.08"
"내일 체육치러가는 얘들봐라. 팁 10개 써준다","ㄹㅇ ","122.46 ","05.08"
"왕오달 교정음원으로 40개 찍고 무릎 아파서 쉬었는데 힘들겠지??????","ㅇㅇ ","118.43 ","05.08"
"무릎보호대 차고 왕오달 뛰어본사람?","ㅁㅁ ","180.92 ","05.08"
"진짜 체력 시험은 극극 스트레인듯","ㅇㅇ ","49.143 ","05.08"
"남부 구치소랑 남부 교도소랑 붙어있냐???","ㅇㅇ ","118.43 ","05.08"
"존나떨린다 진짜","ㅇㅇ ","110.70 ","05.08"
"형들 체력치러갈때","ㅇㅇㅇ ","223.39 ","05.08"
"내일은 감독관 FM이다 긴장해라...","ㅇㅇ ","221.143 ","05.08"
"올해 3차  연수원생 지방직 공부하다 현타온다","ㅇㅇ ","211.246 ","05.08"
"떨어지면 지방직 올인하고 지방직도 떨어지면 다시는 교정안쓴다","ㅇㅇ ","223.33 ","05.08"
"본부에 전화걸면 나 합격인지 알려줌??","ㅇㅇ ","223.38 ","05.08"
"아진짜제발","ㅇㅇ ","223.39 ","05.08"
"후..니들은 오지마라충","ㅇㅇ ","124.153 ","05.08"
"악력 측정할때 안쪽으로 팔굽히면서 가능합니까?","창원교도관 ","223.33 ","05.08"
"시험 관계자분들 한번씩만 읽어주세요","ㅇㅇ ","14.45 ","05.08"
"나 380인데 300등은 ㄴ될까??","ㅇㅇ ","123.213 ","05.08"
"악력 치기전에 워밍업 다들 뭐하셨음?","ㅇㅇ ","27.179 ","05.08"
"왕오달 한번도 완주한적 없는데 ","ㅇㅇ ","124.111 ","05.08"
"왕오달 시험장에서 주의할점 알려준다","ㅇㅇ ","223.38 ","05.08"
"왕오달 8명이서하면","ㅇㅅㅇ ","59.7 ","05.08"
"교정 면접관들 만만히 보지 마라","ㅇㅇ ","178.128 ","05.08"
"천왕역에 택시많냐??","ㅇㅅㅇ ","59.7 ","05.08"
"내일 오전조...","ㅇㅇ ","117.111 ","05.08"
"왕오달 시험장이 더 빡세다니까 말 안듣네","ㅇㅇ ","210.126 ","05.08"
"하나님 부처님 제발 합격만 시켜주세요","ㅇㅇ ","14.45 ","05.08"
"이 점수로도 남부교 힘드냐?","ㅇㅇ ","223.38 ","05.08"
"300등정도에서 앞에서 80명 떨어지면 1배수 되는거냐... 와 체력 후","ㅇㅇ ","112.163 ","05.08"
"오후조인데 오전조 구경하러가도되냐","ㅇㅇ ","121.171 ","05.08"
"내일은 윗몸 어케 잡을라나?","ㅇㅇ ","58.239 ","05.08"
"남부구치소 가면 체육관 바로 찾을 수 있나요?","ㅇㅇ ","1.239 ","05.08"
"내일 대구에서 가는 오후반있냐 ㅋㅋ","ㅇㅇ ","115.138 ","05.08"
"악력 측정할때 소리지르는 친구들 많음?","ㅇㅇ ","27.179 ","05.08"
"교정 현직되면 차는 필수인가요? 없으면 많이 불편할까요??","ㅇㅇ ","39.7 ","05.08"
"이점수면 남부교 가능?","ㅇㅇ ","115.21 ","05.08"
"올해는 악력 버프 얘기 없네 ;;?","ㅇㅇ ","58.239 ","05.08"
"승진시험 안치면 자기 있던 소에서 평생 근무 가능?","ㅇㅇ ","27.179 ","05.08"
"이번에 400점 넘는데 체탈하면 자살충동 들겠다","ㅇㅇ ","117.111 ","05.08"
"솔직히 지금이라도 보호로 바꾸고 싶다","ㅇㅇ ","117.111 ","05.08"
"체력 탈락자들 다 보험이지?","ㅇㅇ ","211.54 ","05.08"
"마지막날 체력 보는 애들은 여교랑 같이 하냐?","ㅇㅇ ","211.36 ","05.08"
"필기 40등넘어가면 서울은 쳐다도못보는거아니냐","ㅇㅇ ","220.86 ","05.08"
"교뽕글 보면 교정이 일행보다 나아보이지?","ㅇㅇ ","110.70 ","05.08"
"남부교 티오 ","ㅇㅇ ","175.223 ","05.08"
"국일행은커녕 보호 철경만 줘도 절먹할거면서","ㅇㅇ ","211.36 ","05.08"
"남부교는 뭔 완전4부제라도 되냐?","ㅇㅇ ","14.46 ","05.08"
"난  왕오달할때 그분이 도움좀주심","ㅇㅇ ","220.86 ","05.08"
"남부교급 편한데가 영월 강릉 아니냐","ㅇㅇ ","211.54 ","05.08"
"오늘 제일 안타까웠던 탈랄자","ㄴㄴ ","175.223 ","05.08"
"작년합격잔데 작년엔 악력이 논란이었다 올해는 윗몸이네","ㅇㅇ ","223.38 ","05.08"
"지금 택시타고 사전답사 온사람?","ㅇㅇ ","117.111 ","05.08"
"남부교 기회되면 무조건 가라","ㅇㅇ ","175.223 ","05.08"
"남부교 말뚝박을수있다면","ㅇㅇ ","175.223 ","05.08"
"교정학하기 더러워서 과목 바꿀려고 하는데","ㅇㅇ ","39.123 ","05.08"
"남부구 좋아보이냐?","ㅇㅇ ","175.223 ","05.08"
"트라스트 써본사람?","ㅁㅁ ","117.111 ","05.08"
"천왕역에 있는 남부구치소지?","ㅇㅇ ","117.111 ","05.08"
"남부교는 모든거 최상위 찍고 운까지 따라야 가는거고","ㅇㅇ ","175.223 ","05.08"
"교정치는애들은 서울시로 도망가라.....","ㅇㅇ ","175.223 ","05.08"
"내일 오후조들","ㅇㅇ ","114.206 ","05.08"
"존나 빠르게 할라하면 들리는 엉덩이 ㄱㅊ다고햇지??","ㅇㅇ ","112.163 ","05.08"
"교정직 갤러리 언제 생긴 건지 아는 사람?","니아신 아미드 ","14.37 ","05.08"
"광명역사거리쪽 채널번호","ㅇㅇ ","175.124 ","05.08"
"아 남부구랑 교랑 붙어있는거야?","ㅇㅇ ","175.223 ","05.08"
"9급 신규한테 남부교 티오 나올 가능성 있음?","ㄴㄴ ","121.142 ","05.08"
"0.1배수인데 남부교가능?","ㅇㅇ ","223.38 ","05.08"
"내일체력인데 딸쳐도되냐","ㅇㅇ ","117.111 ","05.08"
"지방살아도 연고 그닥 상관없으면 남부구냐?","ㅇㅇ ","211.54 ","05.08"
"하 광명사거리에 모텔 잡았다","ㅇㅇ ","124.111 ","05.08"
"악력 이렇게 해도 되여?","ㅅㄱ ","175.208 ","05.08"
"체략수고많앗다 380.4도 희망잇나","ㅇㅇ ","223.62 ","05.08"
"윗몸할때 머리 계속 바닥에 닿아야 하냐?","머슬보이 ","1.244 ","05.08"
"아 오늘 시험본 남부교에서 일하고 싶다","ㅇㅇ ","58.234 ","05.08"
"면접은 몇일날 봄?","ㅇㅇ ","1.230 ","05.08"
"아 길 존나 밀리네","ㅇㅇ ","110.70 ","05.08"
"배치기관련","ㅇㅇ ","121.142 ","05.08"
"윗몸 머리치기는 허용임?","ㅇㅇ ","211.36 ","05.08"
"감점은 무슨규정으로 하는거냐고 따졌어야지","최예나 ","121.254 ","05.08"
"감점은 좀 어이없다","ㅇㅇ ","121.167 ","05.08"
"왕오달 전에 파스 뿌리기 가능? 종아리 알 배겼는데","ㅇㅇ ","121.136 ","05.08"
"그래도 재작년 여감독빌런보단 덜한듯","최예나 ","121.254 ","05.08"
"오늘 오후조다 쫄지마라 ","인간 ","121.142 ","05.08"
"윗몸 정리해본다","ㅇㅇ ","223.39 ","05.08"
"깍지 풀리고 어깨 안 닿는건 이해하는데","ㅇㅇ ","211.36 ","05.08"
"광명멀다...","ㅇㅇ ","110.70 ","05.08"
"배치기 작년엔 되고 올해는 안되고","ㅇㅇ ","223.33 ","05.08"
"낼 오전조 윗몸 세모충인데 우리흥이 기다려지면 이상한놈이냐","398 ","223.39 ","05.08"
"나 내일 오후조 제일 마지막 수험번혼데 좆된거냨ㅋㅋ","ㅇㅇ ","115.138 ","05.08"
"기세보니까 체탈로만 50명 날아갈 기세인데","ㄹㅇ ","121.160 ","05.08"
"준비물","ㅇㅇ ","117.55 ","05.08"
"전화 해봤다","ㅇㅇ ","211.36 ","05.08"
"인터넷에 타케이 파지법 찾아봤는데 소방수험생들 막 살짝 비틀던데...","ㅇㅇ ","115.138 ","05.08"
"광명사거리 쪽 숙소인데","ㅇㅇ ","114.206 ","05.08"
"근데 올해는 왜이렇게 많이 떨어짐?","ㅇㅇ ","121.140 ","05.08"
"내일 시험인데 진짜 울고싶다","ㅇㅇ ","117.111 ","05.08"
"올해도 체탈자 많을거같네","crisscross ","110.70 ","05.08"
"10일시험","ㅇㅇ ","175.121 ","05.08"
"깍지끼고 머리반동 쓰기 vs 귓볼잡고 하기","ㅇㅇ ","211.36 ","05.08"
"어차피 떨어질거라면..","00 ","223.33 ","05.08"
"형들 왜 다들 광명쪽으로 가는 거야?","ㅇㅇ ","39.121 ","05.08"
"올해 윗몸 완전 빡샌 거 아님???","ㅇㅇ ","58.239 ","05.08"
"어꺠닿는다는게 땅에 어꺠닿아야하는거를 말하는거야 아니면 어깨가 무릎에","12356 ","121.152 ","05.08"
"서울시 구로구 천왕동 272","ㅇㅇ ","39.121 ","05.08"
"윗몸 그냥 하던대로 할란다 난","ㅇㅇ ","223.39 ","05.08"
"광명사거리에서 몇번출구 몇번버스타면돼?&gt;","12356 ","121.152 ","05.08"
"체력 합격했는데..면접학원 생각중인데 별로야?","ㅇㅇ ","1.239 ","05.08"
"내일시험보는 친구들 참고해","대정동 ","124.199 ","05.08"
"오늘 체력 통과한 애들 좋겠네","ㅇㅇ ","14.45 ","05.08"
"밑에 34회 파울이 진짜인지 제일 궁금하다","ㅇㅇ ","175.127 ","05.08"
"금요일날 악력인데","1타강삭발 ","223.33 ","05.08"
"지금까지 운동할 때 스트레칭 한번도 안 했는데","ㅇㅇ ","121.136 ","05.08"
"체합하고 좋은점","ㅇㅇ ","223.38 ","05.08"
"아 배어 애매하게 알배겼는데","ㅇㅅㅇ ","175.223 ","05.08"
"배치기.... 완전 이제 안 되는 거?","ㅇㅇ ","58.239 ","05.08"
"체탈하면 사이버고시센터에도 뜸?","ㅇㅇ ","39.7 ","05.08"
"오늘 탈락자 대충 몇명임 그럼? 한30명 되나","ㅇㅇ ","222.239 ","05.08"
"개인탄마가루 써도되냐??","ㅇㅇ ","223.39 ","05.08"
"근데 윗몸 자리 4개라며","ㅇㅇ ","121.136 ","05.08"
"광명가는 버스탔다ㅋㅋㅋㅋ","ㅇㅇ ","110.70 ","05.08"
"4번감독관이 파오후가아니라 존잘남이었다면","ㅇㅇ ","110.70 ","05.08"
"깍지나 귓볼이나 상관없는 것 같은데?  오후가 더 많이 떨어졌네","ㅇㅇ ","221.143 ","05.08"
"여기보니 옛날생각 나는구만","ㅇㅇ ","223.52 ","05.08"
"악력 팔굽히기 가능했나요?","1타강삭발 ","223.33 ","05.08"
"아니 ㅆㅂ 배치기 감점 그딴거없이 매년 해왔는데","ㅇㅇ ","115.136 ","05.08"
"왕오달 노래 샴푸 소리소리맞냐","ㅇㅇ ","223.33 ","05.08"
"근데 생각해보니까 정말 귀잡고 하게 해준거 배려아님?","ㅇㅇ ","110.11 ","05.08"
"낼 체력인데 슬슬 긴장된다","ㅇㅅㅇ ","175.223 ","05.08"
"왕오달","ㅇㅇ ","113.52 ","05.08"
"윗몸 똥줄인데 귀잡고 할까?","ㅇㅇ ","175.223 ","05.08"
"대전인데 서울안가고 새벽5시 ktx 타도 괜찬으려나?","12356 ","121.152 ","05.08"
"올해 교정직 필기나 실기나 왜이러냐 진짜 ㅋㅋ","ㅇㅇ ","14.37 ","05.08"
"서울 체력학원 들림","ㅇㅇ ","117.111 ","05.08"
"0.5배수 체력 완","ㅇㅇ ","211.36 ","05.08"
"윗몸일으키기 기회는 몇번이냐?","ㅇㅇ ","223.39 ","05.08"
"형소법 vs 교정학","무적권합격 "," ","05.08"
"필합자 몇명임??","인간 ","110.70 ","05.08"
"개인탄마 써도됨?","12356 ","121.152 ","05.08"
"근데 연습할때 다들 깍지만끼고했음?","ㄴㄴ ","117.111 ","05.08"
"소방음원 43개다 내일 합격하고싶다","ㅇㅇ ","121.136 ","05.08"
"악력기 바깥쪽 안쪽이 무슨뜻이야?","ㅇㅇ ","223.39 ","05.08"
"오늘오후 체탈 몇명이야??","ㅇㅇ ","123.213 ","05.08"
"귀잡는게 더쉬워 이눔들아","인간 ","110.70 ","05.08"
"응시자 대부분이 나이 30.40줄이라 대충 가라로 봐줬더니","ㅇㅇ ","223.39 ","05.08"
"왕오달 할 때 선 밟으면 안 됨","ㅇㅇ ","118.220 ","05.08"
"광명사거리역근처 모텔에서 택시타고 갈건데","ㅇㅇ ","223.62 ","05.08"
"근데 탄마 어느정도 발라야해??","ㅇㅇ ","223.39 ","05.08"
"보건소 와서 타케이 처음 잡아봤는데 45키로가 맥스네...","ㅇㅇ ","223.39 ","05.08"
"내일부터 시험치는 동기여러분 FM으로 시험 보세요","ㅇㅇ ","110.11 ","05.08"
"윗몸 깍지나 귀나 별 차이는 없을거야","ㅇㅇ ","211.36 ","05.08"
"귀잡기나 깍지나 그게 그거임","ㅇㅇ ","223.62 ","05.08"
"공제회비 증액가능?","ㅇㅇ ","110.70 ","05.08"
"윗몸 진짜 개놈들","신태일랩고수 "," ","05.08"
"오후 끝난거 아님? 후기가없네 살인이라도 났나","ㅇㅇ ","115.136 ","05.08"
"근데 싹다 파견 나갔나봐","ㅇㅇ ","211.36 ","05.08"
"악력 3년된 타케이로 36나오는데","123 ","49.167 ","05.08"
"떨어진 애들 걍 곱게 가라","ㅇㅇ ","14.46 ","05.08"
"혼선일어난이유알려드림 ","ㅇㅇ ","175.223 ","05.08"
"낼 하이브리드 전법으로 간다","ㅇㅇ ","211.36 ","05.08"
"오후 체력 테스트 끝냈다","ㅇㅇ ","223.52 ","05.08"
"왕오달 음원이 숫자는 나오고 단계는 안나온다는데","ㅇㅇ ","110.70 ","05.08"
"도핑갑이다","담 ","125.62 ","05.08"
"하 ㅋㅋㅋ10일  오전반인데 방금 병원에서 연골 찢어졌다네 ㅋㅋ","ㅇㅇ ","175.223 ","05.08"
"체합은 그냥가는거 맞제?","ㅇㅇ ","39.7 ","05.08"
"오후조 악력 팔 살짝 굽혔다가 내리면서 측정하는거 가능임?","ㅇㅇ ","223.39 ","05.08"
"악력 팔굽히는거 허용해주냐?","1타강삭발 ","223.33 ","05.08"
"배에 맨소래담 발랐는데 불난다ㅋㅋㅋㅋ","ㅇㅅㅇ ","175.223 ","05.08"
"귀잡든 깍지끼든 제일좋은건 니들 평소 연습한대로 해라","ㅇㅇ ","1.249 ","05.08"
"감점 규정에도 없네","ㅇㅇ ","39.7 ","05.08"
"담 때문에 주사맞았는데","담 ","125.62 ","05.08"
"내일 감독관 안바뀌나 ㅠ ㅜ","ㅇㅇ ","117.111 ","05.08"
"오후조는 악력 남자든 여자든 안쪽 된다고 했음?","ㅇㅇ ","223.39 ","05.08"
"근데 전화 어디서 해? ","ㅇㅇ ","211.36 ","05.08"
"방금 귀잡고 해봣는데","ㅇㅇ ","1.249 ","05.08"
"감점 ㅋㅋ","ㅇㅇ ","211.246 ","05.08"
"윗몸 감점은 뭐여;;;","00 ","223.39 ","05.08"
"귀잡을래 깍지낄래 선택하는것도 존나 욱기네","ㅇㅇ ","1.249 ","05.08"
"아나 내일 오전인데 윗몸때문에빡치리ㅣ","ㅇㅅㅇ ","175.223 ","05.08"
"감독관 입장에서 내일 체력시험 예상해본다","ㅇㅇ ","221.143 ","05.08"
"몇년간 공부했는데 윗몸 감점 이딴걸로 떨어지면","ㅇㅇ ","1.219 ","05.08"
"체력 통과","애매충 ","61.99 ","05.08"
"윗몸 뚱땡이 감독관 조심해라","ㅇㅇ ","211.36 ","05.08"
"감점이라는 단어에 수험생도 혼란스러워하자나","ㅇㅇ ","223.39 ","05.08"
"응시표 꼭 필요함? ","ㅇㅇ "," ","05.08"
"오전조 체합자인데 윗몸 감점에 대해","시작 ","182.172 ","05.08"
"작년엔 윗몸 깍지도아니고 머리에 손만대면 됐는데","ㅇㅇ ","121.167 ","05.08"
"근데 시험관들 커뮤니티 보는듯함","ㅇㅇ ","211.36 ","05.08"
"깍지끼고 45갠데, 배치기","뽀삐 ","58.227 ","05.08"
"체합하고간다.","ㅇㅇ ","39.7 ","05.08"
"프리즌 브레이크 보고있는데","ㅇㅇ ","117.111 ","05.08"
"자세 생각하면 귀잡는게더 나을수도잇다","ㅇㅇ ","1.249 ","05.08"
"근데 이제껏 노카운트 말고 감점이있었냐?","ㅇㅇ ","115.136 ","05.08"
"그러니까 윗몸 귀잡고 해도 된다 이거지?","ㅇㅇ ","211.36 ","05.08"
"잔인한얘기지만 체탈자 잘 세놔라","ㅇㅇ ","175.223 ","05.08"
"규정 4줄이고 깍지랑 무릎밖에 안나와있는데","ㅇㅇ ","175.223 ","05.08"
"형들 저 그냥 교정직 올인할려고요","무적권합격 "," ","05.08"
"교정이니까 규정 지맘대로 바꾸지 경찰같으면 얄짤없음.","ㅇㅇ ","110.11 ","05.08"
"체력시험 현장 음원도 윈닉이랑 같은거??","닉네임 ","119.198 ","05.08"
"나는 귀잡고 하니까 더 잘 되는데?","ㅇㅇ ","14.45 ","05.08"
"원래 규정이 fm인데 당연히 연습은 fm으로 했어야지","ㅇㅇ ","14.46 ","05.08"
"윗몸 질문 4번감독관","ㅇㅇ ","223.39 ","05.08"
"새타케이충 체력후기","ㅇㅇ ","223.38 ","05.08"
"오늘 많이 떨어졌다고 내일 봐주고 그런거 없다","ㅇㅇ ","211.36 ","05.08"
"윗몸 마이너스 그 돼지만주는거임??","ㅇㅇ ","110.70 ","05.08"
"근데 윗몸 규정으로 들고 일어나면 악력도 문제되지 않냐","ㅇㅇ ","221.143 ","05.08"
"깍지냐 귀냐가 문제가 아니라","ㅇㅇ ","117.111 ","05.08"
"그래서 오늘 체탈자 총 몇 명 뜸?","ㄹㅇ ","175.223 ","05.08"
"근데 이거 존나 개판이네 ㅋㅋ 시벌 미친거아님 ? 규정을 맘대로 바꾸네","ㅇㅇ ","110.11 ","05.08"
"윗몸 요령 아닌 요령","ㅇㅇ ","14.53 ","05.08"
"남체력탈락한거보고 웃는사람이있노??","ㅅㅅㅅ ","211.36 ","05.08"
"지옥 간 오후조 후기","ㅇㅇ ","211.36 ","05.08"
"왕오달 45개 했는데","ㅇㅇ ","117.111 ","05.08"
"근데 규정대로 하라고 하면 악력도 ㅈ댐","ㅇㅇ ","121.136 ","05.08"
"체력본거 공결처리 해본 사람 있음?","ㅇㅇ ","49.143 ","05.08"
"오전조체력후기","ㅇㅇ ","220.86 ","05.08"
"내가 수험생은 아니다만...","ㅇㅇ ","112.140 ","05.08"
"내가 알기로 교본도 교갤 어느정도 눈팅하는 걸로 알고있는데","ㅇㅇ ","221.143 ","05.08"
"친구가 합격했다고 거짓말 하는 기분인데..어케알지","ㅇㅇ ","175.223 ","05.08"
"남체력탈락했다고 웃는사람이있네","ㅅㅅㅅ ","211.36 ","05.08"
"오후조는 깍지끼고했냐??","ㅇㅇ ","1.249 ","05.08"
"오후도 탈락잇어??","ㅇㅇ ","223.62 ","05.08"
"내일 오후반인데 오늘 윗몸 쌉정석으로 한다vs안한다","ㅇㅇ ","115.138 ","05.08"
"오전조 윗몸탈락 행정심판 청구해라","ㅇㅇ ","1.216 ","05.08"
"에휴 1배수 위 점수에서 체탈이 젤 억울하겠다","ㅇㅇ ","211.36 ","05.08"
"왕오달은 셤장 버프 있음?","ㅇㅇ ","117.111 ","05.08"
"양손 교차 하면서 윗몸 vs 깍지끼고 윗몸","ㅇㅇ ","121.136 ","05.08"
"다들 윗몸때문에 난린데 혹시 셤장버프 받아서 윗몸 많이 한 사람 잇음?","ㅇㅇ ","118.46 ","05.08"
"최고의 어버이날 선물","crisscross ","124.49 ","05.08"
"본부 일처리 존나 ㅈ같이 하네","ㅇㅇ ","1.216 ","05.08"
"니들은 이미 교정행정을 맛본거다","ㅇㅇ ","223.62 ","05.08"
"절반깍지는 안되냐 ㅠ ㅠ","ㅇㅇ ","117.111 ","05.08"
"오우 윗몸 귀잡기라고??","ㅇㅇ ","223.62 ","05.08"
"근데 내가 윗몸 규정을 정확히는 몰라서그러는데","ㅇㅅㅇ ","175.223 ","05.08"
"대부분 왕오달만 집중연습하더니","ㅇㅇ ","14.53 ","05.08"
"그냥 윗몸 없애고 3개 가자","ㅇㅇ ","1.102 ","05.08"
