"dc_title","dc_writer","writer_ip","dc_date"
"이거 디시콘 맘에안듦","LQ "," ","05.08"
"야 파판 스토리에서 빛의용사가 위험한적이 있었나","ㅇㅇ ","223.33 ","05.08"
"하기사 서버 초월 갤링셸 드갔다가","ㅎㄹㅇ ","211.59 ","05.08"
"눈깔모드 어디서 바꾸냐","안해 "," ","05.08"
"솔직히 뚱냥이 안귀엽던데","cad ","180.230 ","05.08"
"뚱냥이 근데 라라펠이 타야 어울려요","멍훈 "," ","05.08"
"나 자다 꿈에서 에우레카 했는데 초코보한테 존나 미안해짐","ㅇㅇ ","39.7 ","05.08"
"!!! 뚱냥이 산다는 글 올리자마자 삭제됨","ㅇㅇ ","211.199 ","05.08"
"네메로 한판도못이겻다 ..","a ","125.137 ","05.08"
"아 알피노 동생 여자였냐","ㅇㅇ ","223.33 ","05.08"
"부클 머하지 나이트 잼씀? 전사 나이트 비스 같나요?","ㅇㅇ ","175.202 ","05.08"
"많이 박으면 그만큼 실수 줄어드냐?","ㅇㅇ ","1.254 ","05.08"
"낱장이라는게 머냐","노옇 "," ","05.08"
"흑마 시너지","cad ","180.230 ","05.08"
"힐디크ㅔ에서 요짐보가 빛전 모르는척하는 대사","우보아 "," ","05.08"
"님들 컨텐츠 추천해드릴게요","ㅇㅇ ","175.202 ","05.08"
"톤베리 링셀은 디게 조용하던데","멍훈 "," ","05.08"
"도대체 왜 레벨체커때 연환계 박는거임?","ㅇㅇ ","58.143 ","05.08"
"근데 초코보 링셸말야","ㅎㄹㅇ ","211.59 ","05.08"
"아ㅋㅋ 꼬추가렵누;;","알터 "," ","05.08"
"이 븅신놈의 토끼는 붙지도 않고 드랍률은 개차반이고","ㅇㅇ ","59.16 ","05.08"
"메라같이 자발적으로 재밌어서 하다가 광고하게 된 거면 몰라도","ㅎㄹㅇ ","211.59 ","05.08"
"차라리 파판이 낫다....","포이즌슬라임 "," ","05.08"
"피방에서 와우하는 아조씨 보면 별 생각 안든다","ReoNa "," ","05.08"
"톤베리 뉴비인데","ㅇㅇ ","210.99 ","05.08"
"학자 딜 잘하는법좀","ㅇㅇ ","61.99 ","05.08"
"좆망겜 한달 끝났는데 결제할지말지 고민됨","ㅇㅇ ","59.10 ","05.08"
"스킬 버튼 난사하면 얼럿 뜨는거 없앨 수 없어?","ㅇㅇ ","114.207 ","05.08"
"랄거 절벽 극지붕같은거 있던데 시작점 ㅇㄷ임?","ㅇㅇ ","211.248 ","05.08"
"초코보 뚱냥이 길로 파시는분 있어여?","ㅇㅇ ","211.199 ","05.08"
"극니드 비늘롶도끼만들기vs 팔고 100만길벌기","우보아 "," ","05.08"
"오늘따라 파판 왤캐 튕기지 나만 이러나","포이즌슬라임 "," ","05.08"
"걸캅스 보고온사람 있누","Newidi "," ","05.08"
"매라방송 1700까지 찍네","ㅇㅇ ","115.161 ","05.08"
"아이언들과 롤 5인큐vs트짹페미 7인과 알영","ㅇㅇ ","116.120 ","05.08"
"26만원이면 킹사나기한테 두장 맡기고","ㅇㅇ ","223.33 ","05.08"
"파트너 힐러 갈아서 딜 올리는거 어떻게 생각하냐","ㅇㅇ ","119.148 ","05.08"
"어른한테 일마치고 인사할때 뭐가 더 공손한표현임","ㅇㅇ "," ","05.08"
"이번주 걍 파밍 때려칠까","troubler "," ","05.08"
"파판힐러가 딜 못해서 못깰컨텐츠 없는거같은데","ㅇㅇ ","221.138 ","05.08"
"??? 어캐살ㄹ았노","ㅇㅇ ","125.185 ","05.08"
"라라펠놈들 머가리에 붕권박아주고싶다.","ㅇㅇ ","116.120 ","05.08"
"40인가 찍고 접었었는데 복귀보상이랑 신규보상중에 머가 좋음??","ㅇㅇ ","223.39 ","05.08"
"님들아 41~50 뭐가제일 빠르냐요","ㅇㅇ ","223.39 ","05.08"
"킹반인공대파밍방송ㄱ","방벽 "," ","05.08"
"아참, 서버 추천좀  진지하게 분탕 적은서버루","ㅇㅇ ","115.138 ","05.08"
"2층 3퍼 전멸기 두번 보네ㅋㅋ","글로벌갓흥겜스타투 "," ","05.08"
"첫직업으로 흑마도사, 소환사, 적마도사 뭐가 괜찮아??","ㅇㅇ ","115.138 ","05.08"
"연줄도 없는데 아사나기같은 거물이 10만원에","ㅇㅇ ","211.238 ","05.08"
"1판토 트팟이 어떤거야","ㅇㅇ ","211.52 ","05.08"
"오님들 저 전반 7천뽑아봄 용기사","ㅇㅇ ","175.202 ","05.08"
"세계 좆목 대전 종전함?","ㅇㅇ ","122.44 ","05.08"
"갤링쉘 딲좋노","일게이 ","211.36 ","05.08"
"피스트 선동특","ㅇㅇ ","118.235 ","05.08"
"트위터 좆같은점","ㅇㅇ ","211.238 ","05.08"
"파고스 피로스는 족목 이해한다","ㅎㅅ "," ","05.08"
"겜 해보려는데 많이 어려움?? 그리고 초보직업 추천점","ㅇㅇ ","115.138 ","05.08"
"어제 산 나찰 반지가 흐큐가 아니었네","포이즌슬라임 "," ","05.08"
"4층 점성고수들어오셈","ㅇㅇ ","116.36 ","05.08"
"ㄹㅇ 어제 시작한 개초본데 머해야대?","히히힝 ","59.24 ","05.08"
"님들 소환사 궁금한게 있음","ㅇㅇ ","218.239 ","05.08"
