"dc_title","dc_writer","writer_ip","dc_date"
"싴 숲 팔아요,,","ㅠㅠ ","122.42 ","05.08"
"마도카 종족 선택가이드 에서 왜 인간 약하다고 징징되는거임?","ㅇㅇ ","222.117 ","05.08"
"ㅋㅋ무슨 00년대 초반 조선협객전 서버 보는 줄","선유일리 "," ","05.08"
"겜 섭종했네ㄷㄷ","뗑컨 "," ","05.08"
"형들 짜이맨 풀스윙무기 뭐껴야해?","mogmog "," ","05.08"
"싴롭왜케싸짐?","ㅇㅇ ","182.214 ","05.08"
"튕긴사람 개많은가봄","三味線 "," ","05.08"
"맙녹갓겜이노ㄷㄷ섭도터지고ㄷㄷ","울빛 "," ","05.08"
"페리아 연대기 클베때 터질까봐 마비노기에서 서버 빼가나보네","ㅇㅇ ","223.33 ","05.08"
"싴섭 14채널 로갓도 안 되고 접속도 안 되네","ㅇㅇ ","121.177 ","05.08"
"이거 백퍼 딴겜에 서버 빼돌리는거지?","ㅇㅇ ","180.64 ","05.08"
"나만 로그오프 안 되냐","ㅇㅇ ","218.235 ","05.08"
"박웅석이 서버에 콜라를 쏟앗따","넬라이어드 "," ","05.08"
"악세 수리는 왜케 비싸","뉴비늅 ","182.210 ","05.08"
"슬슬 마비 켜놓고 잘려고 햇는데 뭔일잇음??","ㅇㅇ ","182.228 ","05.08"
"시위같은거 없어도 터지는 초갓겜의 서버","선유일리 "," ","05.08"
"3분째 게임 로그인 중이다.","ㅇㅇ ","210.222 ","05.08"
"님들 기사단 훈련시키면 벨테인 미션에서도 강해짐?","ㅇㅇ ","123.214 ","05.08"
"머임 겜터짐?","zzz:( "," ","05.08"
"아 씨발 늒네 페카 하급 돌다가 보방 앞에서 팅김","ㅇㅇ ","180.64 ","05.08"
"그리고 서하란 자유한국당 지지자임","ㅇㅇ ","27.113 ","05.08"
"서하란 한국 아이피인데 뭔 호주임 ㅋㅋㅋ","ㅇㅇ ","27.113 ","05.08"
"스뤡겜 스뤡서버","팜팻 "," ","05.08"
"코에 털이 날수도 있음????","ㅇㅇ ","106.102 ","05.08"
"하프 분해템존나싸네 다삿다 수입 ㅅㄱ","ㅇㅇ ","59.30 ","05.08"
"내일 펫 개편 어떻게 나올거같냐","ㅇㅇ ","182.228 ","05.08"
"포메 너무 커여워...","ㅁㅁ ","221.161 ","05.08"
"근데 영프독중에 일본이랑 제일 관련없는나라가 프랑스임?","ㅇㅇ ","183.97 ","05.08"
"갑자기 격투 끌리는데 격투 종족 메리트 있음?","ㅇㅇ ","24.219 ","05.08"
"그래두 나경원 쫌 불쌍하던데","ㅇㅇ ","180.64 ","05.08"
"이겜 원래 이래 할게없냐","ㅇㅇ ","175.223 ","05.08"
"광신대 엘그35 1억에 팔면 살럼잇나?","테엥 ","119.192 ","05.08"
"불연뎀 레버넌트 실린더 매물 없나...","꿀쨈 "," ","05.08"
"난 애니 좋아요","ㅇㅇ ","222.117 ","05.08"
"메모; 아이르리스 27 엘시 23","리을X3 "," ","05.08"
"하프가 혜자템이많네","ㅇㅇ ","59.30 ","05.08"
"연금 제대로 하려면 연금협회 찾아가야함?","꿀쨈 "," ","05.08"
"마갤 오타쿠새기들 ㅋㅋ","ㅇㄹㄹ ","211.246 ","05.08"
"제발 마비노기 다시 살아났으면 좋겠는데","청암)롤삼 "," ","05.08"
"개씨발","과녘 "," ","05.08"
