"dc_title","dc_writer","writer_ip","dc_date"
"핫버스폰인가 여기 믿을만함?","ㅇㅇ ","223.62 ","05.08"
"나도 노트8 꽁짜폰 써보고싶어","ㅇㅇ ","221.140 ","05.08"
"G4 -&gt; S10E 폰교체 후기","ㅇㅇ ","220.93 ","05.08"
"아이폰8+ 쓰는중인데 다른점 다거르고 일단 제일 좆같은점 ","ㅇㅇ ","39.7 ","05.08"
"갤7엣지 언제까지 사용가능할까?","관리 ","223.39 ","05.08"
"보닌쟝 s8+에서 아이폰8+로 넘어가고 후기","ㅇㅇ ","175.193 ","05.08"
"새 아이폰으로 ","ㅇㅇ ","211.36 ","05.08"
"케이스껴도 앞면으로 떨구면 깨짐?","ㅇㅇ ","223.62 ","05.08"
"형들 알뜰유심신청도와줘","ㅇㅇ ","125.188 ","05.08"
"코이폰 광고에 대놓고 야카오뱅크 나오누 ㅋㅋ","MidnightW "," ","05.08"
"아이폰쓰면 맥북도 쓰는게 좋음?","ㅇㅇ ","183.97 ","05.08"
"뼈묻을 은행 추천좀","관리 ","223.39 ","05.08"
"난 아직도 유선이어폰 쓰는데 ..  그렇게나 콩나물이 대세냐 ","ㅇㅇ ","39.7 ","05.08"
"V40 삿는데 이거 개통철회 가능할까?","Dic "," ","05.08"
"아이폰8플러스 2022년까지 가능이냐??.jpg","ㅇㅇ ","182.230 ","05.08"
"노트8좀 사자 이 씨발","ㅇㅇ ","221.140 ","05.08"
"내꺼 아이폰8+ 이랑 태블릿 화웨이 T5 있는데 유튜브 광고 ","ㅇㅇ ","39.7 ","05.08"
"한손사용 전제로 가장 쓰기 편한게 뭐냐?","ㅇㅇ ","175.223 ","05.08"
"굿락이 좆도 없고 까고싶은 이유","ㅇㅇ ","125.181 ","05.08"
"형들 답변좀ㅜㅜ","ㅇㅇ ","175.223 ","05.08"
"굿락개좆도쓸모없는데왜빠냐","ㅇㅇ ","125.176 ","05.08"
"형들 알뚤유심어떻게사? 알려줘","ㅇㅇ ","125.188 ","05.08"
"또래오래 콘듀치킨 맛있냐???","ㅇㅇ ","39.7 ","05.08"
"노잼이야 애미터진년아","ㅇㅇ "," ","05.08"
"아이폰쓰는 삼성직원","ㅇㅇ ","1.242 ","05.08"
"갤10 오지 스크기변 60장준다는데 ㄱㅊ?","답은 인덕원 ","175.116 ","05.08"
"굿락 병신들 좀 ㅅㅂ","ㅇㅇ ","125.137 ","05.08"
"굿락은 삼성의 새로운 킬링앱임","ㅇㅇ ","125.181 ","05.08"
"폴드 결함 개선하려고 몇대의 폴드가 고문당했을까","갤폴드전도사 ","49.174 ","05.08"
"형들 알뜰 유심살때인증안대는데어떻게해?","ㅇㅇ ","125.188 ","05.08"
"폰보험은 폰에귀속이냐 유심에 귀속이냐","관리 ","223.39 ","05.08"
"알뜰폰요금제중 나에게 가성비 젤 좋은 요금제","ㅁㅁ ","49.142 ","05.08"
"탭s5e 존나 가볍긴 하더라","BEP "," ","05.08"
"아이패드에어3를 왜 샄ㅋㅋ 탭s5e도 게임 잘 돌리더만","ㅇㅇ ","183.96 ","05.08"
"삼성테마 진짜 종나 이쁘다","ㅇㅇ ","223.62 ","05.08"
"노트9 vs 갤10 5G 5/10일 맞춤 7엣지 반납기준 뭐 추천함?","ㅇㅇ ","211.109 ","05.08"
"아이폰X vs 갤럭시S10e 둘 중 하나 쓰라고하면 뭐 고름?","ㅇㅇ ","183.101 ","05.08"
"아이폰xr은 짱깨산 아이폰xs 같음","ㅇㅇ ","183.96 ","05.08"
"아이폰도 갤럭시처럼 구성품에 액보필름+기본케이스 주냐?","관리 ","223.39 ","05.08"
"LG알뜰 선불무제한(8개월 사용)에서 KT 후불로 번호 이동 못함?","ㅇㅇ ","211.109 ","05.08"
"S8 배터리 조루라 더 이상은 못 쓰겠네","ㅇㅇ ","211.36 ","05.08"
"백도어깔린 화웨이폰이 lg폰보다 낫네","ㅇㅇ ","39.7 ","05.08"
"핸드폰관리.어떻게해??? ","아벨11 "," ","05.08"
"s10e  홈버튼 없어졌냐??? ","아벨11 "," ","05.08"
"유플 직원은 인물 안보고 뽑냐","비유 "," ","05.08"
"한달전인가 케어플 8플러스 256 68에 올리니까 연락 존나 오던데ㅋㅋㅋ","할랑할랑 ","119.193 ","05.08"
"s8이제 못쓰겠네요;.","ㅇㅇ ","110.132 ","05.08"
"10년전 동네 로드뷰로 추억팔이하는데 아련하노","왕부리팅코 "," ","05.08"
"디자인만 봤을때 갤럭시vs아이폰","ㅇㅇ ","223.62 ","05.08"
"요즘 길거리에서 s10 많이 보이던데 역대급은 맞는 듯","ㅇㅇ ","220.73 ","05.08"
"스마트폰은 최소5년 써야 된다는 주의","ㅇㅇ ","220.73 ","05.08"
"갤7엣지 쓰는데 인터넷속도 느린게 폰이 병신이라 그런건가?","관리 ","223.39 ","05.08"
"아이폰X에서 갤럭시S10e가면 다운그레이드임??","ㅇㅇ ","183.101 ","05.08"
"지능형 안티다","ㅇㅇ ","211.36 ","05.08"
"개인적으로 엄청난 대작 고사양게임이 나오지않는이상 스마트폰은 디자인이","ㅇㅇ ","118.41 ","05.08"
"호감고닉 ㅇㅇ좌 입갤ㅋㅋㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","175.223 ","05.08"
"s10 케이스 안끼고 댕기는 사람 있음??","ㅇㅇ ","223.62 ","05.08"
"헬지폰 살바에 흥미노트 사라는게 진심임?","ㅇㅇ ","211.36 ","05.08"
"각자 분수에 맞게 사자","ㅇㅇ ","211.36 ","05.08"
"요즘 안드폰 메뉴켜고 모두닫기 할필요없지?","ㅇㅇ ","121.183 ","05.08"
"유플러스샵에서 v50예약했는데 흑우임?","ㅇㅇ ","112.185 ","05.08"
"틀딱좌는 죽었노","ㅇㅇ "," ","05.08"
"업자들 리퍼폰은 무조건 거르냐","ㅇㅇ ","221.140 ","05.08"
"kt lte 아직도 이상하냐","ㅇㅇ ","58.235 ","05.08"
"아이폰 애미뒤진게 작년에 아7을 23에 팔았는데 지금 25임 ㅋㅋ","dosos0 ","118.33 ","05.08"
"skt 데이터 요금제 잘아는 행님 없음??","노트8흑우 ","222.107 ","05.08"
"이건 개빡침","ㅇㅇ ","221.140 ","05.08"
"벤치점수 거품이라면서","ㅇㅇ ","211.36 ","05.08"
"아이폰중고가 팩트 한줄로 정리해준다","ㅇㅇ ","58.79 ","05.08"
"영국보다 프랑스가 예술적이고 화려한이유가 모임?","ㅇㅇ ","183.97 ","05.08"
"유튜브 알밥 개티나네","ㅇㅇ ","211.36 ","05.08"
"아이폰 중고가 방어는","ㅇㅇ ","211.36 ","05.08"
"갤럭시 중고가가 싼이유","개야미 "," ","05.08"
"아이폰 제스쳐보다 원핸드가 더 편함","왕부리팅코 "," ","05.08"
"아이폰은 중고로 팔때가 진짜 좋은것 같음","ㅇㅇ ","222.120 ","05.08"
"좆성이 내수차별 안하는건 s10 이상부터다","ㅁㅁ ","211.109 ","05.08"
"언케가 s10e가 합리적이라고 했지만 실상은","ㅇㅇ ","220.73 ","05.08"
"xr 가격좀봐줘","ㅇㅇ ","58.79 ","05.08"
"그럼 믿을만한 벤치 뭐있냐","ㅇㅇ ","221.140 ","05.08"
"니미 시발 5g속도 개병신이네 ㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","106.101 ","05.08"
"유튜브 알밥 ㅈㄴ많아","ㅇㅇ ","211.36 ","05.08"
"아이폰 8 256gb kt 번이 얼마정도해요?","2555 ","118.33 ","05.08"
"아이폰 영상보는 앱 뭐 없음?","ㅇㅇ ","222.120 ","05.08"
"지금부터 1년후 갤9플 중고로 얼마에팔수잇냐 관리잘햇다는가정하에","ㅇㅇ ","59.7 ","05.08"
"갤노트8 새거 공시번이 vs 중고사서쓰기","ㅇㅇ ","221.140 ","05.08"
"11에 이어 xr2도 후면카메라 저모양이노","ㅁㅁ ","211.109 ","05.08"
"나 핸드폰 바껏다 ","아벨11 "," ","05.08"
"U+ 나노유심으로 픽셀 사용 가능한가","감자튀김에마요네즈찍어먹음 "," ","05.08"
"엘지는 스피커 부터 ㅂㅅ 임. 유선 음질은 존나 좋은데","ESM ","59.15 ","05.08"
"XR2 예상대로 병신같이 나왔으면 좋겠다","왕부리팅코 "," ","05.08"
"갤10인데 아이폰se로 갈아타야겠다","ㅇㅇ ","175.223 ","05.08"
"언케 폰 뭐 쓰냐","ㅇㅇ ","121.181 ","05.08"
"갤8 액정 메인보드 충전단자 다 수리하면 얼마나 나오냐?","Sweet_cake "," ","05.08"
"갤 s10 5g 기변 54+43 ㅁㅌㅊ?","ㅇㅇ ","106.101 ","05.08"
"아 자급제폰 지금 유심넣엇는데 왜 계속 긴급통화밖에안된다고떠..","ㅇㅇ ","211.216 ","05.08"
"S10 스피커음질도 좋은데 이어폰음질도 엄청좋아졌네","개야미 "," ","05.08"
