"dc_title","dc_writer","writer_ip","dc_date"
"여기다가 이해하지말고 흉내내라는건 갤의 균형을 맞추려는거임","통암기공부법 "," ","05.08"
"내일부터 내가 영갤에 다른 ego와함께 위대한 영어들을","통암기공부법 "," ","05.08"
"어떤 단어가 언제 쓰이고 그걸 니가 논리적에서 머릿속에 ","통암기공부법 "," ","05.08"
"일상대화존나게 따라하면 sort of kide of like","통암기공부법 "," ","05.08"
"이해하지말고 흉내내라","통암기공부법 "," ","05.08"
"일상적대화같은거 연습할시간에 아이비리그애들 연설문외어라","통암기공부법 "," ","05.08"
"퍼펙트한영어실력을위한 강박적노력은 인생에도움이안됨","통암기공부법 "," ","05.08"
"날짜 시간개념에서 앞뒤 너무헷갈린다","ㅇㅇ ","117.111 ","05.08"
"영어 질문드려요","ㅇㅇ ","211.214 ","05.08"
"college 는 항상 전문대만 의미함??","ㅇㅇ ","14.36 ","05.08"
"라이브 아카데미 이번 관사 기획 좋다 ㅎㅎㅎ","ㅇㅇ ","223.62 ","05.08"
"i don't know, can you? 가 뭔뜻이냐","ㅇㅇ ","218.158 ","05.08"
"shoddy","ㄱ.. ","210.123 ","05.08"
"캐나다 인종차별","flus "," ","05.08"
"원하는 자리에 앉으세요 영작","수건돌리기 ","223.62 ","05.08"
"근데 flus님 혹시 네이마르임?","ㅇㅇ ","116.47 ","05.08"
"Charming English ","네이마르 ","14.35 ","05.08"
"질문 있다.","ㅇㅇ ","116.47 ","05.08"
"나는 어떤 사람임?","녹차 ","175.210 ","05.08"
"성기건 에센스 구문독해 인강 질문","ㅇㅇ ","119.192 ","05.08"
"중동태는 영어로 middle voice였나?","flus "," ","05.08"
"아까 누가 캐나다서 아시아인한테 지속적으로 인종차별 당했다고 하길래","ㅇㅇ ","39.115 ","05.08"
"난 쓰레기야","flus "," ","05.08"
"Collocation하고 phrasal verbs 존나 중요한거 아니냐","222 ","49.181 ","05.08"
"영영사전 존나재밌다 븅신들아 ㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","175.116 ","05.08"
"국내 괜찮은 문법책 하나 추천해 주세요","ㅇㅇ ","223.39 ","05.08"
"에휴 영어 왜공부하냐 ㅋㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","219.248 ","05.08"
"who do yoy do","추추빠 "," ","05.08"
"야 우리 한국도 몰래 핵같은거 개발하고 있는거 아니냐?","ㄹㅇ ","121.131 ","05.08"
"네이마르야 1대1로 옵챗가능하냐","ㅇㅇ ","116.47 ","05.08"
"중동태 드립인줄 알았는데","ㅇㅇ ","116.47 ","05.08"
"boy with luv","sevenyearitch "," ","05.08"
"프랑스어잘하면 영어도 쉽게배움?","ㅇㅇ ","14.42 ","05.08"
"엠창인생 영어책 추천좀요","ㅇㅇ ","219.248 ","05.08"
"영어 공부법","녹차 ","115.41 ","05.08"
