"dc_title","dc_writer","writer_ip","dc_date"
"행갤에서 임봉욱저가 좋다해서 샀더니....ㅅㅂ","ㅇㅇ ","221.151 ","05.08"
"스쿼트를 하는데도 엉덩이가 계속 말랑말랑해","ㅇㅇ ","119.67 ","05.08"
"행정학 그냥 키워드 바르면 된다는 애들 한번 생각해보자","ㅇㅇ ","175.223 ","05.08"
"초시 ?재시 ? 기준이 어찌되는거임?","ㅇㅇ ","128.134 ","05.08"
"금감원 가고 싶다 ","ㅇㅇ ","211.36 ","05.08"
"박 이번에 2순듣는데","ㅇㅇ ","211.41 ","05.08"
"황1순 듣기전에 예습 어떻게 하면 도움되나요?","ㅇㅇ ","175.223 ","05.08"
"정치학은 예비 1순 2순 커리가 보통 어때?","ㅇㅇ ","210.183 ","05.08"
"할배가 문재인 정치로 깔정도면 ㄷㄷ","ㅇㅇ ","211.109 ","05.08"
"와 시발.. 오늘 사촌형 검사 초임발령났네","ㅇㅇ ","103.226 ","05.08"
"수업시간 할애해서 좌파라고 강조하는 강사들 보면","ㅇㅇ ","223.62 ","05.08"
"메가는 알바들이 프람 꼴","ㅇㅇ ","223.38 ","05.08"
"염라님 황희찬 닮은 분인 줄 알았는데","ㅇㅇ ","39.7 ","05.08"
"황종휴 김진욱도 이제 은퇴할 나이 아니냐","ㅇㅇ ","175.192 ","05.08"
"현직있나","ㅇㅇ ","175.223 ","05.08"
"김진욱 왤케 소득주도빨아댐?","ㅅㄷ ","223.39 ","05.08"
"공부하다보면 우울증보는데 극복하는 팁좀 알려주면 안될까?","ㅇㅇ ","211.36 ","05.08"
"공부 쉬엄쉬엄 하자","ㅇㅇ ","115.161 ","05.08"
"엄청난 존잘은 아닌데","ㅇㅇ ","115.95 ","05.08"
"니들 부모님이 눈치 안주냐? ","ㅇㅇ ","211.36 ","05.08"
"4회 최답","ㅇㅇ ","223.62 ","05.08"
"염라 형 그러면 형이","ㅇㅇ ","121.140 ","05.08"
"6년동안 실시간으로 40백수스토커짓 ","oo ","223.33 ","05.08"
"너희들은 주변에서 눈치 안주냐??","ㅇㅇ ","110.70 ","05.08"
"최원석이 젤 낫다는거야?","ㄴㄴ ","115.95 ","05.08"
"ㅋㅋ 현직와서보니까 장관행사가 수백명 지원금 받는거보다 중요","ㅇ ","221.145 ","05.08"
"90년대도 아니고 뭔 행시합격하고 여자를 만나냐","ㅇㅇ ","222.112 ","05.08"
"메가 피셋 상판 최원석아니여?","ㅇㅇ ","124.111 ","05.08"
"고법 6학기 수석졸업+사시 최연소 수석+연수원 수석 vs 서울대 폐인","ㅇㅇ ","211.36 ","05.08"
"의사검사판사가 행시녀 대려갈리가 없다","ㅇㅇ ","175.223 ","05.08"
"행시 붙었다는거 자체가 쪽박임 ","ㅇㅇ ","220.121 ","05.08"
"협력적 윤리적 리더십은 어디에 나와?","ㅇㅇ ","223.62 ","05.08"
"행정학 3순 강의 어떻게 활용하냐 도와줘","ㅇㅇ ","211.48 ","05.08"
"행갤 비공식 단톡방 와라","ㅇㅇ ","223.38 ","05.08"
"오늘 둠강사려다 망한썰","ㅇㅇ ","211.36 ","05.08"
"염라 병신새끼는 산은 인턴부터 해라","산은본점인턴 ","117.111 ","05.08"
"솔직히 20살 어린 여자에게 고백해 보라고 댓글 다신 행갤러분","75년생40백수 "," ","05.08"
"남자가 서울법대나와 판사된거면 보통 어떤여자사귀냐?","ㅇ ","117.111 ","05.08"
"비뇨기과갔다가 자괴감 오지게들었다","ㅇㅇ ","110.70 ","05.08"
"염라형 한림복도에서 형보고 웃는애들보면 무슨생각들어?","ㅇㅇ ","223.38 ","05.08"
"박3 모의고사 점수","ㅇㅇ ","49.142 ","05.08"
"예비듣고 바로 연습책가두댐?","ㅁ ","210.180 ","05.08"
