"dc_title","dc_writer","writer_ip","dc_date"
"수학은 HY이공계편입학원이 괜찮네","ㅇㅇ ","112.171 ","05.08"
"10월모고 60점 vs토익 850","ㅇㅇ ","223.62 ","05.08"
"전에 19학번 편입 질문했던 게인데","궁금합니다. ","115.137 ","05.08"
"er문법1200제 파이널이거 좋은거 맞냐??","ㅇㅇ ","1.241 ","05.08"
"지금 외대갤보면 외대글캠 무시당하는데 그럴만한가?","ㅇㅇ ","223.28 ","05.08"
"다들 열공중일텐데 머리 한번 식히고 가라","ㅇㅇ ","106.102 ","05.08"
"영어 독해 어떻게해야되냐.. 도와줘라","학공러다 ","61.105 ","05.08"
"여기 연애경험 많은애있냐?","oo ","221.148 ","05.08"
"작년동국 학공 토익컷 알려줌","ㅇㅇㅇㅇ ","210.179 ","05.08"
"오늘 선형대수 다끝났는데 진도 괜찮은편이야?","너ㅓㄴ ","117.111 ","05.08"
"단어 구문 어느정도 잡혀있으면 독해 누가 낫냐","fdfgrd ","218.153 ","05.08"
"단어뜻 개많은건 도대체어케해야되냐?","학공러다 ","223.62 ","05.08"
"이과 수학 올인하는놈들도 있냐???","ㅇㅇ ","211.178 ","05.08"
"편머리 수학 기본서 년도 마다 내용 바뀜?","ㅇㅅㅇ ","183.102 ","05.08"
"인강들으실때 입문 기초 다 들으시나요?","ㅇㅇ ","218.235 ","05.08"
"편입영어60맞기vs9급영어60맞기","ㄱ ","121.132 ","05.08"
"소수정예면 더비싸게 받냐?","ㅇㅇ ","125.7 ","05.08"
"보통 상위권대학이라는게 서성한까지지?","ㅇㅇ ","49.254 ","05.08"
"김영 다니기전에 레벨테스트 같은거 보냐?","ㅇㅇ ","121.126 ","05.08"
"입시전문가 피셜 인하대머리가 동국대꼬리에 겹친다!!!","ㅇㅇ ","218.148 ","05.08"
"학원 종합반은 논술까지 쫙 준비해주냐??","ㅇㅇ ","124.198 ","05.08"
"황한순 인강 듣는사람","ㅇㅇ ","183.78 ","05.08"
"김영패스 추천인적어주셈. 합격축복♥♥♥","ㅇㅇ ","211.216 ","05.08"
"학원 방문해서 상담해도 바로 등록안해도 되지?","ㅇㅇ ","203.109 ","05.08"
"아주대 다니는데 동국대 재편입 도전ㄱ?","ㅇㅇ ","59.11 ","05.08"
"문법은 무조건 암기 아니냐??","ㅇㅇ ","125.7 ","05.08"
"형님들 레알노베인데 영어 지금부터하면 가능?","ㅇㅇ ","115.144 ","05.08"
"야 국민대가 수학만 보는거 맞음?","ㅇㅇ ","202.126 ","05.08"
"허경영 보면 히틀러 생각남 ","ㅇㅇ ","1.227 ","05.08"
"김플 주말반이라도 다닐까","Aaa ","39.7 ","05.08"
"김영 설명회 가면 좀 얻을거있음?","ㅇㅇ ","124.198 ","05.08"
"나지금 mvp 보고있는데 너네 동의어도 다외우니?","ㅇㅇ ","121.126 ","05.08"
"헤헤 담주부터 학원다니는데 설렌다...","ㅇㅇ ","49.254 ","05.08"
"경대 편입?","ㅇㅇ ","211.36 ","05.08"
"보바인데 mvp로넘어갈까","학공러다 ","223.38 ","05.08"
"오랜만에 생존신고","20유입시잡대생 ","175.223 ","05.08"
"나중에 국회에서 일하고싶은데","ㅇㅇ ","123.254 ","05.08"
"마음이 너무 공허하다","홍시 ","61.98 ","05.08"
"오늘 바지 도착해서 너무 기분 조아여","오코노미야끼 "," ","05.08"
"ㅂㅁㄱ휴게실 어떠냐","ㅇㅇ ","223.62 ","05.08"
"정병권 듣는놈들 잇냐","ㅇㅇ ","58.76 ","05.08"
"레알 다니는 이과생중에 수학현강듣는 애들아 할말있다....","쌈마이 ","121.132 ","05.08"
"김영 프패추천인♥♥♥♥♥♥♥","ㅇㅇ ","211.216 ","05.08"
"큐스터디 경제경영수학","ㅇㅇㅇ ","175.223 ","05.08"
"한아름 선형대수 듣는사람 있냐??","너ㅓㄴ ","117.111 ","05.08"
"형들 연대 상경 편입은 공인영어+자체필기 말고 뭐 봄?","ㅇㅇ ","223.33 ","05.08"
"부담스러워서 쓰겠나 ;;","ㅇㅇ ","222.98 ","05.08"
"인하 아주는 왜이렇게 까이는거임?","문쩝쩝 ","210.205 ","05.08"
"통계학과 vs 수학과","재앙 ","210.205 ","05.08"
"1년해서 (일공) 국숭세단 가기 vs 2년 (학공) 해서 건동홍이상 가기","재앙 ","210.205 ","05.08"
"토익만점이면 덕성동덕문제 무난히 풀수있나??","ㅇㅇ ","220.126 ","05.08"
"외대글캠 한국학과 어느정도면 들어감? 인가경쯤되나?","ㅇㅇ ","112.221 ","05.08"
"나 강남김영 종합반 다니는데","ㅇㅇ ","211.36 ","05.08"
"박문간편입 다니면 인생종치는 이유","ㅇㅇ ","211.216 ","05.08"
"전전적대랑 전적대 두개다 학점인정 가능하냐??","19교행 "," ","05.08"
"김영 프패 추천인부탁함둥!!!","ㅇㅇ ","211.216 ","05.08"
"ㅋㅋㅋㅋㅋ동일계로 연고대 편입하는사람도 떨어지는데","쿵따리 씨발아 ","175.123 ","05.08"
"요즘 우리 동네 도서관에 책만 일부러 시끄럽게 뒤적이다 가는 아저씨있음","ㅇㅇ ","211.244 ","05.08"
"행님들 경영-&gt;심리로 편입가능?","ㅇㅇ ","39.7 ","05.08"
"만약 전남대 사범대생이 서성한 편입하면","ㅇㅇ ","175.223 ","05.08"
"박문각편입 연고대 티패스 어때?","ㅇㅇ ","175.223 ","05.08"
"단어 외우는거 질문한다 보바,mvp","학공러다 ","223.62 ","05.08"
"과기대 전적대학점 인정해주냐?","ㅇㅇ ","121.147 ","05.08"
"인강 어떤거 들으세요?","ㅇㅇ ","218.235 ","05.08"
"Im legend K","K ","115.145 ","05.08"
"누가 학공이 꿀이라고 그랬냐 ㅅㅂ...","ㅇㅇ ","175.223 ","05.08"
"mvp검정","ㅏ ","61.77 ","05.08"
"김영 블랙","ㅇㅇ ","203.237 ","05.08"
"박문각편입 설명회 몇시간이나 하냐","ㅇㅇ ","223.62 ","05.08"
"형들 편입 뉴비 질문점","ㅇㅇ ","39.7 ","05.08"
"어제 글쓴 경희대생인데","ㅎㅇㅎㅇ ","106.102 ","05.08"
"오늘은 흰브라네","ㅇㅇ ","223.38 ","05.08"
"독학할건데 편입인강 추천해주세요","ㅇㅇ ","218.235 ","05.08"
"야 우리 한국도 몰래 핵같은거 개발하고 있는거 아니냐?","ㄹㅇ ","121.131 ","05.08"
"고민상담좀 부탁드립니다...","고민이 ","39.7 ","05.08"
"김영 프패 추천인부탁함둥!!!!!","ㅇㅇ ","122.252 ","05.08"
"수능 2등급 베이스인데 입문강좌 스킵해도 되지?","ㅇ ","223.38 ","05.08"
"충북대 컴공 or 소프트 편입한사람 있냐?","ㅇㅇ ","223.33 ","05.08"
"1년해서 (일공) 국숭세단 가기 vs 2년 (학공) 해서 건동홍이상 가기","재앙 ","210.205 ","05.08"
"자기전에 수능평6등급 공부루틴 적고갑니다~~","89년생수능6수실패자 ","122.252 ","05.08"
"김영편입 추천인 부탁해요~~~~~~~","ㅇㅇ ","122.252 ","05.08"
"국숭세단 아주 인하는 학공으로 메리트 오짐?","1231313 ","210.205 ","05.08"
"에리카 문과 vs 외대 글캠 (통번역제외) 어디가 더 높음?","ㅇㅇ ","223.28 ","05.08"
"편붕이들 씹팩트","hammerklavier "," ","05.08"
"서연고서성한중경시외동건홍국숭광명 인아세가상단동서성덕에경가인","ㅇㅇ ","106.102 ","05.08"
