"dc_title","dc_writer","writer_ip","dc_date"
"형들 태국 국제선-&gt;국내선 환승 1시간30분 가능할까?","61141 ","58.232 ","05.08"
"중국 지방발 장거리는 보조금 얼마나 퍼주는거야","ㅇㅇ ","211.110 ","05.08"
"금호에서 쉽게 아시아나 포기할리가 없다","ㅇㅇ ","223.62 ","05.08"
"에어아시아는 이머전시 낙하산 옵션 추가로 판매해야 되는거 아니냐","GULFSTREAM "," ","05.08"
"장거리 이코노미석 많이 타면 허리 디스크 걸릴 수도 있나요?","도우존슨 "," ","05.08"
"JAL 파산의 원인은 JAS 인수 때문이였는가?","ㅇㅇ ","223.32 ","05.08"
"김포공항 이전할거같다","ㅇㅇ ","211.246 ","05.08"
"땅콩항공도 서비스저하 위기가 올려나","ㅇㅇ ","124.216 ","05.08"
"에어아시아 승무원 개섿스하네","ㅇㅇ ","110.70 ","05.08"
"여윽시 홍시는 CJ를 향해 갈 운명인가","ㅇㅇ ","223.62 ","05.08"
"A380 김해 착륙가능한데 왜 가덕도 만들어달라고 하나???","GULFSTREAM "," ","05.08"
"RKPK-VHOQJ","마노 ","220.86 ","05.08"
"오늘 대구공항 이머전시 있었는데 무슨일있었는지 아는사람","dd ","123.213 ","05.08"
"궁금한게 있는데","ㅇㅇ ","223.38 ","05.08"
"Flight radar인가? 여기 싸이트들어가보면 kadiz내에 떠있는","ㄴㄷ ","223.62 ","05.08"
"구. JAS항공사의 전세 노선 ","ㅇㅇ ","223.62 ","05.08"
"통일되면 평양FIR 없어짐?","ㅇㅇ ","175.223 ","05.08"
"영국경유도 입국심사함?","ㅇㅇ ","213.205 ","05.08"
"인천공항 몰빵 그만 하고 청주공항 개발하라","인천공항 ","175.215 ","05.08"
"이번 아에로플로트 사고를 보면서 드는 생각","ㅇㅇ ","223.38 ","05.08"
"아시아나항공 베네치아 노선 운휴 ","ㅇㅇ ","125.188 ","05.08"
"홍시 제주노선도 몇편 줄여야되지 않음?","ㅇㅇ ","39.7 ","05.08"
"에부 오사카 로","ㅇㅇ ","223.62 ","05.08"
"좌좀이던 수꼴이던 정치 이야기 하는것들은 좀 꺼져라","ㄱ ","175.223 ","05.08"
"리모와 어매니티 주는 항공사 어디있음??","ㅇㅇ ","118.47 ","05.08"
"국적기 미주행 수요가 이순인거 맞냐?","횟집바다이야기 "," ","05.08"
"인천공항에 그 스카이스타였나 762 2대","Avgeek "," ","05.08"
"만약 팬암과 브래니후 항공이 합병되었다면?","ㅇㅇ ","223.62 ","05.08"
"혹시 일행끼리 동남아-인천이나  LA-인천 비슷한 시간에 다른 비행기로 찢어져","ㅇㅇ ","175.223 ","05.08"
"ADPi가 정치적인 요소 개입 됐다고 한 기사 못찾겠는데??","ㅇㅇ ","220.123 ","05.08"
"↓ 철스퍼거는 철도갤로 OUT!!!","ㅇㅇ ","223.62 ","05.08"
"대전트램 갤러리입니다. 대전트램 글을 올려주세요","권트램 "," ","05.08"
"하루 한번 대전국제공항 찬양 10일차","권트램 "," ","05.08"
"횽님들 코드쉐어 질문있는데","포트딕슨 "," ","05.08"
"법사네 단항 시급한 노선","ㅇㅇ ","211.110 ","05.08"
"시드니 갈때 SQ vs TG","ㅇㅇ ","118.47 ","05.08"
"본인글 초개념글로 가보렸네요","GULFSTREAM "," ","05.08"
"델타항공 뭄바이-뉴욕노선 흥할려나","ㅇㅇ ","39.7 ","05.08"
"하루 한번 가덕신공항 찬양 (119일차)","신속한흡수 "," ","05.08"
"퍼스트 좌석 그렇게 비싸면 ","GULFSTREAM "," ","05.08"
"아시아나 로마 비지니스 직항 179만원 싼거야?","oz ","125.188 ","05.08"
