"dc_title","dc_writer","writer_ip","dc_date"
"800기 기재보급","ㅇㅇ ","220.121 ","05.08"
"7 8 9월 성수기는 아닌가? 컷 이리 낮았냐","ㅇㅇ ","223.62 ","05.08"
"기훈단에서","ㅇㅇ ","118.218 ","05.08"
"공고 출신 통전 얼마나 많음? 글고 자격증 복무중에 어떻게 땀?","ㅇㅇ "," ","05.08"
"형님들 800기 곧 입대할려는 통전입니다","ㅇㅇㅇ ","182.218 ","05.08"
"하..진짜 마음 착잡하다","신나는리듬에맞춰 "," ","05.08"
"내가 진짜 전군에서 제일 꿀빠는 헌병인데 누가 찌를까봐 말 못하겠다.","ㅇㅇ ","211.206 ","05.08"
"나 육군인데","ㅇㅇ ","219.250 ","05.08"
"기동타격대 절대로 오지마라","ㅇㅇ ","175.223 ","05.08"
"800기 자격증질문","ㅇㅇ ","122.38 ","05.08"
"초과저지 궁금하거나 본인이 초과저지 배치받을 신병이다","충주콜센터 ","175.223 ","05.08"
"훈련소갈때입영통지서가져가야함?","ㅌㅇ ","220.118 ","05.08"
"800기인데 질문좀요","5월13일입대입니다 "," ","05.08"
"기체는 1지망 쓰는애들 꽤됨","ㅇㅇ ","223.39 ","05.08"
"ㅋㅋㅋㅋㅋㅋ핸드폰보안스티커 밀리면 자국도안남네","ㅇㅇ ","175.223 ","05.08"
"공고 출신이 4지망 기체로 튕기기도 하던데","ㅇㅇ ","106.102 ","05.08"
"피부병 관련 크림도 반입하려면 먹는 약처럼 처방전 필요한가여?","uc9594 ","118.220 ","05.08"
"진짜 초과저지가 신의 특기인 것 같다","ㅇㅇ ","106.102 ","05.08"
"헌병 나정도면 상위 0.1%인듯","ㅇㅇ ","39.7 ","05.08"
"801기 수료식 언제임?","ㅇㅇ ","59.1 ","05.08"
"훈련소 빠꾸 기준이뭐임?","ㅇㅇ ","14.7 ","05.08"
"76X기에 병신같은 가오 잡는 악폐습 마스터가 있었는데","ㅇㅇ ","106.102 ","05.08"
"어차피 헌병이라면","ㅇㅇ ","117.111 ","05.08"
"형들 홀수기는 초과저지 티오안난다는거 실화?","만두 ","112.169 ","05.08"
"뭔가가 이상해","ㅇㅇ ","39.7 ","05.08"
"공무원합격했는데 군대갔다와야하는건 후..","군대가기싫다 ","180.64 ","05.08"
"무기와 기체 친구들은 지금도 퇴근을 못하고 있다","ㅇㅇ ","117.111 ","05.08"
"운전병은 당장 해군 수송으로 바꿔라","ㅇㅇ ","1.244 ","05.08"
"운전병 자대 어디가 좋음","ㅇㅇ ","49.169 ","05.08"
"무기 vs 탄약","ㅇㅇ ","117.111 ","05.08"
"사실 탄약이 ㅍㅌ는 치는 특기임","ㅇㅇ ","117.111 ","05.08"
"입대 2달남았는데 동네 헬스장 다닐까","ㅇㅇ ","112.151 ","05.08"
"폰 반입 질문","후엥 ","121.64 ","05.08"
"운전병 지원했는데","ㅇㅇ ","49.169 ","05.08"
"인편적는법 페북에다 올려준다매 페북안하는데 어떡함","ㅇㅇ ","115.140 ","05.08"
"간부 찌르려면 어따해야됨?","ㅇㅇ ","223.33 ","05.08"
"위장크림 사가는 개씹흑우는 없지?","ㅇㅇ ","117.111 ","05.08"
"비행단 친구들아~니네들 비행단 단장님(☆)이란 어떤 존재임??","ㅇㅇ ","180.226 ","05.08"
"통전 국직안가는 특기가뭔가요?","ㅇㅇ ","175.223 ","05.08"
"외박 승인나면 못자름?","ㅇㅇ ","223.33 ","05.08"
"솔직히 걸러들어오니까 땅개보다 양아치,찐따비율 더적어야 정상아님?","사랑을찾아서 ","175.223 ","05.08"
"공군 일반병으로입대해서 부사관시험칠수있음??","ㅇㅇ ","175.223 ","05.08"
"소방안전1급있으면 항공소방 무조건감?","고기 ","14.42 ","05.08"
"대공포 특긴데 신궁 사수인 애들은 뭐냐","ㅇㅇ ","117.111 ","05.08"
"입영준비물 적혀잇는거 말고 들고갈 수 있는거 있나여","ㅇㅇ ","223.33 ","05.08"
"공군예비군 2박3일 28시간은 어떻게 28시간이라는 계산이 나오는거야?","ㅇㅇ ","39.125 ","05.08"
"90기가 빠졌다니 웃기네","ㅇㅇ ","223.33 ","05.08"
"형들 공군 꿀맞어? 외박이나 휴가","ㅇㅇ ","117.111 ","05.08"
"정신과3급은 공군 신청도 못하냐","ㅇㅇ ","182.216 ","05.08"
"자격증 제출 관련 질문","ㅇㅇ ","115.91 ","05.08"
"798 너무 많이 와서","ㅇㅇ ","117.111 ","05.08"
"1차 지원할때 서류같은거 따로내야됨???","고기 ","59.7 ","05.08"
"800기 수료언제노","뽀송한밤 "," ","05.08"
"공군 편지","오릵 ","112.169 ","05.08"
"800기 위장크림이나 렌즈, 레이저펜?","ㅇㅇ ","211.179 ","05.08"
"자격증 상장형 가져가도되노?","ㅇㅇ ","1.239 ","05.08"
"해병대썰","ㅇㅇ ","117.111 ","05.08"
"이번에 경쟁률도 낮고 지원도 적던데 커트 낮겠지?","ㅇㅇ ","58.234 ","05.08"
