"dc_title","dc_writer","writer_ip","dc_date"
"탈모 어느 병원으로 가야댐?","ㅇㅇ ","182.230 ","05.08"
"아니 어떡하면 탈모가 걸리냐? ㅋㅋㅋㅋㅋ","ㅇㅁㄴㅇㅁㄴ ","211.34 ","05.08"
"여기 갤주 누구임","15 ","112.155 ","05.08"
"내아빠가 탈모는 아니고 친구 아빠 탈모인대","15 ","112.155 ","05.08"
"정수리 머리가 뒷머리보다 가늘면 탈모야?","ㅇㅇ ","223.62 ","05.08"
"이마라인에 잔털 나는데 발모겠지?","ㄱㄷ ","114.111 ","05.08"
"내 탈모 원인 찾았다ㅋㅋㅋ","ㅇㅇ ","211.111 ","05.08"
"자위행위 많이 하면 탈모 가속화 되나요?","ㄱㄷ ","114.111 ","05.08"
"회식 때마다 민머리로 드립치는 팀장 고소가능하냐","ㅇㅇ ","104.248 ","05.08"
"8일째 맨날 라면먹었는데 진짜 식습관중요한거 깨달았다","ㅅㅅ ","58.121 ","05.08"
"핀페 어떻게 처분해야되냐?","지나가는나그네 ","223.33 ","05.08"
"답변받아라 급하다!","달군 "," ","05.08"
"가발 사용하시는 분들 많이 불편한가요?","ㅇㅇ ","39.119 ","05.08"
"이 노출증색기들","ㅇㅇ ","59.16 ","05.08"
"금딸 4일차 후기","ㅇㅇ ","175.205 ","05.08"
"현자타임이 오는 이유","ㅇㅇ ","175.223 ","05.08"
"스트레스성 m자탈모는 치유가능?","광주는복덩이야 ","1.215 ","05.08"
"M자는 무조건 유전인가요?","ㅇㅇ ","211.59 ","05.08"
"지루성두피염 갑자기 나아졌음","ㅇㅇ ","211.222 ","05.08"
"여자도 m자탈모가 오냐","ㅇㅇ ","223.39 ","05.08"
"피부과의사는 탈모약 자판기다","ㅇㅇ ","175.223 ","05.08"
"탈모는 자살이답","dd ","49.143 ","05.08"
"아 시발 24인데 탈모라서 자살 충동까지 든다","우헤헤헤ㅔㅎ ","223.39 ","05.08"
"탈모 걱정하지마라 왠지아냐?","11 ","223.39 ","05.08"
"피부썩창vs머머리","ㅇㅇ ","39.7 ","05.08"
"m자랑 정수리 탈모 동시에 오기도 하냐?","ㄱㄷ ","114.111 ","05.08"
"형님들 예비탈모인으로서 질문이 있습니다","ㅇㅇ ","117.111 ","05.08"
"지루성으로 탈모생겼는데 약먹어야할까","ㅇㅇ ","125.190 ","05.08"
"ㅅㅂ 머리에 물 끼얹고 찍으니까 깜놀함","ㄱㄷ ","117.111 ","05.08"
"미녹시딜 걍 5프로 커틀랜드 사서  물타면  3퍼되잖아?","릴잘알 ","106.240 ","05.08"
"탈모 때문에 병원 한 번 가보려는데, 어딜 가야됨?","김풍성 ","211.185 ","05.08"
"지루성두피염약 먹고 머리빠지는현상","궁금 ","211.36 ","05.08"
"형들 m자는 무조건 유전이야?","ㅇㅇ ","211.59 ","05.08"
"지루성 두피 좋아진 썰","11111 ","160.39 ","05.08"
"너희는 숨바꼭질 잘하지?","ㅇㅇ ","124.50 ","05.08"
"발기력 중간이 없냐","ㅇㅇ ","39.7 ","05.08"
"지루성두피염때문에 정수리비고 프로페샤6개월복용중인데 미녹시딜","ㅇㅁㅇ ","175.223 ","05.08"
"[공지]탈모인 연합은 대머리 갤러리의 독립을 요구합니다","전탈협 ","223.38 ","05.08"
