"dc_title","dc_writer","writer_ip","dc_date"
"기동대는 뭐하는 곳임?","ㅁㄴㅇ ","218.159 ","05.08"
"씹멸친데 탄약관리병 가능한가","ㅇㅇ ","125.176 ","05.08"
"교회형님 및 다른군필형님들","ㅇㅇ ","14.7 ","05.08"
"중계 반송기 운용 ( 무선전송장비운용)","ㅇㅇ "," ","05.08"
"일반보병땅개보다 힘든 운전병도 많지..?","ㅇㅇ ","58.239 ","05.08"
"그린캠프 분대장","ㅇㅇ ","59.29 ","05.08"
"21일 3사단 입대인사람 손","ㅇㅇ ","218.232 ","05.08"
"신교대 훈련이랑 학사장교 훈련이랑 비교하면","ㅇㅇ ","38.91 ","05.08"
"27일 입대다 음","ㅇㅇ ","119.67 ","05.08"
"위장크림 왜 가져가는거 준다매","ㅇㅇ ","223.62 ","05.08"
"육군 차량부대정비병으로 입대하는데 조언부탁드려요","ㅇㅇ ","61.105 ","05.08"
"50사단 53사단 운전병 넣은 새끼들 점수 적어봐라","ㅇㅇ ","123.109 ","05.08"
"사단은머고 연대는머임?","ㅁㄴㅇ ","118.222 ","05.08"
"훈련소 두번째가는데 질문좀ㅠ","ㅇㅇ ","125.209 ","05.08"
"전차조종수로 입대하는데 ㄹㅇ 손가락많이 잘림?","ㅇㅇ ","59.23 ","05.08"
"신검 받을때 잠복결핵 양성 나온사람있음?","ㅇㅇ ","218.159 ","05.08"
"경쟁률 3대1이던데 빡센편인가요?","ㅇㅇ ","118.221 ","05.08"
"키 164 몸무게 53인데 ","ㅇㅇ ","218.159 ","05.08"
"1사단질문","ㅁㅁ ","110.70 ","05.08"
"개꿀부대인데 휴가 65일이면 ㅍㅌ임?","ㅇㅇ ","110.70 ","05.08"
"신병교육 끝나면 자대배치는 어떻게 진행됨??","ㅁㄴㅇ ","118.222 ","05.08"
"173 56 인데 군복 사이즈 스몰임 미디움임ㅍ","ㅇㅇ ","1.233 ","05.08"
"m계열전차조종(승무) 내가 이거 지원했는데","ㅇㅇ "," ","05.08"
"군입대 알림톡 신청해야 오냐?","ㅇㅇ ","175.125 ","05.08"
"어딜 체력 2,3급병신들이 출타를 나가려고 하냐","ㅇㅇ ","175.203 ","05.08"
"전역까지 282일 남앗다","짬좀참 ","39.7 ","05.08"
"훈련소가 최종보스 ㅇㅈ","ㅇㅇ ","220.119 ","05.08"
"말년 휴가18일 나갔었음","ㅇㅇ ","220.119 ","05.08"
"공군에서 병이할일이 있을까?","ㄴㄷ ","223.62 ","05.08"
"군번개풀림","ㅇㅇ ","223.38 ","05.08"
"연가질문입니다 성님들","ㅇㅇ ","39.7 ","05.08"
"고문관 될까봐 걱정입니다 형님들...","ㅇㅇ ","110.70 ","05.08"
"직계가족병 1차 합격 했는데","ㅇㅇ ","110.70 ","05.08"
"사람들의무소방원잘모르냐 개꿀인데 롤도할수있는데","ㅇㅇ ","125.185 ","05.08"
"체력 1급 아니면 출타 못나가게 하는데","ㅇㅇ ","175.223 ","05.08"
"기행병 추가모집하면","ㅇㅇ ","121.133 ","05.08"
"군대 어법 사회나가서 어떻게 사용하는게 옳은거냐","ㅇㅇ ","221.165 ","05.08"
"장갑차조종 많이 위험함???장갑차조종특기해본사람만 답변좀 ㅠㅠ","ㅇㅇ ","112.145 ","05.08"
"자대 일과시간에 매일 체력단련 있음?","ㅇㅇ ","182.221 ","05.08"
"준장에서 대장까지 얼마나 걸림??","ㅇㅇ ","223.62 ","05.08"
"남자친구한테 영양제 보낼건데","ㅇㅇ ","223.62 ","05.08"
"훈련소는 튜토리얼이 아니다","ㅇㅇ ","223.62 ","05.08"
"낼 첫휴가나감","ㅇㅇ ","223.39 ","05.08"
"담주월요일 입대하는 게이있냐?","ㅇㅇ ","59.23 ","05.08"
"장갑차 조종수 = 장갑차 정비병 이거 맞음??","ㅇㅇ ","211.36 ","05.08"
"수송부 원래 이렇게 좆같냐? 진심 디질거같다","ㅁ ","223.39 ","05.08"
"다이소에 시계팔아요??","ㅇㅇ ","1.233 ","05.08"
"아침구보하다 죽는다고?? 진짜?","ㅇㅇ ","218.148 ","05.08"
"고소공포증 개 심한데 레펠같은거 꼭해야됨?","ㅇㅇ ","218.159 ","05.08"
"그린캠프 갓다가 원복판정나도 소속 옮길수잇음??","ㄴㄴㄴ ","223.39 ","05.08"
"입대하고 몸 때문에 많이 힘든데","ㅇㅇ ","110.70 ","05.08"
"2사단 공병대대","새우깡 ","39.118 ","05.08"
"외진가서 정신과 간것도","ㅇㅇ ","110.70 ","05.08"
"담주 월요일 51사단 신교대 들어가는데 ","ㅇㅇ ","182.215 ","05.08"
