"dc_title","dc_writer","writer_ip","dc_date"
"불홍서버는 매크로 어떻게 잡는거냐","ㅇㅇ ","223.62 ","05.08"
"넥슨이 구버전을 다시 못돌리는이유","ㅇㅇ ","112.140 ","05.08"
"불홍 잡는다더니 언제 잡음","ㅇㅇ ","182.228 ","05.08"
"불홍 해보고싶은데 혼자 조용히 겜하려면 주술 해야함?","ㅇㅇ ","175.215 ","05.08"
"바람 그냥 불홍 인수해서 클레식 서버로 운영했으면 좋겠음","ㅇㅇ ","112.149 ","05.08"
"아.. 모든 체력 마력 올리기 하면 안되겠다..","ㅇㅇ ","218.209 ","05.08"
"마한대장 잡았음 ㅎㅎ","ㅇㅇ ","218.209 ","05.08"
"와 지금 불홍서버 사람이 1000명이다","ㅇ ","61.106 ","05.08"
"요즘 뭐로 돈버냐?","ㅇㅇ ","175.215 ","05.08"
"고전게임이라 그런가 npc 위치 같은거 안알려줘서 아쉽다","ㅇㅇ ","218.209 ","05.08"
"무자본은 연서버하면안됨?","ㅇㅇ ","39.7 ","05.08"
"전에 프리서버 사람 많다고 우기다 좆옹이한테 강간당했자너","ㅇㅇ ","110.70 ","05.08"
"애들아 바람의나라 본서버가 불홍서버보다 사람없다는게 사실이냐","ㅇ ","61.106 ","05.08"
"애들아 바람의나라 차사가 뭐냐","ㅇ ","61.106 ","05.08"
"얌나 호동서버 s급아이디좀 주라","end ","1.229 ","05.08"
"아직도 궁금한데 금강퇴랑 세시투구에 대해서 누가 좀 알려줘","ㅇㅇ ","49.143 ","05.08"
"직업 추천점","ㅇㅇ ","183.103 ","05.08"
"피케이할때 얼려져서 내캐릭 안움직여지고 기술도 안써지던데","ㅇㅇ ","220.70 ","05.08"
"[공지사항] 이기광 온라인 서비스 종료에 따른 환불 및 서비스 정책 안내","이기광 "," ","05.08"
"불홍 on","ㅇㅇ ","175.212 ","05.08"
"본바나 부랄이나 거기서 거기지","ㅇㅇ ","121.254 ","05.08"
"탈바한 사람으로서 불홍갖고 싸우는거 존나 병신같음","죽기장인 ","175.223 ","05.08"
"전붕이랑 도붕이 중에서 뭐가 더 나아?","ㅇㅇ ","141.223 ","05.08"
"횽아들 선비족부터는 솔플안대는거야?","ㅇㅂㅇ ","175.223 ","05.08"
"리본찾음","진실 "," ","05.08"
"넥슨은 불홍을 열어라","ㅇㅇ ","121.254 ","05.08"
"근데솔직히 부롱서버 초기화할때 됫잖어;;","ㅇㅇ ","14.38 ","05.08"
"바람은 경매장안생기냐?","ㅇㅇ ","175.223 ","05.08"
"부랄된다 ㄱㄱ","ㅇㅇ ","125.180 ","05.08"
"불홍 9일 오후 8시 다시 연다고함","ㅇㅇ ","49.166 ","05.08"
"불홍섭 나만 안되냐","dd ","125.186 ","05.08"
"바람 홍보 때려서 복귀할까 념글 쭉 읽어봤는데","ㅇㅇ ","211.230 ","05.08"
"복귀유저인데 질문좀","ㅇㅇ ","121.168 ","05.08"
