"dc_title","dc_writer","writer_ip","dc_date"
"12g 씹사기 너프시급하다","ㅇ "," ","05.08"
"브죄인피셜) 사설서버도 별도의 로드맵이 있을 것...","dd ","211.213 ","05.08"
"병신같은 분대컨퀘 재출시 하지말고 그라인드나 다시 출시해라","ㅇㅇ ","182.209 ","05.08"
"80킬 12뎃 박혀있길레 씨발 핵 하면서 봤는데","우스곰 "," ","05.08"
"니벨나이트같은 맵 안나오나 ㅋㅋ","ㅇㅇ ","220.79 ","05.08"
"플스 배브 삿는데 일요일까지 못함 ㅠㅠ","김보급 ","39.119 ","05.08"
"핵쓰면 뭔재미임??","ㅇㅇ ","220.79 ","05.08"
"탱크로 멀리서 똥싸개짓하면 재밌음?","ㅇㅇ ","220.79 ","05.08"
"STG로 나이더 쓰는게 소원임","아웃코딩 "," ","05.08"
"탱크포탄 다쓰면 보급 어케하냐??","ㅇㅇ ","220.79 ","05.08"
"라데온은 스터터링 종특인가요?","ㅇㅇ ","1.234 ","05.08"
"날틀탈때 보급안되는 버그","ㅇㅇ ","121.169 ","05.08"
"86킬 10데스면 핵이냐?","ㅇㅇ ","223.38 ","05.08"
"배4 유럽서버에서 강티당하는게","Cho0o0o0o0o0o0o0 "," ","05.08"
"틀딱 날틀 탱크헌터 고인물 미쳤다","GENE "," ","05.08"
"틀딱 저격총 몸샷 한대맞고 죽는거 ㄹㅇ꼬움","끄헐 "," ","05.08"
"진짜 ㄹㅇ","ㅇㅇ ","211.246 ","05.08"
"리베롤 개좋다","추적추적 "," ","05.08"
"배틀딱 하는 배린이인데 게임 도중에 리방인지 뭔지 왜자꾸 하는거냐","00 ","121.159 ","05.08"
"하루종일 배필해도 안질리는 남자 ㄷㄷㄷㄷㄷ(근육이모티콘)","ORKA ","39.118 ","05.08"
"틀딱 하고 왓는데 강간당하고 다시 배브킴","ㅇㅇ ","223.38 ","05.08"
"현무코인 특성화말고 쓸데없음?","ㅇㅇ ","180.67 ","05.08"
"융커스c 이새끼 어케 전투기보다 화력이 더 좋냐","㉲일리 "," ","05.08"
"근데 왜 좆본섭은 있는데 센징섭은 없음?","ㅇㅇ ","180.67 ","05.08"
"gua bi가 뭔소리냐?","ㅇㅇ ","180.67 ","05.08"
"배틀필드5 오류코드2","수개미 ","125.180 ","05.08"
"파스 큐 안잡히네 ㅋㅋㅋ","ㅇㅇ ","223.38 ","05.08"
"kards 하는 사람 있음???","꿍예 ","211.224 ","05.08"
"야 이거 왜 이러는거냐?","ㅇㅇ ","211.193 ","05.08"
"배틀딱 아시아섭 어때","ㅇㅇ ","175.203 ","05.08"
"데미지핵도 발전했나","ㅇㅇ ","58.237 ","05.08"
"배브산놈들이 뭔 가성비야","ㅇㅇ ","220.77 ","05.08"
"배필 싸게사는법좀요","ㅇㅇ ","180.66 ","05.08"
