"dc_title","dc_writer","writer_ip","dc_date"
"이더리움 네임 서비스, 외면하지 말아 주세요 ㅠㅠ","xyz "," ","05.08"
"코인스테이트 정보 입니다^^","으랏차차 "," ","05.08"
"언니  오빠들 확인해요 Boltt coin IEO","부자이야기 "," ","05.08"
"그러니까 전문가말을 왜 안듣고 잡알트타냐","ㅇㅇ ","183.109 ","05.08"
"오늘도","훈진 "," ","05.08"
"어버이날 기념 픽 공유","브리큐 ","112.172 ","05.08"
"비트 익절완료","고고고 ","219.248 ","05.08"
"호구들아 이거 알제? ","sksk ","223.39 ","05.08"
"리플은 참 안가네","ㅇㅇ ","110.70 ","05.08"
"텔방 비리부장 ","달려라 에셈 ","223.38 ","05.08"
"비트떡상가즈아","ㅇㅇ ","211.54 ","05.08"
"짭토시사건좀 잘 아는사람 없냐??","ㅇㅇ ","119.75 ","05.08"
"버거형들 업무시간 시작하자마자 던지는군","친중반민족자문죄인 ","221.155 ","05.08"
"좋은하루보내셨나요?","3434553 ","211.54 ","05.08"
"이 코인 예술이네","ㄱㄹㅈㅇ ","211.219 ","05.08"
"새로운 스타일 보상형SNS 코인스테이트","yjoh8585 ","182.214 ","05.08"
"대형거래소 상장되는 코인","ㅇㅇ ","211.36 ","05.08"
"호재 하나 준다","ㅇㅇ ","113.185 ","05.08"
"바낸 해킹이고 머고","왕자15 "," ","05.08"
"코인빗 1등 엘프입니다^^","상장ㄴㆍ ","14.4 ","05.08"
"두달사귄남친이 착하다고만하고 이쁘다곤안하는데 속으로는 이쁘다생각하죠?","ㅇㅇ ","175.223 ","05.08"
"엠백빛 퀀텀이 제일 좋네 이제보니깐","d ","112.163 ","05.08"
"바낸 해킹당했는데 왜 올라?ㅋㅋ","아인1893층 ","39.7 ","05.08"
"남친 맘 파악좀","ㅇㅇ ","175.223 ","05.08"
"내가 알고있는지식은 대화안해봐도 이미 잘알것같은 친구는 어떤넘이냐?","ㅇㅇ ","175.223 ","05.08"
"동성들 간에 싸가지없다는 소리 듣는놈들은 어떤넘이냐?","ㅇㅇ ","175.223 ","05.08"
"설거지빗 쓰는 사람들 조심해라 인생 설거지당한다.","ㅇㅇ ","117.111 ","05.08"
"따끈따끈한 코인뉴스","초보코린이 ","223.39 ","05.08"
"이 시팍...","jj ","125.184 ","05.08"
"비트대장이 오르면 다같이 상승장.","namhyo79 "," ","05.08"
"페더코인봐바","jj ","125.184 ","05.08"
"아무리 생각해도 제2의 아슨스리는","ㅇㅇ ","223.62 ","05.08"
"이제 슬슬 조정 올때도 되지 않았냐?","ㅇㅇ ","223.62 ","05.08"
"내가 산 코인","ㅇㅇ ","39.7 ","05.08"
"설거지빗쓰지말고 업비트씁시다.","ㅇㅇ ","117.111 ","05.08"
"비트 떨어질때됨","ㅇㅇ ","180.68 ","05.08"
"비트 대장이 가니 에프엔비도 오를 때 되었음","canariah "," ","05.08"
"오늘 내 코인들 무빙 예술이넼ㅋㅋㅋ","깡통코인 ","122.128 ","05.08"
"계속 상승하네요~~~","용쌤 "," ","05.08"
"에펜비 가좌","고정닉~~~ "," ","05.08"
"MOB 이거 들어봤냐?","코린이 ","1.249 ","05.08"
"자체운영 겜블링 플랫폼이 쩔지","헤고잉 ","211.205 ","05.08"
"왠지 말안해봐도 내가 아는건 알고 있을것 같은 친구는 어떤넘이냐?","ㅇㅇ ","175.223 ","05.08"
"라이즈 대형거래소상장이라던데","abcde ","42.28 ","05.08"
"-이거 점점 무서워지는데? ㅋㅋㅋ","kgckhg ","193.110 ","05.08"
"-코인게임 하시는 분?","kgckhg ","193.110 ","05.08"
"빗썸 DEX 상장을 시작으로 대형 거래소 리스팅 신호탄","ㅇㅇ ","218.49 ","05.08"
"-NULS코인 새로운 파트너십 생김??","kgckhg ","193.110 ","05.08"
"-무료 에어드랍 정보!!","kgckhg ","193.110 ","05.08"
"-NULS코인, 코인게임과 파트너십 체결","kgckhg ","193.110 ","05.08"
"비트코인 1억넣을라한다","ㄱㄴㄱㅅㅍㅅ ","203.234 ","05.08"
"아크블록 떡상하겟노 가즈아","창미사랑 ","39.121 ","05.08"
"아직도 비트코인 하냐","ㅈㅅ ","39.7 ","05.08"
"소셜 SNS 플랫폼 - CNT.","sigma1003 "," ","05.08"
"형들중에 비프 쓰는사람은 없어","코린이 ","1.249 ","05.08"
"바낸 해킹당했다는데 떡락도 없고 왜 상승장이냐? ","문제왕 ","39.7 ","05.08"
"텔레그램에서 비트 도미넌스 70%까지 간다더라","ㅇㅇ ","39.118 ","05.08"
"계속 주워야 하는부분이냐?","ㅇㅇ ","125.134 ","05.08"
"안녕하세요 이더리움클래식 코리아입니다 5/8일 소식전해드립니다","이더리움클래식코리아 "," ","05.08"
"판테온 물리새끼잇냐 ㅠ","가치투자자 ","211.39 ","05.08"
"정부에서 또 나설때가 온것 같다","ㅇㅇ ","106.255 ","05.08"
"지금 알트 최저점이다 코인폭등은 다시온다","ㅇㅇ ","121.124 ","05.08"
"아인스타이늄(EMC2) 1:3 에어드랍 지원 공식발표","ㅇㅇ ","117.111 ","05.08"
"오브스씨발개샜기 욕이한바가지나오네","머장조림 ","175.223 ","05.08"
"티비에서 본건데 이런거 도움좀 되는듯","ㅇㅇ ","110.70 ","05.08"
"Biido(BION) 제로 수수료 암호화폐 거래소, 프로비트 IEO 예정","djdj ","211.39 ","05.08"
"동성들 간에 싸가지없다는 소리 듣는놈들은 어떤넘이냐?","ㅇㅇ ","175.223 ","05.08"
"비트코인 진짜주네 ㅋㅋㅋ","lootbits ","175.223 ","05.08"
"블록빗 오지마라 담주 먹튀각잡고있다","존나못하네 ","175.223 ","05.08"
"100만 NULS코인 에어드랍","코인 ","175.197 ","05.08"
"너네 결혼비용 얼마정도 나오냐","ㅇㅇ ","175.223 ","05.08"
"형들 나 질문이 있는데 꼭 봐줘라","언제돈따냐 "," ","05.08"
"ㅋ 아크블록 진짜 떡상했네","ㅇㅇ ","223.62 ","05.08"
"국내외 거래소 상장!","푸우 ","110.70 ","05.08"
"수수료 이벤트 언제까지 하려나","코인감별사 "," ","05.08"
"이번에 유심히 보고있는 정보","꼬끼오 "," ","05.08"
"티비에서 보던거 짱신기함 ㅋㅋㅋ","ㅇㅇ ","110.70 ","05.08"
"이거도 보면 좋을 듯","ㅇㅇ ","175.223 ","05.08"
"악재 떴는데 희안하네","후니빠빠 "," ","05.08"
"7월에 나온다던데","ㅇㅇ ","175.223 ","05.08"
"엄청 이뻐보이던데","ㅇㅇ ","175.223 ","05.08"
"악재 뜨길래 일단 정리함","퐈이아 "," ","05.08"
"지켜봐도 좋을 듯함","ㅇㅇ ","39.7 ","05.08"
"라쿤방 설거지 ","븅딱들 ","223.62 ","05.08"
"아직까지는","ㅇㅇ ","175.223 ","05.08"
"아크블록 떡상간드아","ㅇㅇ ","223.62 ","05.08"
"마 마 맽기놔라 고마","욕쟁이초딩 ","211.36 ","05.08"
"솔직히 물린사람?","ㅅㄴㄷ ","223.39 ","05.08"
"빗흐 잘 버텨주고 있다","ㅇㅇ ","211.47 ","05.08"
"꾸준히 상승중이네","흑우이스커밍 "," ","05.08"
"유망한 코인 이토니온 IEO한다네요?","정보쟁이 ","121.172 ","05.08"
"템코방에서 홍보중임 ㅇㅇ","코인러 ","220.117 ","05.08"
"아크블록 빨간불 들어왔는데 터냐??","ㅇㅇ ","223.62 ","05.08"
"글로벌 진출 본격화","영히영히 "," ","05.08"
"신생거래소 7월부터 규제들어간다 ㅅㄱ","흑우형 "," ","05.08"
"끝없이 나오는구만","ㅇㅇ ","112.175 ","05.08"
"형님들 실생활토큰 소식보고가","덩그리마두 "," ","05.08"
"도와주셔서 감사합니다","Abcd739 ","223.38 ","05.08"
"신생 잡거래소 쓰는 새끼들 좆됬다!!!!!!! 얼렁 다텨라","흑우형 "," ","05.08"
"일단 팔고 한달뒤에 보자~","스페인 아재 ","115.93 ","05.08"
"컬러 광고영상 볼만함","존버 ","223.38 ","05.08"
"코리스 지켜보고 있음","잇ㅇ ","175.223 ","05.08"
"쿼크 어디가 바닥일까? 기다리는자","점핑 ","223.39 ","05.08"
"실생활토큰또상장하네여 ㄷㄷ","왕밤빵 "," ","05.08"
"한국에도 가맹점 많이 생기면 성공할까?","ㅇㅇㅇ ","223.33 ","05.08"
"6k 돌파 시점에서 해킹이 일어났다는 것에 의심이 된다.","필 ","122.42 ","05.08"
"fnb 대박각 ㄷㄷㄷ","rlaqhrka "," ","05.08"
"엔진코인의 블록체인 탐색기","ㅇㅇ ","210.113 ","05.08"
"아 우지한의 오른쪽 불알을 건 역대급 뻠삥 언제 오냐","ㅇㅇ ","223.62 ","05.08"
"코인판은 이상하게 신규코인사라는 광고가 많은데 ","라멜 ","117.111 ","05.08"
"근데 코인은 원리가 어케되냐 ","라멜 ","117.111 ","05.08"
"Bi이낸스 비트코인 7000개 해킹 당했단당 ㅋㅋㅋㅋㅋ","observer19 ","108.85 ","05.08"
"여캠히또방회장 대단한사람이더라 ","라멜 ","117.111 ","05.08"
"어떤 토큰으로 교환해준다는거지?","ㅇㅇㅇ ","223.39 ","05.08"
"SK 팀원들이 만든 코인 내일 IEO라는데 하냐?","으엑 ","220.64 ","05.08"
"이더 혼자 쏜다","ㅇㅇ ","118.219 ","05.08"
"썸남이 저보고 넌 긴장되는 외모는 아니라는데 무슨 뜻이죠","ㅇㅇ ","175.223 ","05.08"
"비트코인 드립니다","ㅇㅇ ","125.137 ","05.08"
"어떤곳이길래 보도자료도 나오냐?","ㅇㅇㅇ ","223.39 ","05.08"
"코인빗 이클사서 에어드랍받자 ㄱㅇㄷ","상장ㄴㆍ ","117.111 ","05.08"
"어떻게 서비스 상용화 시작할려나","ㅇㅇㅇ ","223.39 ","05.08"
"이리저리 손절만하다가 앵커탔다 근데 또하락 ㅜㅜ","스티브잡손 ","110.12 ","05.08"
"여자도 20대남자좋아하니까 남자도30 넘어가면서부터 결혼불가능아니냐?? ","ㅇㅇ ","175.223 ","05.08"
"아크블록은 왜 후오비인지 거기만 609원이냐","킹갓풀 "," ","05.08"
"이거 아이디어는 진짜 대단하다니","ㅇㅇㅇ ","223.62 ","05.08"
"버스표 하나만 예매해주실분","ㅇㅇ ","117.111 ","05.08"
"격변의 시기..나의 자세","디케의눈 ","223.62 ","05.08"
"이더 타라 20만원 찍는다","ㅇㅇ ","118.219 ","05.08"
"FNB 투자각인듯 ㅎㄷㄷ","RNB ","183.98 ","05.08"
"비트가고 이더 간다","ㅇㅇ ","118.219 ","05.08"
"빗썸/업빗/후코 수수료 어디가 젤 쌈??","달토끼 "," ","05.08"
"형들 현실적으로 생각해봐","팩트러버 ","96.49 ","05.08"
"비트코인 필요한사람?","lootbits ","175.223 ","05.08"
"비리부장인과 과장인가 뭐하는 놈이냐?","ㅇㅇㅇ ","59.24 ","05.08"
"빗흐 ㄱㅈㅇ","ㅇㅇ ","211.47 ","05.08"
"[속보] 이더리움 곧 20만원 간다","ㅇㅇ ","118.219 ","05.08"
"비트코인 왜함","투자의 병신 ","211.36 ","05.08"
"오늘 이더 20만원 간다 알제","ㅇㅇ ","118.219 ","05.08"
"오 이더 간다","ㅇㅇ ","118.219 ","05.08"
"비리부장 실력있네","ㅇㅇ ","1.235 ","05.08"
"여자도 20대남자좋아하니까 남자도 30 넘어가면서부터 결혼불가능아니냐??","ㅇㅇ ","175.223 ","05.08"
"이더 간다 타라 형 말했다 이더 간다고","ㅇㅇ ","118.219 ","05.08"
"ㅋㅋㅋㅋ코인판에서 코넌 선동 오지네","ㅇㅇ ","1.221 ","05.08"
"명ㅇㅢ로 간단하게 큰돈 벌어보실분 ㅇㅊ ㅈ 아닙니다","신우 ","203.87 ","05.08"
"비리부장... 최고네요","코인빠 ","223.39 ","05.08"
