"dc_title","dc_writer","writer_ip","dc_date"
"손목에 힘빼고 어떡게 그려뇨","ㅇㅇ ","203.226 ","05.08"
"질문)메디방 그릴때","ㅇㅇ ","119.203 ","05.08"
"선을 부드럽게 쓰고싶은데 어카면 좋을가요","ㅇㅇ ","211.219 ","05.08"
"노트8로 메디방 쓰려는데 하나도 모르겠다","ㅇㅇ ","119.203 ","05.08"
"대학에 겜과들은 뭐 가르치냐?","ㅇㅇ ","175.115 ","05.08"
"클립스튜디오 채색 질문","ㄱㄷㅁ ","1.251 ","05.08"
"프로코 피규어 드로잉 과정에서 뭘 배우는거임?","ㅇㅇ ","211.219 ","05.08"
"어제 그린 학교 과제 - 소통과 대화 만화","Lovendpeace "," ","05.08"
"판에서 신티크 넘어왔는데 cpu도 갈야야댐??","ㅇㅇ ","106.102 ","05.08"
"시발 돈내고 과정샷 받앗는데 개창렬이네...","ㅇㅇ ","110.70 ","05.08"
"SD는 알겠는데 ","ㅇㅇ ","118.223 ","05.08"
"독슈리 그림 어디서 보는지 아시는 분","ㅇㅇ ","58.238 ","05.08"
"그림쟁이는 왜 욕하면 안되냐? ","ㅇㅇ ","223.62 ","05.08"
"왜 카단갤은 퀄리티가 급변하냐","ㅇ이 ","14.52 ","05.08"
"입문은 종이에 4B 연필 모작 시작?","만붕이입문 ","1.211 ","05.08"
"사이툴 설정잘아는사람","샴푸. "," ","05.08"
"이 업계에서는 표절이나 파쿠리를 무슨 범죄자 취급하네 ㅋㅋ","ㅇㅇ ","223.62 ","05.08"
"일반커미션하고 sd커미션은 금액 다른가요??","00000 ","175.223 ","05.08"
"원래 골드3만 찍고 만화그리려했는데","성공적인은둔생활기원 "," ","05.08"
"아이패드 클립스튜디오 쓰는 사람 있음???","ㅇㅇ ","222.239 ","05.08"
"본래 그림쟁이는 모두 관종이니라","ㅇㅇ ","110.70 ","05.08"
"이런곳에 그림 올리는새끼들 =급식 or 관종 ","ㅇㅇ ","223.62 ","05.08"
"단갤 무림고수들 다 어디갔냐","방귀 ","175.223 ","05.08"
"야들아 일러레보다 서예가가 더 잘발지 않을까?","열반 ","175.125 ","05.08"
"프리렌서는 뭐먹고 사냐?","ㅇㅇ ","223.62 ","05.08"
"서피스프로 그림 그리기 구짐?","123 ","59.26 ","05.08"
"여긴 진짜 올때마다 개병신같네 ㅋㅋㅋㅋㅋ","ㅇㅇ ","175.206 ","05.08"
"야 병신새끼들아 ㅋㅋ 그림 왜그리냐?ㅇㅇㅋㅋㅋㅋ","ㅇㅇ ","222.107 ","05.08"
"그림쟁이새끼들=개병신 좆병신 ㅇㅇ ㅋㅋ","ㅇㅇ ","222.107 ","05.08"
"이세끼들아 트위터가 여기보다 낫지","ㄲㄲ ","49.168 ","05.08"
"픽시브에서 씹덕그림올리는데 제목 하트로올리는 냄져들 ㄷ","ㄹㅇ ","223.38 ","05.08"
"모작 연습은 어뜨케 해요?","ㅇㅇ ","223.62 ","05.08"
