"dc_title","dc_writer","writer_ip","dc_date"
"속초장터본닭강정 먹어본사람","ㅇㅇ ","121.137 ","05.08"
"배민라이더스 부계정 첫주문 1만원+2만원 막혔다 ","4ofnd "," ","05.08"
"유튜브 쿠폰 떳다 ㄱㄱ","ㅇㅇ ","125.185 ","05.08"
"야 요기요 문화상품권 ","4ofnd "," ","05.08"
"집근처 네네 시켜먹어봤는데 진심 일주일에 한번  기름가는듯한맛임","ㅇㅇ ","221.154 ","05.08"
"울나라가 식료품 물가가 ㄹㅇ 존나비싸","ㅇㅇ ","121.144 ","05.08"
"연어 500g 13000원 싼거냐?","ㅇㅇ ","182.217 ","05.08"
"배달비없는 ㅆㅅㅌㅊ치킨 추천받음","ㅇㅇ ","123.214 ","05.08"
"지코바 치킨 뭐가 제일 맛있냐","ㅇㅇ ","119.206 ","05.08"
"후참 vs 네네핫후","ㅇㅂ ","175.198 ","05.08"
"택배 배달새끼 완료처리 하고 안 갖다줬는데 어카냐","ㅇㄹ ","112.159 ","05.08"
"티몬 라면 두봉지도 배달옴?","ㅇㄴㅇㄴ ","222.108 ","05.08"
"과일값도 도매시장가굑이랑 소매시장가격 두배이상차이나잖아","dd ","175.223 ","05.08"
"그지새끼들 갤러리네","ㅇㅇ ","39.7 ","05.08"
"지금 치킨 시켜먹을껀데","2555 ","118.33 ","05.08"
"파바 괜찮은거같다","ㅇㅇ ","175.196 ","05.08"
" 30대 백수인데 나랑이랑 결혼하고싶은데 오또케?","ㅇㅇ ","175.223 ","05.08"
"치킨 질렸음","2025기본소득 "," ","05.08"
"kfc 가서 테이크아웃해올땐 존맛 ㅇㅈ이였는데","ㅇㅇ ","221.154 ","05.08"
"손흥민 경기 대비 치킨 시킬건데 ㅊㅊ좀","ㅇㅇ ","39.7 ","05.08"
"아니당연히 4조각은 세일가격이니까 치킨나이트 적용안되지","ㅇㅇ ","221.154 ","05.08"
"근로장려금 우편안왔는데 홈택스에선 신청대상인데 가능?","돼지탈출 "," ","05.08"
"해킹, 유포, 사이버 괴롭힘을 당하고 있다 도와줘","ㅇㅇ ","49.143 ","05.08"
"근로장려금 우편옴","ㅇㅇ "," ","05.08"
"나랑님 죄송합니다 치갤 여신은 솔라씨로 교체됐습니다","ㅇㅇ ","1.224 ","05.08"
"내일 치킨시킬건데 추천좀","ㅇㅇ ","124.111 ","05.08"
"198만구독자 프란 5천원쿠폰떳다","ㅇㅇ ","223.33 ","05.08"
"먹빵박스에 뭐들어있냐???","ㄹㅇ ","116.120 ","05.08"
"[쿠폰힌트] 유튜브에 '우슬라 메이크업' 검색후 맨처음 나오는 유투버","키사 ","121.141 ","05.08"
"게이들아 프엑스 치킨이벤 마이묵자","시진핑 "," ","05.08"
"치킨 쿠폰공약걸시 필승","엠페리얼 "," ","05.08"
"요즘 와이리 파닭집이 안보이노? ","시진핑 "," ","05.08"
"파바 빵 존나맛없네","dd ","175.223 ","05.08"
"치킨세일이 없으니 좃같노","시진핑 "," ","05.08"
"쿠폰가지고 장난질이냐? 내가 알려준다","ㅇㅇ ","123.213 ","05.08"
"동유니크 안털렸다는데","ㅇㅇ ","14.38 ","05.08"
"우버이츠로 주문하고 매장에서 픽업가능하냐?","ㅇㅇ ","183.101 ","05.08"
"울고 싶다","ㅇㅇ ","125.188 ","05.08"
"구걸하려면 어디가 젤 명당이냐","엠페리얼 "," ","05.08"
"하동시미켄 너를 소환한다","ㅇㅇ ","223.38 ","05.08"
"파바 KFC는 믿고 거르는 브랜드다 ㄹㅇ","ㅇㅇ "," ","05.08"
"도둑질이 무섭다고","4ofnd "," ","05.08"
"파바 시킨 새끼들은 100프로 내 말 공감할 거임 메뉴추천","ㅇㅇ ","125.185 ","05.08"
"오늘 파바 소세지빵 시켜먹어본애들있냐","ㅇㅇ ","211.108 ","05.08"
"kfc  시발 치킨나이트는 치킨1조각만 적용이네 ㅋㅋㅋㅋ","ㅇㅇ ","117.111 ","05.08"
"녹스 근로장려금 이걸 무슨","4ofnd "," ","05.08"
"kfc 유난히 빠는애들은 그 마갤에서 온애들이지","ㅇㅇ ","118.43 ","05.08"
"KFC는 언제나 병신인데 맨날속노 ㅋㅋㅋ","ㅇㅇ "," ","05.08"
"진짜 치갤 개새끼들 죽여버리고 싶다","ㅇㅇ ","175.223 ","05.08"
"유지니tv안되는데 어딨냐?","ㅇㅇ ","124.28 ","05.08"
"야 유튜버 하나 찾았다 쿠폰은 알아서 ","ㅇㅇ ","125.185 ","05.08"
"배달대행 주문 묶어서 가는거 개좆같음","dd ","175.223 ","05.08"
"야 치킨 먹을 건데 빨리 ㄱ들어와바","ㅇㅇ ","122.36 ","05.08"
"이 글 보는순간 눈 깜빡이는거 의식함","ㅇㅇ ","210.94 ","05.08"
"동네치킨 16000원 vs 뿌링클 19000원","낙천적인갤러 "," ","05.08"
"치킨 먹을때 비닐장갑 끼는 새끼들 목따버리고 싶다","ㅇㅇ ","218.146 ","05.08"
"확실히 치킨은 술 못먹은 젖비린내나는 애들은 많이 못먹네","ㅇㅇ ","110.70 ","05.08"
"교촌 기프티콘으로 매장에서 먹는데","ㅇㅇ ","121.141 ","05.08"
"마트알바충인데 선물 살게 마땅치않아서","ㅇㅇ ","203.226 ","05.08"
"배민은 버거킹 엑스트라 안되냐?","ㅇㅇ ","125.178 ","05.08"
"베스킨은 배달료안받는데잇나?","ㅇㄴㅇㄴ ","222.108 ","05.08"
"좆착순 74개 남은 거 찾았다 이거라도 쓸 놈??","ㅇㅇ ","125.185 ","05.08"
"호식이가 동네 배민 주문1위면 거지동네임?","씹창맨 ","211.36 ","05.08"
"아 엽떡먹고싶은데 쏜다선착없어?","ㅇㅇ ","59.14 ","05.08"
"어플가입 1쿙 드림@","푸름 ","114.207 ","05.08"
"우리동네 bhc는 기프티콘쓰면","ㅇㅇ ","117.111 ","05.08"
"조온나 급해 빨리정해줘 ","ㅇㅇㅇ ","211.36 ","05.08"
"닭팔이들 요기요에서 주문온건지 배민에서 온건지 구분 가능함?","ㅇㅇ ","210.205 ","05.08"
"애달왜배틀태그 달고잇냐?","멜리사라 "," ","05.08"
"한 음식점에 주문 2개 연달아 넣으면 한꺼번에 배달 오냐?","ㅇㅇ ","125.178 ","05.08"
"가성비충 특","멜리사라 "," ","05.08"
"얘들2000원할인권에 목숨거는 이유가뭐야..?? 개인적으로궁금해서물어볼게","ㅇㅇ ","118.139 ","05.08"
