"dc_title","dc_writer","writer_ip","dc_date"
"짱끼뚤래 보고있다","ㅇㅇ ","112.154 ","05.08"
"츠구모모 재밋읍니다","페브리즈은은한향 "," ","05.08"
"수영장가서 젖발기 구경하는게 또 일품이지","ㄴ ","112.170 ","05.08"
"행정학과 다니는 색기들은 왤케 공부에 관심이 없지","병신애니만봄 "," ","05.08"
"1등정자플루청연61.110카이만생뀨 이런새끼들은 이제 보이지도 않네ㅋㅋ","ㅇㅇ ","223.33 ","05.08"
"곤충 먹어본 만붕이 있음? (번데기 포함)","ㅇㅇ ","78.54 ","05.08"
"아니 만갤 서버 왜 지랄이냐","엠생머장 "," ","05.08"
"시발 고놈의 좆좆키스 진짜 언제 끝나는데","엠생머장 "," ","05.08"
"아시발 7억엔 10화 왜 없냐","sunge "," ","05.08"
"아직도 만톡방에 없는새끼들도있냐","ㅇㅇ ","211.176 ","05.08"
"만갤 고닉들 단톡있는거 다안다","ㅇㅇ ","223.38 ","05.08"
"사신킥 채널이 아니라 페코튜브네 ㄹㅇㅋㅋㅋ","ㅇㅇ ","78.54 ","05.08"
"번역되는거 왜케 무시무시하냐","익졤 ","1.238 ","05.08"
"헬퍼는 왜 럭키짱이 되버렸냐","ㅇㅇ ","121.140 ","05.08"
"대욱이 념글 구분할게 뭐있음 앞에 번역) 안붙어있으면 다 주작글인데","ㅇㅇ ","218.50 ","05.08"
"전생하니 악의나라의 아가씨 존나산만하넷ㅂㅋ","이세계조와 ","121.167 ","05.08"
"↓나랑 혐한","ㅇㅇ ","110.70 ","05.08"
"전날 배부르게 먹으면 다음날 아무것도 안 먹어도 배 안 고픈듯","의미없음 "," ","05.08"
"↓내국","ㅇㅇ ","39.7 ","05.08"
"↑한우","ㅇㅇ ","39.7 ","05.08"
"프갤 현피떡밥보고 놀러갓다왓는데","슈퍼소다 "," ","05.08"
"디아2 리마스터해도 누가해 솔직히 ㅋ","ㅇㅇ ","99.240 ","05.08"
"양쪽어금니꺠져서 3일째죽만먹는중","ㅇㅇ ","125.190 ","05.08"
"소니 이제 게임 회사 아니냐","ㅇㅇ ","175.223 ","05.08"
"ㅈ등분언제 나오냐? 일곱개의 대죄하고 같이나올때 됐지 않나?","ㅇㅇ ","14.5 ","05.08"
"문재인 애미창년 씨발새끼","ㅇㅇ ","49.170 ","05.08"
"칠대죄 에스카노르 좆간지네 ㅋㅋㅋ","ㅇㅇ ","45.64 ","05.08"
"좆루 주작글 보기싫으면","ㅇㅇ ","39.116 ","05.08"
"내일은 꼭 죽었으면 좋겠다","돌고래쟝 "," ","05.08"
"기저귀녀 저거 망가 작가아냐?","ㅇㅇ ","117.111 ","05.08"
"스물일곱 먹고 민증검사 받았는데 만붕이 상위 몇프로?","은정이♡ "," ","05.08"
"하니메 막혔네 ㅆㅂ","ㅇㅇ ","118.46 ","05.08"
"마나모아 이미지다운막은거 다운하려면 어캐함","요나기 "," ","05.08"
"진짜 만갤접어야겠다","ㅇㅇ ","211.178 ","05.08"
"주작치는새끼 자살좀","청산 "," ","05.08"
"너들 어버이날 선물 몇번 줬니?","운무 "," ","05.08"
"자살하고 싶다... 난 왜ㅜ사는걸까..","ㅇㅇ ","121.178 ","05.08"
"딸의 친구 스포한다","유동 ","220.93 ","05.08"
"올리버 왤캐 병신됨ㅋㅋㅋ","실화임? ","218.150 ","05.08"
"옛날에 봤던 망가인데 제목 아는사람?","ㅇㅇ ","59.25 ","05.08"
"건강하려면 하루 8시간을 자라는데","ㅇㅇ ","39.7 ","05.08"
"변마금 주인공 ㅈㄴ 쓰레기 같다고","의미없음 "," ","05.08"
"근데 미술테스트인지 어디서들 하는거냐","은정이♡ "," ","05.08"
"화이트 초코 미떼 먹어본 갤럼 잇냐","은정이♡ "," ","05.08"
"일본 만화 주인공들은 왜 아침에 샤워 안하냐?","ㅇㅇ ","175.223 ","05.08"
"타인 몰래 녹음한거 법정에서 증거로 못씀??","ㅇㅇ ","211.218 ","05.08"
"시지각은 대체 뭘 말하는거임?","ㅇㅇ ","121.190 ","05.08"
"50분만 밖에서 버티다 들어가면","ㅇㅇ ","39.7 ","05.08"
"해킹, 유포, 사이버 괴롭힘을 당하고 있어 도와줘","ㅇㅇ ","49.143 ","05.08"
"던파 지금 좀 어이없네","ㅇㅇ ","39.7 ","05.08"
"소년낚시왕 올라와있는 사이트 없음?","루한<U+17B5> "," ","05.08"
"야 볼룸에 오신것을 환영합니다는 언제까지 휴재하냐?","ㅇㅇ ","221.144 ","05.08"
"언제까지 이렇게 살아야 하는걸까","nbvc "," ","05.08"
"근데 야스가 무ㅗ냐","은정이♡ "," ","05.08"
"옛날 디시가 존나 그립네;","ㅇㅇ ","175.223 ","05.08"
"쓰레기 대결 : 루리웹이랑 인벤 고렙임","ㅇㅇ ","223.33 ","05.08"
"익헨에서 망가 지워지기도함?","ㅇㅇ ","124.57 ","05.08"
"루미코 시발 란마 그림체로 다시 돌아와","ㅇㅇ ","211.110 ","05.08"
"도박마 작가가 전직 미용사라는게 사실이냐","외않됌 "," ","05.08"
"일주일만에 돌아왔지만 ","RGM-89S "," ","05.08"
"아인 68화 되게 허무하게 끝나네","ㅇㅇ ","110.70 ","05.08"
"아 좆같은 만화만 올라오냐","ㅇㅇ ","59.8 ","05.08"
"소종여가 뭐야?","초롱불 "," ","05.08"
"루미코 여사 만화 특징","ㅇㅇ ","125.177 ","05.08"
"풀발 30cm인 장애학공 썰은 과장일 가능성이 높다","ㅇㅇ ","218.233 ","05.08"
"야 프리코네갤 현피뜬다","ㅇㅇ ","211.36 ","05.08"
"좆펀맨보다 이세계 콰르텟이 작화 좋노 ㅋㅋㅋ","ㅇㅇ ","218.50 ","05.08"
"바투키 원본 어디서 보냐????","ㅇㅇ ","211.36 ","05.08"
"디자인과인데 컴공과 친구보다 미술테스트 안좋게 나온거에요","ㅇㅇ ","222.113 ","05.08"
"일본 감기 신기한점","ㅇㅇ ","39.7 ","05.08"
"헬븐넷에 있는 자료 익헨에 다 있음??","ㅇㅇ ","223.33 ","05.08"
"요네즈켄시는 얼굴부터 진짜 힙스터스러운데","ㅇㅇ ","116.32 ","05.08"
"반다이 이새끼들 진짜 놀래키는 재주가 있다.","도사마하라자 "," ","05.08"
"이치카가 잘못한거.. 인기가 없음","ㅇㅇ ","223.38 ","05.08"
"공익 따기 존나 쉬워졌다","버터소보로 "," ","05.08"
"집오니깐 아버지 뭔가 기대하는 눈치신데","ㅇㅇ ","116.32 ","05.08"
"유입뉴비의 질문에 답해주실분","론화 "," ","05.08"
"적성일 뿐이지 제대로 배우면 다 잘한다","ㅇㅇ ","121.183 ","05.08"
"미야모토 무사시가 제일 인간적으로 묘사된 게 바키인 듯","도일 "," ","05.08"
"미술테스트 무서워서 못하겠다","ㅇㅇ ","121.190 ","05.08"
"이제 지옥이다..","ㅇㅇ ","118.45 ","05.08"
"근데 시지각이 뭐말하는거임?","ㅇㅇ ","175.205 ","05.08"
"소아온 애니 다나왔다길래 보는중인데","님카선 "," ","05.08"
"어린이집 실습소감 및 실습내용과 실…","o o ","117.111 ","05.08"
"카페에서 취미로 그림같은거 그리고 있으면 행복함","ㅇㅇ ","175.202 ","05.08"
"저 테스트 은근 정확하네","ㅇㅇ ","175.205 ","05.08"
"워드 작업할때 한글같은거 다 정품 사서 쓰냐","ㅇㅇ ","218.145 ","05.08"
"추천받은 소녀사전 정주행하고옴","desiper "," ","05.08"
"1일1식중","갓겜인증사 "," ","05.08"
"빛의 창기병 헤카림vs마법공학 레넥톤","ㅇㅇ ","211.176 ","05.08"
"미드 이렐 존나 세 ㅡㅡ","ㅇㅇ ","59.22 ","05.08"
"마나모아죽음?","ㅇㅇ ","115.140 ","05.08"
"진심으로 바미당 지지하는 사람이 있음?","ㅇㅇ ","39.7 ","05.08"
"요즘 밖에 다니면 잘생긴 남자들 왤케 많냐","ㅇㅇ ","218.145 ","05.08"
"양념치킨 소스 남은거에 라면 비벼먹는게 이상한거임???","ㅇㅇ ","118.40 ","05.08"
"꼭지랑 뷰지에 스티커 붙이는거 태그 뭐임?","ㅇㅇ ","121.88 ","05.08"
"날 위로해주는 상냥한 여동생쟝 어딨음","ㅇㅇ ","121.134 ","05.08"
"바키가 pc들어가면 어떨 까?","도일 "," ","05.08"
"이거 명작이네","ㅇㅇ ","39.7 ","05.08"
"만갤 kt통피 차단해도 되지?","ㅇㅇ ","223.62 ","05.08"
"그 고닉새끼 고소당함ㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","219.241 ","05.08"
"이거 문스독 2기 오프닝 풀버전이냐?","ㅇ ","112.144 ","05.08"
"ㄹㅇ루다가시카카시 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","220.121 ","05.08"
"저장용 클릭금지","ㅇㅇ ","219.241 ","05.08"
"김성수 아내 사망이유?, 사진...'뒤쫓아 나와..', 칼에 찔려...'","222 ","125.180 ","05.08"
"저장용","ㅇㅇ ","219.241 ","05.08"
"루메코 할매 만화에 분명 틀딱요소 나온다.","ㅇㅇ ","39.118 ","05.08"
"유이가하마탈락 말이되노 ㄹㅇ","ㅇㅇ ","223.38 ","05.08"
"내가 들어본 걸그룹 노래중에 진짜 좋은거.....real","ㅇㅇ ","121.130 ","05.08"
"만화추천좀","desiper "," ","05.08"
"본인이 미술 재능있는지 판별하는방법","DG크래커 "," ","05.08"
"이런 야애니 혹시 아냐","ㅇㅇ ","121.129 ","05.08"
"럽코 엔딩은 언제나 원패턴이었어","ㅇㅇ ","211.252 ","05.08"
"루미코 할매는 신인들한테 자리 좀 내줘야지. 눈치가 없노.","ㅇㅇ ","39.118 ","05.08"
"저저 저놈당체...","ㅇㅇ ","219.241 ","05.08"
"스컬그레이몬처럼 생긴놈도 다 여친 있네","ㅇㅇ ","218.145 ","05.08"
"ㄴ 느그애미나 회뜨라 이기야","ㅇㅇ ","219.241 ","05.08"
"마카롱 사먹으면 맛있음?","ㅇㅇ ","39.7 ","05.08"
"여동생이 불알 빨아주겠다는데","ㅇㅇ ","121.134 ","05.08"
"어떤 개 씨발년이 겐키군 번역됐다고 초쳤냐 진짜 개같은년아","ㅇㅇ ","117.111 ","05.08"
"코딱지에서 원래 신맛도남?","ㅇㅇ ","223.38 ","05.08"
"그거아냐? 요즘 수도권 일진들은 옛날이랑 다르다","ㅇㅇ ","220.119 ","05.08"
"음.......","desiper "," ","05.08"
"니거 3인방 등장 스타트 끊은거 좀 웃기던데","ㅇㅇ ","39.7 ","05.08"
"바나나우유 마셨는데 안에 날파리 들어있었음","33 ","210.183 ","05.08"
"야 근데 '좌장'이 뭔 뜻이냐?","ㅇㅇ ","121.145 ","05.08"
"그러고보니 ''별나비싫어'' 이새끼 어디감","ㅇㅇ ","203.123 ","05.08"
"영화관가면 이해안가는 사람들","ㅇㅇ ","39.7 ","05.08"
"댕댕이 만지고 놀려면 어디가야함","고덴 "," ","05.08"
"일일외출록 반장은 휴재중인가","ㅇㅇ ","175.223 ","05.08"
"버거킹 햄버거 깔끔하게 먹는 방법 없나","ㅇㅇ ","218.145 ","05.08"
"누가 하루 임신하는 그 주작만화 올려주면 안되냐?","ㅇㅇ ","121.187 ","05.08"
"엔드게임 봤을때 옆에 아들딸 대리고온 아버지하나","ㅇㅇ ","39.7 ","05.08"
"어벤저스 극장에서 안보면 후회하냐","ㅇㅇ ","218.145 ","05.08"
"님들 내가 자작만화 생각해봤는데 재밌을거같지않음?","등짝푸른생선 "," ","05.08"
