"dc_title","dc_writer","writer_ip","dc_date"
"위산기 공부9일차.txt","시설노비충 ","122.254 ","05.08"
"g한전 현직 질문받음..","123 ","112.164 ","05.08"
"전기이론 질문받는다 ㄱㄱ","353 ","183.105 ","05.08"
"솔직히 다들 전쟁 났으면 좋겠지..?","ㅇㅇ ","49.171 ","05.08"
"지잡4년제 3학점이하인데 조언좀","ㅇㅇ ","59.23 ","05.08"
"어휴 좆소 갈거면 워라벨 포기해라","ㅇㅇ ","125.189 ","05.08"
"메이저 공기업다니는데 ㅆㅂ 인생 존나 허무해서 자살할거같다.","ㅇㅋ ","125.137 ","05.08"
"요즘 좆소 자리 넘친다","ㅇㅇ ","182.222 ","05.08"
"좆공 하는애 없냐? ","콩콩 "," ","05.08"
"호구마냥 예예 거리지 말고 할말 하고 살아라","ㅇㅇ ","223.62 ","05.08"
"요즘 좆소경쟁율 장난없음","ㅇㅇ ","223.62 ","05.08"
"군무원 어떠냐? 군무원 도전 할까함.","ㅇㅇ ","110.70 ","05.08"
"일해보면서 느낀건 자격증따서 시설가는게 좋다.","ㅇㅇ ","110.70 ","05.08"
"대학다니면서 돈만 안쪼들렸어도 참고다녔을듯","ㅇㅇ ","183.102 ","05.08"
"전기기사 실기 김대호가 좋음 아니면 다산에듀가 좋음??","ㅇㅇ ","27.113 ","05.08"
"시설애들 그릇이 작다고 느낀게","220.78 "," ","05.08"
"하 공뭔 준비한다고 휴학했는데 전기산기나따련다","ㅇㅇ ","183.102 ","05.08"
"전기기사정도 있으면 난 노력했다고 쳐준다","ㅇㅇ ","218.156 ","05.08"
"혹시 돈받고 백수 하는애들있냐 나처럼","ㅇㅇ ","223.62 ","05.08"
"구라인줄 알았는데 좆기필기만 6년 한 사람있더라","ㅇㅇ ","175.223 ","05.08"
"실기 합격자 발표 아직도 2주나 남았냐","ㅇㅇ ","119.71 ","05.08"
"26살 망한인생 공기업,공무원vs편입 ... 어디로 가야할까...?","ㅇㅇ ","211.198 ","05.08"
"야 씨발 전문대전기과졸업하고 취업할때 생기부 종합의견란 보냐?","지나가던재기 "," ","05.08"
"나랑같이자살할사람","ㅇㅇ ","223.62 ","05.08"
"좆소 면접 갔다왔는데 업무와 다르게 말함","ㅇㅇ ","175.223 ","05.08"
"좆소가 나라에 기여하는거 좀 알려줘","ㅇㅇ ","112.187 ","05.08"
"다산 폰으로도 들을 수 있음?","ㅇㅇ ","182.222 ","05.08"
"한전 면접 하 시발","ㅇㅇ ","223.62 ","05.08"
"생산직 힘듬?","ㅇㅇ ","114.200 ","05.08"
"시화공단에서 일하는데  차 너무막힌다","ㅇㅇ ","223.62 ","05.08"
"경력 걍 안써도 상관없겠지??","ㅇㅇ ","124.58 ","05.08"
"좆기따야된다고해서 땃는데 ㅈ도쓸모없다","ㅇㅇ ","218.156 ","05.08"
"학은제가 낫냐 학교 다시다니는게 낫냐","ㄸㄸ ","117.111 ","05.08"
"하 좆산기 실기 1일차인데 존나 막막하네","ㅋㅋ ","118.41 ","05.08"
"최악의 최악은 어떻게 살아야되냐","기리데레부루 ","121.186 ","05.08"
"31살이개새끼가 반말찍찍하는데 어쩌냐? 노바야 이새끼","무과금무극 ","180.66 ","05.08"
"어떻게하면 긍정적으로 살 수 있을까","ㅇㅇ ","175.223 ","05.08"
"공기업 지원하는 애들은 필기시험 주관식으로 보냐?","기사 ","110.70 ","05.08"
"나만큼 앰생은 없을듯","ㅇㅇ ","175.223 ","05.08"
"ncs가 뭐야?","기사 ","110.70 ","05.08"
"킹안공 현직 있어? 전공 잘보면 ncs 반타작만 해도 합격함?","ㅇㅇ ","183.90 ","05.08"
"공기업 블라인드 채용이니까 서류,면접때 경력사항 이런거 안물어보겠지?","ㅇㅇㅇ ","116.39 ","05.08"
"한국사 기출문제집 머사야되냐??","ㅇㅇ ","222.114 ","05.08"
"좆소도 10인이상만 가라.. 진짜 작은곳은 가지마","초보 ","119.196 ","05.08"
"경력 6개월+7개월+6개월 있는데","ㅇㅇㅇ ","116.39 ","05.08"
"흙수저는 시발 노력해도 흙수저다.","ㅇㅇ ","211.184 ","05.08"
"야이씨벌 왜 오픈카톡 링크 안올라가지냐","너어어 ","121.137 ","05.08"
"취준 준비 일 수 만큼 푸쉬업하는데","ㅇㅇ ","175.223 ","05.08"
"시설 이력서에 전기기사나 전산기 적냐?","기사 ","110.70 ","05.08"
"노바형 질문좀....","ㅇㅇ ","223.38 ","05.08"
"어버이날이라 부모님에게 백만원 드렸다","ㅇㅇ ","211.184 ","05.08"
"왜이렇게 인생이 재미가 없을까...","ㅇㅇㅇ ","116.39 ","05.08"
"공기업 서류 통과만 기능한데","ㅇㅇ ","175.223 ","05.08"
"낳음당한 내인생 시부럴...","ㅇㅇ ","223.62 ","05.08"
"직업추천좀","ㅇㅇ ","223.62 ","05.08"
"사우나 시설관리 빡세냐?","ㅇㅇ ","119.197 ","05.08"
"경력 안되는 일 하느니 차라리 빨리 나오는게 낫겠지??","ㄹㄹㄹ ","116.39 ","05.08"
"고민좀 들어주실분","353 ","183.105 ","05.08"
"형들 나  좆소 다니는 지잡인데","ㄷㄷ ","218.145 ","05.08"
"[컴활 액세스] 질문","ㅇㅇ ","121.149 ","05.08"
"취준생 멘탈관리 어케함?","ㅇㅇ ","175.223 ","05.08"
"후 kps이번에 전공 60점 맞음 ㅡㅡ ㅅㅂ","기술사를향하여 ","175.223 ","05.08"
"시설쌍놈 67세 청소아줌마랑 ㅅㅅ했다..","ㅇㅇ ","39.7 ","05.08"
"형들 질문있어요","ㅇㅇ ","223.38 ","05.08"
"초봉 3500이상인 좆소도 잇냐ㄷㄷ","ㅇㅇ ","211.51 ","05.08"
"작년인가? 코레일 좆기직만 7000명 지원했었다","ㅇㅇ ","39.7 ","05.08"
"시설도 채용예정자 있냐?","-^^- ","119.196 ","05.08"
"식품 물류센터 일해본 사람 있냐?","ㅎ2 ","210.99 ","05.08"
"도대체 인재정보에 저렇게 인재들이 많은대","asd ","121.200 ","05.08"
"공부하다가 취업관련 정보 찾다보면 공부의욕상실함","ㅇㅇ ","175.223 ","05.08"
"191 떨어지더라도 포기하지마라","12 ","110.70 ","05.08"
"취업안되서 아프리카 용병으로 간다","ㅇㅇ ","175.223 ","05.08"
