"dc_title","dc_writer","writer_ip","dc_date"
"머냐 갑자기 뜨네 이거","Genari ","223.39 ","05.08"
"주휴 신고해서 80만원받음","ㅇㅇ ","175.223 ","05.08"
"못생기고 몸무게 100키로라서 입밴 당함","보존냄사킁빚6 ","223.38 ","05.08"
"4시간째 손님이 안온다","익명 ","117.111 ","05.08"
"손님이 반말하면 빡치냐??","ㅇㅇ ","211.49 ","05.08"
"근데 살면서 손님접대일 한번이라도 해봤으면 진상짓은 안하게되지않나","ㅇㅇ ","211.36 ","05.08"
"개 시발 이렇게 된이상","ㅇㅇ ","112.186 ","05.08"
"손놈 들어와서는 15분째 전화만 하길래","동글동글아기수달 ","223.62 ","05.08"
"근데 너네편의점엔 진상들만있냐","ㅇㅇ ","211.36 ","05.08"
"계산 다하면 알바가 봉투에 담아주는게 기본 아니냐","ㄹㅇ ","203.229 ","05.08"
"애미씨발 개씨발 난병신 ㅋㅋㅋ","ㅇㅇ ","223.52 ","05.08"
"평일야간 2개월 후기","ㅇㅇ ","211.49 ","05.08"
"너네 월급 얼마임? 일주일에 근무 몇시간?","인생긍정적으로 ","211.36 ","05.08"
"걍 틀딱이나 꼰대가 술절어서 오면","sagong1515 ","175.200 ","05.08"
"밥 추천점","ㅂㄳ "," ","05.08"
"디씨 렉 존나걸려 애미창령들","호복이 ","211.36 ","05.08"
"가정교육이 확실히 중요하네..","동글동글아기수달 ","223.62 ","05.08"
"ㅎㅇㅇ 편돌이 다시 복귀한지 얼마안됬는데 뭐좀 물어보러왔음","sagong1515 ","175.200 ","05.08"
"오늘은 담배재고 대충 세야지..","MysteryA "," ","05.08"
"못생겻다고 입밴 당햇으 .....","보존냄사킁빚6 ","223.38 ","05.08"
"___","보존냄사킁빚6 ","223.38 ","05.08"
"그냥 밤새는거랑 야간근무랑 몸체감이 다른가봐","ㅇㅇ ","117.111 ","05.08"
"오늘 목표 : 물류부터 다한다음에 유튜브보기","핫싼 "," ","05.08"
"이마트에브리데이 먹을거 추천좀","ㅇㅇ ","223.62 ","05.08"
"편갤러들아 내가 국밥을삿는데","ㅇㅇ ","123.254 ","05.08"
"내가 잘못한거야?? ","ㅇㅇ ","117.111 ","05.08"
"이마트에브리데이 추천좀","ㅇㅇ ","223.62 ","05.08"
"GS 아무거나 먹는거 추천좀","ㅇㅇ ","223.62 ","05.08"
"밑이 코의점 갤러인데","ㅇㅇ ","106.102 ","05.08"
"<U+263B> ","보존냄사킁빚6 ","223.38 ","05.08"
"평야 8개월째 뒤져가는게 느껴진다","ㅇㅇ ","112.186 ","05.08"
"알바 그만두고 점장한테 주휴수당 달라고 했는데","ㅇㅇ ","106.102 ","05.08"
"유제 하는중","병신 ","175.223 ","05.08"
"해킹, 유포, 사이버 괴롭힘을 당하고 있어 도와줘 제발","ㅇㅇ ","49.143 ","05.08"
"우리집앞 코의점 평가좀","ㅇㅇ ","106.102 ","05.08"
"진짜 왕 겁나큰 벌레 담배매대 들어감 ㅠㅠ","MysteryA "," ","05.08"
"웃기면 추천눌러라. 썰푼다.","마동석 ","110.70 ","05.08"
"니네애미싹다창련ヲヲヲヲヲヲヲヲ<U+274C> ","보존냄사킁빚6 ","223.38 ","05.08"
"피방알바도 존목심하냐 알바들끼리?","ㅇㅇ ","211.210 ","05.08"
"편의점 알바 적정 나이가 몇임?","ㅇㅇ ","1.215 ","05.08"
"옐로우 충새끼들 민증보면 99-00","프붕이 "," ","05.08"
"어제 편의점갔는데 왜 계산원여자","ㅇㅇ ","175.223 ","05.08"
"어버이날에 패드립을 시전하니?","리빌 ","14.33 ","05.08"
"없던 사랑이 생겼잖아.","해롱해롱~ "," ","05.08"
"싹다창련ㅋㅋㅋㅋㅋㅋ<U+274C>","보존냄사킁빚6 ","223.38 ","05.08"
"근데 영프독중에 일본이랑 제일 관련없는나라가 프랑스임?","ㅇㅇ ","183.97 ","05.08"
