"dc_title","dc_writer","writer_ip","dc_date"
"Dhl 익스프레스 배송조회 오바네","잉클링74 "," ","05.08"
"셰에는 타 브랜드 싫어하네","ㅇㅇ ","223.62 ","05.08"
"쩝쩝충하니까 생각나는..","트니 "," ","05.08"
"먹으면서 소리내는거 싫음","ㅇㅇ "," ","05.08"
"오꿈의 추천곡 005 (안녕하신가영_언젠가 설명이 필요한 밤)","오꿈 "," ","05.08"
"피듀 a66 마지막으로 질러본다","Red. "," ","05.08"
"면 먹을때 후루룩충도 좀 별로든데","ㅇㅇ ","59.22 ","05.08"
"트니형 이번주 주말에 3시에 만나기로 한 거 안 잊었지?","ㅇㅇ ","110.70 ","05.08"
"실검 배우 무슨 일이야","ㅇㅇ ","223.62 ","05.08"
"빡 음감하고 싶은데 도움좀","리진 "," ","05.08"
"형들 qcy 씨발 쓰다가 짝짝이됨..","사과도둑 "," ","05.08"
"지하철 타는 인원들 한번만 콱 그냥 으으으윽","ㅇㅇ ","223.62 ","05.08"
"다나와에서 ie40 pro 재고없음뜨는데 어디서사냐?","AllWhite "," ","05.08"
"님들 급식인데 그렇게 돈이 어디서 남 ㅇㅇ","ㅇㅇ ","211.117 ","05.08"
"지금쓰는 이어폰 화노때문에 asmr들을때 별로네","ㅇㅇ ","59.22 ","05.08"
"원디렉션 vs 방탄소년단하면 누가 더 좋음?","ㅇㅇ ","211.117 ","05.08"
"안녕","공룡. "," ","05.08"
"난 PC직결과 DAC차이를 느낀게","ㅇㅇ ","58.142 ","05.08"
"6XX 이번에 와서 쓰는중인데","ㅇㅇ ","14.45 ","05.08"
"그거 알아? 내일은 플레뉴2 싸게 살수있는날","트니 "," ","05.08"
"개비싼 이어폰살바엔","SonodaUmi "," ","05.08"
"중고살라면 ㄹㅇ 30분단위로 눈팅해야됨","ㄷㄷㄷㄹ ","1.232 ","05.08"
"보컬이어폰 멸종했네 8sh 아직도 해먹고","ㅇㅇ ","117.111 ","05.08"
"피곤하다","Cetaphil "," ","05.08"
"디락 좌우 밸런스 고치는법 알아냄","ㅇㅇ ","220.123 ","05.08"
"중고딩나라 섹살 절대안나오네","SonodaUmi "," ","05.08"
"보스 qc35 2랑 젠하이저 모맨텀 트루 와이어리스 중","ㅇㅇ ","49.175 ","05.08"
"갓직히 유튜브 프리미엄 유저로써 유튜브뮤직 너무 구림","ㅇㅇ ","121.150 ","05.08"
"워씨ㅋㅋㅋ 플래그또 박살날뻔했네","JEN "," ","05.08"
"헤페갔다가 유튭에 얼굴팔렸누","시도령 "," ","05.08"
"Xba-a3 아직 현역???","ㅇㅇ ","110.70 ","05.08"
"커널형 쓰면 귀 멍멍해짐","ㅇㅇ ","59.22 ","05.08"
"우리나라 노래만 듣는놈은 멜론이 답이지?","ㅇㅇ ","223.33 ","05.08"
"에어팟 고음 귀아플정도로 찢어지는 기분인데","ㅇㅇ ","121.150 ","05.08"
"하루에 이어폰 3-4시간 끼는데 많이쓰는편이냐?","ㅇㅇ ","59.22 ","05.08"
"에어팟 돈이 20인데 그돈으로 아즈라 호라이즌사면 ㅅㅂㅋㅋㅋㅋ","ㅇㅇ ","121.150 ","05.08"
"내가 들어본 걸그룹 노래중에 진짜 좋은거.....real","ㅇㅇ ","121.130 ","05.08"
"hd 600이랑 599랑 그렇게 차이나냐","ㄷㄷㄷㄹ ","1.232 ","05.08"
"좆월우 궁금하네","ㅇㅇ ","223.62 ","05.08"
"귀건강엔 커널형보다 오픈형이 더 좋나?","ㅇㅇ ","59.22 ","05.08"
"k702 직구 주문했는데 이거 좋음???","ㅇㅇ ","175.195 ","05.08"
"젠하 hd6시리즈가 착용감 좋은편에 속함???","ㅇㅇ ","211.186 ","05.08"
"얄포 지금 재고 없다는데 오픈마켓이나 네이버채널링 타서 구매하면 호갱임","1일1540연차 "," ","05.08"
"디렘 예판 ㅅㅂ이네","ㅇㅇ "," ","05.08"
"형 병신이야?","ㅇㅇ ","203.226 ","05.08"
"평화주의자간지 개새끼","Hitomi.la "," ","05.08"
"구라도 좋음?","ㅇㅇ ","203.226 ","05.08"
"근데 음색성향말고  음질이 디락 이이상 가는게 많냐?","Red. "," ","05.08"
"z7m2 착용감 참 좋다","dd ","121.146 ","05.08"
"야 애플인이어에 아이폰 젠더물려서쓰는데 노래가자꾸멈춤","ㅇㅇ ","1.231 ","05.08"
"와 애플인이어쓰다가 오랜만에 이어팟써보니까 개답답하네","ㅇㅇ ","1.231 ","05.08"
"이헤갤 최고 호감고닉","ㅇㅇ ","211.200 ","05.08"
"코드리스이어폰 안써도 배터리수명 다냐?","고향묻는고양이 "," ","05.08"
"50정도로 살수있는 이어폰 추천 부탁드립니다","ㅇㅇ ","175.223 ","05.08"
"hd600 세일안함?","ㅇㅇ ","222.100 ","05.08"
"이어폰 비싼거 끼면 ㄹㅇ들리는게 다름?","ㅇㅇ ","175.223 ","05.08"
"코라 괜찮네","ㅇㅇ ","168.131 ","05.08"
"젠하이져 ie40 평가어떰?","ㅇㅇ ","175.223 ","05.08"
"컴플라이 TX400 팁 좋냐","알중마스터 ","112.153 ","05.08"
