"dc_title","dc_writer","writer_ip","dc_date"
"조또씨발경제학문제 찢어버리고싶네","ㅇㅇ ","222.102 ","05.08"
"세시 준비하는데 기출 보통 언제풀어보는게 좋냐","헤헿 ","219.241 ","05.08"
"나무 봄기본듣는데 고민이다..","ㅇㅇ ","223.62 ","05.08"
"장수하면 운동 가끔하려고 노력해도 결국 이렇게 되냐?","ㅇㅇ ","110.70 ","05.08"
"암기잘하는법좀ㅠ","ㅇㅇ ","223.62 ","05.08"
"씻고 밥먹고 이동하고 담배피고 똥싸는데만 하루 4시간은 소비하는데","ㅇㅇ ","211.36 ","05.08"
"오늘의 공부","ㅇㅇ ","175.223 ","05.08"
"세무사 노베 1차합격생 지금부터 2차준비하면 붙음??","ㅇㅇ ","175.210 ","05.08"
"유투브만 가도 순공 15찍는애들 실시간으로 후두룩 한데","ㅇㅇ ","125.183 ","05.08"
"순공 10시간이 가능하냐?","ㅇㅇ ","211.36 ","05.08"
"절세같은거 공부하려면 세법보면 되나???","열심히살자 ","221.162 ","05.08"
"돌아와요 행무라이.. 조용하노","ㅇㅇ ","110.70 ","05.08"
"합병시 세무조정 알려달라고 ㅡㅡ","ㅇㅇ ","211.199 ","05.08"
"세무사 동차생 헬프)2차 종합반 개강전까지 공부 뭘 해야하나요","ㅇㄹㅇ ","220.92 ","05.08"
"행정사는 마이너스 요인이다.","00 ","175.202 ","05.08"
"필드에서 오륙백 벌 수 있는데 셈사 합격자들이 왜 7무사 하려고 하냐","11 ","121.170 ","05.08"
"아직도 고시갤은 활발하네요","ㅆㅆㅆ ","106.102 ","05.08"
"cpa수험시장 강의력 2톱.txt","ㅇㅇ ","211.36 ","05.08"
"어버이날인데 비참하다. ","ㅇㅇ ","110.15 ","05.08"
"자영업 줄폐업으로 세무사 거래처 점점 없어지냐","ㅇㅇ ","185.244 ","05.08"
"김혁붕 사법고시도 1타 였음?","ㅁㅁ ","211.222 ","05.08"
"은수저이상vsㅆㅅㅌㅊ머리 고르라면","ㅇㅇ ","175.223 ","05.08"
"세무사해서 소소하게 삼사백 벌수 있냐?","ㅇㅇ ","211.246 ","05.08"
"아니 시발 이갤에 수의사 나밖에 없다고","ㅇㅇ ","117.111 ","05.08"
"2유생 수요일 공부 끗..","ㅇㅇ ","211.246 ","05.08"
"개부랄따개vs한무당vs약싸개vs악어새vs백정","ㅇㅇ ","211.36 ","05.08"
"부랄따개 성님. 번지수 잘못 찾으셨네.","KMLE4회독 "," ","05.08"
"개불알따개들아 ㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","117.111 ","05.08"
"■동물병원 원장수의사의 주수익원  공개 ■","수의사 ","114.206 ","05.08"
"근데 개부랄 한번따면 순수익 얼마버나요?","ㅇㅇ ","223.62 ","05.08"
"여자 노무사는 솔까 직장내 성희롱 강연만 하고 다녀도","ㅇㅇㅇㅇ ","116.121 ","05.08"
"9급 2년차 여자랑 술마셨는데 이젠 아무나 못 만나겠다더라","ㅇㅇ ","211.246 ","05.08"
"수의사 개원 월 매출 4000~5000이 많다고?","ㅇㅇ ","220.121 ","05.08"
"노무사가 여자가하기 좋은 직업이냐?","ㅇㅇ ","112.172 ","05.08"
"야 근데 회계사 9년 하다가 떨어졌다는 사람 말야","능이 ","121.142 ","05.08"
"세액 36만원에 공제액 44만원이면 환급안됨?","ㅇㅇ ","183.104 ","05.08"
"근데 나중에 너네한테 기장을 맡기면 니네가 날 신경써서 해주진 않지?","KMLE4회독 "," ","05.08"
"여자직업 남자직업 나누는건 뭔 개틀딱 같은 소리냐??","ㅇㅇㅇㅇ ","116.121 ","05.08"
"야 근데 나중에 내가 세법 공부해서 직접 기장칠수 있냐?","KMLE4회독 "," ","05.08"
"오늘 부산에 나무에서 세법학 설명회 하던데","ㅇㅇ ","168.115 ","05.08"
"숫자 210가지고 키/아이큐/자지 분배해봐라","ㅇ ","117.111 ","05.08"
"월세도 비용처리됨???","ㅇㅇ ","123.213 ","05.08"
"설로나온 로변도 월200받으러 빌빌거린다","ㅇㅇ ","211.36 ","05.08"
"종합소득세 신고 좀 도와주라","ㅇㅇ ","183.104 ","05.08"
"세무라이들아 생활비 어느정도까지 비용처리 가능함??","ㅇㅇ ","123.213 ","05.08"
"순공5시간도 힘들어","1234 ","121.88 ","05.08"
"앞으로 법원직 9급에게 검사, 판사가 개무시당하는 세상이 오겠군","ㅇㅇ ","211.36 ","05.08"
"로검은 순경만 못하고 로판은 9급법원직만 못하다","ㅇㅇ ","211.36 ","05.08"
"나 진짜 집안 사업하는데 회시 2유임.","ㅇㅇ ","211.36 ","05.08"
"의료계 의약분업처럼 법조계도 소송비송분업 이 시행됐으면 좋겠음","ㅇㅇ ","223.39 ","05.08"
"아버지 얘기도 해줌","ㅇㅇ ","121.131 ","05.08"
"예쁜 약사 vs 평범 회계사 둘중에 누가 더 인기 많을까?","ㅇㅇ ","59.17 ","05.08"
"방금 스케일링 하고 왔는데 빡친다. 의사 찬양하지 마라..","ㅇㅇ ","122.46 ","05.08"
"친척이 부부약사인데 여자는 확실히 약사 좋음","ㅇㅇ ","117.111 ","05.08"
"킹현식들어라","ㅇㅇ ","117.111 ","05.08"
"친형 행시썰 말해줌","ㅇㅇ ","121.131 ","05.08"
"지금 20대 30대 들이 40  50  먹으면 ","화이트킬라 "," ","05.08"
"앞으로 법원직 9급에게 검사, 판사가 개무시당하는 세상이 오겠군","ㅇㅇ ","211.36 ","05.08"
"로검은 순경만 못하고 로판은 9급법원직만 못하다","ㅇㅇ ","211.36 ","05.08"
"행시재경이 사시패스한 판사랑 맞먹을정도의 시험이냐?","ㅇ ","117.111 ","05.08"
"친형이 3년 째 재경부 뚫을려고 공부함. ","ㅇㅇ ","121.131 ","05.08"
"여친이 가야대간호과나온 간호사인데 지잡이라고민된다","ㅇㅇ ","118.34 ","05.08"
"정인국으로 세법학들으면 상남자?","ㅇㅇ ","117.111 ","05.08"
"셈사 2차 인강 들을때 ","ㅇㅇ ","117.111 ","05.08"
"세상은 어중간하게 잘난 놈한테 제일 가혹하다","ㅇㅇ ","49.143 ","05.08"
"내가 공인중개사인데","ㅇㅇ ","175.223 ","05.08"
"공무원이란 그런거지?","거북이모가징 "," ","05.08"
"공인중개사 진짜 저평가 시험임","ㅇㅇ ","110.70 ","05.08"
"전업수험생들 보통 몇시간 공부 몇시간 휴식하면서 공부해?","헤헿 ","219.241 ","05.08"
"부모님재산 120억이면 무슨수저라고생각해?","ㅇ ","117.111 ","05.08"
"노무사는 노무현과 연관된 느낌나지 않노??","ㅇㅇ ","223.33 ","05.08"
"고시갤에 수의사 나밖에 없음","ㅇㅇ ","117.111 ","05.08"
"수의사란 애야 전공서적인증말고 학생증이나 자격증인증해라","ㅇㅇ ","49.166 ","05.08"
"억대 프리랜서들 신고대행 상담이 많이 오네...","불혹의 승부사 ","223.33 ","05.08"
"전문직은 어차피 정부정책,제도 빨이지 않나?","ㅇㅇ ","59.17 ","05.08"
"문과 전문직은 무당선에서 정리된다","ㅇㅇ ","220.121 ","05.08"
"요새 틀딱들 정년 늘리자느 개소리할 때 조패고 싶은 거 정상이냐?","ㅇㅇ ","49.143 ","05.08"
"고갤성님들 세무사와 회계사의 다른점이뭐에요?","ㅇㅇ ","223.33 ","05.08"
"불알따개 좆밥들 쌍팔년도만해도 농대급인건모르고","ㅇㅇ ","49.166 ","05.08"
"변호사 + 노무사 + 손사 개업","가즈아 ","39.7 ","05.08"
"회계사=공장노가닼","ㅇㅇ ","175.223 ","05.08"
"카시오쌀집보다 크기 작으면서 괜찮은거ㅠ없냐?","ㅇㅇㅇ ","223.62 ","05.08"
"교수 시발롬 좆같네 진짜","ㅇㅇ ","49.143 ","05.08"
"현금흐름표 풀이 틀린 곳 지적 좀","ㄷㄷㄷㄷ ","220.81 ","05.08"
"km아 니가 문재인 욕한거 캡쳐 떠 놓은거 몇십장 있는데","ㅇㅇ ","39.7 ","05.08"
"여기에 고닉 노무사있냐?","ㅇㅇ ","221.149 ","05.08"
"의느님들","ㅇㅇ ","221.156 ","05.08"
"회계사가 더 어려운거 아냐?","ㅇㅇ ","211.36 ","05.08"
"계집이 남자 아래에서 못벗어나는 이유","ㅁㅁㅁㅁ ","221.142 ","05.08"
"Km아 너 의전출신맞냐??","ㅇㅇ ","223.39 ","05.08"
"법인세 합병 질문","ㅇㅇ ","211.199 ","05.08"
"노무사한테가서 부동산계약서써 임마","11 ","220.125 ","05.08"
"대학수업때 남자교수들 진짜 역겹지않냐","ㅇㅇ ","175.223 ","05.08"
"공인중개사 민법","ㅇㅇ ","175.223 ","05.08"
"무슨 시험 준비하는지보다","ㅇㅇ ","175.223 ","05.08"
"현실에서 '관세사vs노무사 둘중 머가 더좋음?' 하는색기는 머하는색기냐","ㅇㅇ ","117.111 ","05.08"
"영어 마스터 하구싶다","[세무사]만적 "," ","05.08"
"그 법무세무노무사 다 합격한 분 이름이 뭔지 아는 갤러 있음?","ㅇㅅㅇ ","211.36 ","05.08"
"강경태 vs 이승철 골라줘","ㅇㅇ ","58.228 ","05.08"
"슴셋이면 회시하는게 맞냐","ㅇㅇ ","175.223 ","05.08"
"로변 미래 걱정하는 애들 특징","ㅇㅇ ","1.248 ","05.08"
"믿어주는 부모님께 너무 죄송하다 ","슬픔 ","115.95 ","05.08"
"갓직히 중개사 민법으로 타 민법 비비지 말자.","ㅇㅇ ","223.62 ","05.08"
"공인중개사 민법 반타작하는 사람도 변시 민사법 다맞는다","ㅇㅇ ","211.36 ","05.08"
"설로나와도 90%가 백수행임 ㅋ 설로 = 백수양성소","ㅇㅇ ","211.36 ","05.08"
"로검은 순경만 못하고 로판은 9급법원직만 못하다","ㅇㅇ ","211.36 ","05.08"
"존잘 개업의 ??","dddd ","121.188 ","05.08"
"대한민국은 실질적으로 4계급사회다.","ㅇㅇ ","211.36 ","05.08"
"보세사 현직 있음??","ㅇㅇ ","124.58 ","05.08"
"인스타에 예쁜여의사있던데 남친은 존잘의사더리","ㅇㅇ ","117.111 ","05.08"
"어제 주운 지갑 우체통에 넣었다.","ㅇㅇ ","49.143 ","05.08"
"1.판사 2.의사 3.행시 4.외교관 5.월3천버는사업가  직업서열매겨봐","ㅇㅇ ","117.111 ","05.08"
"회계사 존잘남 여기있다","ㅇㅇ ","203.170 ","05.08"
"손해평가사는 어떤 직업임??","ㅇㅇ ","124.58 ","05.08"
"잘때 땅크로 변하는 놈들 특징","ㅇㅇ ","223.33 ","05.08"
"만약 고갤에 진짜 잘생긴 회계사 하나 뜨면","ㅇㅇ ","211.207 ","05.08"
"의사도 독신으로 살면 쓸거다쓴다","ㅇㅇ ","218.235 ","05.08"
"고갤에서 수입으로 안까이는 직업은 ㄱㅊ다고 보면 됨","ㅇㅇ ","49.143 ","05.08"
"인사랑 노경 단기간에 커버 가능함?","ㅇㅇ ","125.180 ","05.08"
"운만지적","Gomdol-E "," ","05.08"
"반일감정 심한애들은 왜 이렇게 병신같을까","북딱이 ","221.167 ","05.08"
"왜 예쩐에 의사는 의사부인만 좋다는 말 많이 들엇는데","ㅇㅇ ","175.195 ","05.08"
"여기 현직들은 고갤하면서 합격한거냐? 아니면 합격하고 와서 기만한거냐","ㅇㅅㅇ ","182.224 ","05.08"
"왤케 절실함이 부족해 진거 같지","ㅇㅇ ","223.62 ","05.08"
"우리 친척 누나도 회계사인데 남자회계사들","ㅇㅇ ","175.223 ","05.08"
"소송은 수술이 아니라 침술같은거다","ㅇㅇ ","223.62 ","05.08"
"기름집(지방근무) vs  회계사 감평사 세무사","ㅇㅇ ","116.122 ","05.08"
