"dc_title","dc_writer","writer_ip","dc_date"
"부모님이 머장보다 더하다","앙기무띠 ","1.236 ","05.08"
"대대 가고싶은데 대대 못가는 이유","ㅇㅇ ","121.186 ","05.08"
"머머장 사망기원 1일차","궁궁 ","39.119 ","05.08"
"내가 4월 27일쯤에 교통비 내역서를 냈단말야 질문좀","ㅇㅇ ","118.37 ","05.08"
"동대에서 대대로 가는법 없냐??","ㅇㅇ ","125.178 ","05.08"
"상근하면서 군생활 의미 찾지마라","ㅇㅇ ","223.39 ","05.08"
"상근계급표 썼던 사람이다.. ","ㅅㄱ ","1.247 ","05.08"
"난 질문중에 가장 탑 레전드 질문받았다","ㅋㅋ ","220.83 ","05.08"
"우리 머장 다른 머장한테 선배님거리던데","ㅇㅇ ","118.37 ","05.08"
"보통 통폐합하면 짐은 언제 옮기냐?","fdas ","119.201 ","05.08"
"일 열심히 하는데 간섭하는 동대장vs일도 안하고 간섭안하는 동대장","ㅇㅇ ","124.80 ","05.08"
"동대장 일 좃도 안함","ㅇㅇ ","121.186 ","05.08"
"ㅈ찬호 사망기원 1일차","ㅇㅇ ","117.111 ","05.08"
"내선임은 전역전까지 일함","킹근 ","183.102 ","05.08"
"28시간이 10 11 7인 이유","ㅇㅇ ","1.225 ","05.08"
"보류자 승인시 안내메일 안보내놨네 ㅡㅡ","ddd ","211.194 ","05.08"
"대대상근인데 너무힘들다","ㅇㅇ ","121.158 ","05.08"
"공군예비군 2박3일=28시간이라는 계산이 어떻게 나오는 거야?","ㅇㅇ ","39.125 ","05.08"
"선임 나랑 너무 안맞는데 어카냐","ㅇㅇ ","39.7 ","05.08"
"상근하면서 주소지 처음알게된 표현","ㅇㅇ ","1.225 ","05.08"
"야비군 슨뱃님.. 주소똑바로알려주십쇼","대대에서동대 ","39.7 ","05.08"
"님들 감사때 통지서 교부했는지 자세히봄?","ㅇㅇ ","223.33 ","05.08"
"병신 신병받기 VS 업무 혼자하기 ","ㅇㅇ ","222.118 ","05.08"
"예비군 훈련연기하려는데 훈련유형 기타로만 뜨는건뭐임?","ㅇㅇ ","175.223 ","05.08"
"아 개좆같네 국동체 점검 공지사항 뭐냐","ㅇㅇ ","39.7 ","05.08"
"대대장한테 쌍욕먹었다","ㅇㅇ ","218.48 ","05.08"
"학생예비군 학기 중간에 들어갈 수 있을까","ㅇㅇ ","39.125 ","05.08"
"이거 나 ㅈ된거임?","ㅇㅇ ","221.159 ","05.08"
"대대 좀 그만 불러라","ㅇㅇ ","211.225 ","05.08"
"분노조절못하는 우리 후임 언제 뒤질까?","ㅇㅇ ","223.38 ","05.08"
"공군동미참","ㅇㅇ ","117.111 ","05.08"
"선임 시발","ㅇㅇ ","106.102 ","05.08"
"상근출신인데 오늘처음 예비군받았다","ㅇㅇ ","211.36 ","05.08"
"니들 머장 교관가면 몇시쯤 오냐","ㅇㅇ ","106.102 ","05.08"
"대체 상근 없어진다는 개소리는 어디 출처야","oo ","211.36 ","05.08"
"짬찌훈련우선순위궁금합니다","ㅇㅇ ","211.36 ","05.08"
"주소이전 연동 언제되나요?","ㅇㅇ ","223.39 ","05.08"
"동미참 기본,1차 연기질문","ㅇㅇ ","211.246 ","05.08"
"동대에서 딸 몇번정도 치냐?","ㅇㅇ ","211.36 ","05.08"
"내일 감산데 뭐 주로 물어봐?","ㅇㅇ ","117.111 ","05.08"
"요새 글쓰는 새끼들은 정공못지 않네 ㅋㅋ","ㅇㅇ ","211.36 ","05.08"
"찐따는 씨발 예비군중대 전역하고 전화하면 존댓말해","ㅇㅇ ","1.225 ","05.08"
"1차훈련 4일 32시간짜리인데 ","ㅇㅇ ","1.250 ","05.08"
"예비군중에 제일 짜증나는 유형","ㅇㅇ ","223.62 ","05.08"
"동원훈련 질문","ㅇㅇ ","112.162 ","05.08"
"형들 주요업무 연기 질문좀","오이식스 ","211.246 ","05.08"
"동원 귀향했으면","ㅡ ","110.70 ","05.08"
"이거 어케 처리해야됨?","ㅇㅇ ","223.39 ","05.08"
"병일이썰","ㅇㅇ ","223.62 ","05.08"
"모자벗고다니는거 찍어서 민원넣는새끼들 있는데","더워 ","175.223 ","05.08"
"동원 훈련 연기 가능한가요?","ㅇㅇ ","211.36 ","05.08"
"동미참 (주특기) 편성 질문","상근 ","223.33 ","05.08"
"이젠 자는것도 지친다","상근이 ","223.62 ","05.08"
"예비군 전화하는데 바로 전화를 받을수","ㅇㅇ ","168.126 ","05.08"
"ㅅㄱ","oo ","211.36 ","05.08"
"위수지역 관련해서 부산-양산 이동가능?53사단인데","빡머갈 "," ","05.08"
"형들 지역상근 후임이 나이많고 아는사람이면 존대깜?","ㅇㅇ ","223.39 ","05.08"
"전역하고도 상갤 오는사람 있어?","원태형 "," ","05.08"
"지정자 편성 꿀팁좀","ㅇㅇ ","223.62 ","05.08"
"예비군이랑 전화할때 선배님이라 부르는거 ㅈㄴ 오글거려서","ㅇㅇ ","223.62 ","05.08"
"연가","ㄱㄷㅇ ","203.226 ","05.08"
"양산에 대대 어디쯤에 있는지 아는 사람 있음?","ㅇㅇ ","39.7 ","05.08"
"이거 국방버스터콜 가능해?","213213 ","218.38 ","05.08"
"출국자 훈련","ㅇㅇ ","106.102 ","05.08"
"자원 많은동대 출국연기좀 물어보자","ㅇㅇ ","59.30 ","05.08"
"동미참질문 ","ㅇㅇ ","223.39 ","05.08"
"면대장 읍다","둥근식탁위에쉬싸 "," ","05.08"
"학생보류 잘아는형님만;;;","ㅇㅇ ","223.62 ","05.08"
"아니 체육대회 존나하네","ㅇㅇ ","223.39 ","05.08"
"할거도 없는데","ㅇㅇ ","175.223 ","05.08"
"신검보고 상근통지서 오기전에 ","ㅇㅇ ","121.88 ","05.08"
"따른 동대는 동미16시간 32시간 주기에 넣으면","oo ","211.36 ","05.08"
"소대장이소집점검 계속연기해서지금2차주기인데어떡해요??","ㅓㅏ ","106.102 ","05.08"
"오늘 동대장님 읍다","oo ","211.36 ","05.08"
"동미참 이월인데 동미참기본때 넣어야하나요?","ㅇㅇ ","211.246 ","05.08"
"출국보류자","dd ","118.32 ","05.08"
"시발 시골살아서 상근이라 좋기는 해","돋갤2년차뉴비 ","223.39 ","05.08"
"바셀 리중딱한테 4-0당했노 ㅋㅋㅋ","ㅇㅇ ","106.102 ","05.08"
"도와줘","ㅇㅇ ","110.70 ","05.08"
"맥아피질문점 어디서설치햐요","ㅇㅇ ","211.246 ","05.08"
"보류자 너무어려워서 그러는데","ㅇㅇ ","110.70 ","05.08"
"형님들 업무일지에적는 해외출국자 어디서확인해욮","ㅇㅇ ","175.223 ","05.08"
"너희 무슨 계급 몇호봉때 업무 마스터함?","ㅇㅇ ","223.39 ","05.08"
"지역내 전국단위 신청자 연기질문","ㅇㅇ ","211.36 ","05.08"
"동미참 훈련시간 질문","ㅇㅇ ","117.111 ","05.08"
"작계때 주민센터에 차대는 예비군이랑 욕하면서 싸우는 꼰대직원 보면서","ㅇㅇ ","203.243 ","05.08"
"동원훈련 편성 어떠케 하나요","ㅇㅇ ","175.203 ","05.08"
"대대헬보직 상근임. 간부들이 너 절대 보직 안바꿔준다는데","ㅇㅇ ","49.170 ","05.08"
"이병짬찌인데 전출자는 뭐확인해야되나요","ㅇㅇ ","175.223 ","05.08"
"본부인원전출..","ㅇㅇ ","203.226 ","05.08"
"사고쳤는데 어떡하냐","ㅇㅇ ","106.102 ","05.08"
"동미참질문","ㅇㅇ ","27.179 ","05.08"
"동원 1일차 불참후 2일차에 보류신청해도 미고발임??","ㅇㅇ ","14.34 ","05.08"
"보류자 처리좀 알려줭...","ㅇㅇ ","14.32 ","05.08"
"요즘 맨날 욕쳐먹네","놈 ","211.219 ","05.08"
"준영 사망기원 15일차","ㅇㅇ ","1.225 ","05.08"
"니들 아침에 선임 오면 경례 하냐?","ㅇㅇ ","211.36 ","05.08"
"후임때문에 못 해먹겠다","구타 ","61.82 ","05.08"
