"dc_title","dc_writer","writer_ip","dc_date"
"피렌버핏새끼 현질러라는거 확실히알았다","ㅇㅇ ","58.237 ","05.08"
"tc셰도르프 뭔데 이렇게 비쌈?","ㅇㅇ ","61.40 ","05.08"
"ㄹㅇ 한다노비치 개지리노ㅋㅋㅋ","ㅇㅇ ","175.215 ","05.08"
"19 토메는 왜 갑자기 떡락중 ㅇ?","ㅇㅇ ","61.72 ","05.08"
"아 근데 여기 고닉달고 설치는섀기들은","ㅇㅇ "," ","05.08"
"가패 연쇄2바퀴로 0원구단에서 20억가까이 떡상해서 기분좋다","ㅇㅇ ","61.72 ","05.08"
"중거리 감아차기 잘막는키퍼없음?","Arsexnal "," ","05.08"
"자살하러간다 마지막으로 푸념하나만 들어줘","ㅇㅇ ","58.237 ","05.08"
"보급형 토날두중 최고가 누구냐?","ㅇㅇ ","210.179 ","05.08"
"갤 좀 씹창나면 어때?","ㅇㅇ ","1.243 ","05.08"
"마케렐레존버각아니냐?","피파창놈 ","106.101 ","05.08"
"지금 TC 음좃 1600따리 사는거 개호구임?","ㅇㅇ ","125.182 ","05.08"
"급여 10중미추첨좀","ㅇㅇ ","175.223 ","05.08"
"본인 피파 감독모드로 돌려놓고 fm하는데","ㅇㅇ ","114.207 ","05.08"
"패드 입문하고 ㅈ같은 점","ㅇㅇ ","175.223 ","05.08"
"원톱 GR 음바페 vs 아구에로","ㅇㅇ ","125.182 ","05.08"
"혹시 놋북 그램쓰는 행램덜 잇음?? ","ㅋㅋㅋ ","14.36 ","05.08"
"TC클라위 은카가격 언제 떨어지냐","루디팡 "," ","05.08"
"맨시 다닐루 vs tb워커","dd "," ","05.08"
"빠퀴벌래 씨 발련 차단좀 ","애미추 ","210.90 ","05.08"
"18s는 뭐 저리 카드가 안풀리냐","ㅇㅇ ","121.167 ","05.08"
"원창연,제독신 2명이 실력 좋고 보면 실력에 도움되지","ㅇㅅㅇ ","14.55 ","05.08"
"퍼디난드사위호환좀","1234 ","110.70 ","05.08"
"제발 지랄 은카팩에서 포그바 떴으면 좋겠다","원숭2 "," ","05.08"
"바르샨데 샤비 안나오냐","포도맛사탕 "," ","05.08"
"GR 루카쿠 존나 좋은거같아 ㅇㅇ","ㅇㅇ ","61.72 ","05.08"
"수비할때 c누르면서 붙는게 낫냐 그냥 가까이 붙어서 d로 태클거는게 낫냐","ㅇㅇ ","114.207 ","05.08"
"피파bj중 제일 잘하고 설명 잘하는게 원창연임?","ㅇㅇ ","114.207 ","05.08"
"tc페페 써보신분있음?","매썡이 "," ","05.08"
"피파BJ 중에 누가 제일 착하냐 ??","ㅇㅅㅇ ","14.55 ","05.08"
"친선경기에서 0카로 1억이상 애들 어떻게 이겼나 했더니","ㅇㅇ ","61.72 ","05.08"
"1.5억 클럽팀 ㅊㅊ","우리흥더풋볼제너럴축잘알갓흥 "," ","05.08"
"형들 60분마다 슈팅 이거 모든 아이템 교환받는게 나음?","ㅇㅇ ","114.207 ","05.08"
"호베르투카를로스 TC 좋냐고 시발","ㅇㅇ ","219.254 ","05.08"
"아니 미친 친구색히 피파4 붙었는데 패스만 한다 지랄이네","ㅇㅇ ","114.207 ","05.08"
"호카 tc 좋냐?","ㅇㅇ ","219.254 ","05.08"
"Tc 앙리 개좆된다 .. 침투하는 타겟터임 ","ㅇㅇ ","218.147 ","05.08"
"Tc시즌 가격 언제쯤 하락?","ㅇㅇ ","119.82 ","05.08"
"xbox360, 싸이복스2 써봤는데 xbox one이 지존이다","백종원 ","39.7 ","05.08"
"왼발잡이들 오른발로 zd차면 왜 죄다 똥볼로차냐","ㅇㅇ ","124.58 ","05.08"
"아니 도대체 TC메시가 왜 토메시보다 비싸노?","ㅇㅇ ","210.179 ","05.08"
"저저번시즌 월클3부까지 갔는데 이번시즌 세미프로2부도 버겁네","ㅁㄴㅇㄹ ","61.109 ","05.08"
"어플가입 1쿙 드림!","푸름 ","114.207 ","05.08"
"어플가입 1쿙 드림","푸름 ","114.207 ","05.08"
"라울은 그나마 쓰는사람이 있나보네","ㅇㅇ ","39.7 ","05.08"
"이야 친선경기는 레벨업하려고 돌리긴하는대","ㅇㅇ ","61.72 ","05.08"
"1ㄷ1뜰형님","오동구 "," ","05.08"
"급여 더 올릴가능성 없냐?","베로나 "," ","05.08"
"코치인미 야발련아 강의 올려","ㅇㅇ ","106.102 ","05.08"
"비피 옮기는 방법이 뭐에요...","ㅇㅇ ","223.39 ","05.08"
"음바폐연계는 어때?","ㅇㅇ ","117.111 ","05.08"
"팀캐미 업데이트하면 시즌 별 캐미도 있음??","삼윤 "," ","05.08"
"Zd슛 패치한거야??","ㅇㅇ ","39.7 ","05.08"
"개씨발진짜 3판연속 애미개쳐뒤진 후루꾸 선제골 먹히니까 진짜 좆같네","ㅇㅇ ","210.105 ","05.08"
"프티말고 마르셀루 수미쓰라니까?","ㅇㅇ ","117.111 ","05.08"
"루카쿠는 똥손들도 챌린지 찍게해주는 씹사긴데","ㅇㅇ ","124.58 ","05.08"
"로패할때 엔진 패치 했지?","플라톤 "," ","05.08"
"아씨발 무슨 중요한순간에만랙걸리냐고","조쯔위짱팬 "," ","05.08"
"2만 마일리지 어디에쓰냐 좆같네","ㅇㅇ ","61.72 ","05.08"
"12억 네덜국대냐 잡팀이냐","애기지미넬 "," ","05.08"
"급여 12이하로 공격 잘하는 풀백(윙백) 추천좀","황스날 ","1.246 ","05.08"
"1대1뜰분","오동구 "," ","05.08"
"패스하라고 s 눌렀는데 선수바뀌는거 개좆같네진짜","ㅇㅇ ","58.126 ","05.08"
"오늘 렉좆되던데 나만그러냐","조쯔위짱팬 "," ","05.08"
"루카쿠은카 ㅈㄴ좋다","조쯔위짱팬 "," ","05.08"
"1ㄷ1뜰분","오동구 ","218.39 ","05.08"
"속가팀 피파4에선 병신인거냐?","<U+231A><U+FE0F> "," ","05.08"
"체감 패치 아직 안됬지? 감차 골키반응","ㅇㅇ ","39.112 ","05.08"
"7억 부캐 뭐할까 추천좀","ㅇㅇ ","210.103 ","05.08"
"프티한테서 벗어나려 하지마","ㅇㅇ ","210.103 ","05.08"
"tc개씹사기 매물하나알려준다","ㅇㅇ ","183.101 ","05.08"
"프티 대체할 수미 없나?","이온채 "," ","05.08"
"TC 앙리, 다비드 루이스 1카만 써도 좋은게 느껴지네","ㅇㅇ ","210.183 ","05.08"
"tc램파드 가격 어디까지 떨어지냐?","ㅇㅇ ","116.36 ","05.08"
"제발 다음업뎃엔 난 내가 너무 좋아 그거좀 빼줬으면","ㅇㅇ ","125.129 ","05.08"
"간만에 좀 해봤는데 역시 보정 참...","ㅇㅇ ","223.62 ","05.08"
"TC 숨겨진 개꿀선수 2명 추천해줌","ㅇㅇ ","221.157 ","05.08"
"시즌카에 클럽이 없으니 개좆망이지","116깝 ","223.222 ","05.08"
"Tc음좃 원톱 가능?","ㅇㅇ ","125.182 ","05.08"
"요즘은 중미 굴리트짝으로 누구넣냐? gr좆그바?tt넫벧?","ㅇㅇㅇㅇ ","220.86 ","05.08"
"가패말고 bp패키지 사는건 좀 아니냐?","dd "," ","05.08"
"쿠폰 입력 안한 사람들 '상평통보' 입력 ㄱㄱㄱㄱ","원숭2 "," ","05.08"
"케빈님 씨발 좆목질좀 그만하세요 현실찐 새끼야 ","ㅇㅇ ","175.223 ","05.08"
"모바일도 미페 바꿀 수 있음??","원숭2 "," ","05.08"
"쓰리톱에 tc반바넣을까","ㅇㅇ ","223.62 ","05.08"
"피3땐 피방선수 좆같았는데","ㅇㅇ ","222.233 ","05.08"
"육갑이새끼 좀 실망이네...","ㅇㅇ ","178.128 ","05.08"
"TT덕배 은카 중미에 쓸만함??","ㅇㅇ ","175.223 ","05.08"
"1대1뜰분댓글 ㄱ","오동구 "," ","05.08"
"tc 레반돕vs수아레즈 추천 점","ㅋㅌ ","121.137 ","05.08"
"좆목질 할거면 펨코가서해 ","ㅇㅇ ","110.70 ","05.08"
"만주키치 좋냐 tc?","ㅇㅇ ","116.39 ","05.08"
"전이랑 다른게 뭔줄아냐?","ㅇㅇ ","211.36 ","05.08"
"GR뎀벨레 윙어로서 침투 잘함?","ㅇㅇ ","223.39 ","05.08"
"근본ㄹㅈㄸ","ㅇㅇ ","211.36 ","05.08"
"6갑이 특징.txt","ㅇㅇ ","216.162 ","05.08"
"피갤배 대회 한번 열어볼까 ?? 얼마나 참여하려나","ㅇㅅㅇ ","14.55 ","05.08"
"대회떡밥 시작해서 좋다 이게 피갤이지","ㅇㅇ ","223.39 ","05.08"
"피파 뜰새끼있냐?","칵칵 ","223.39 ","05.08"
"이새끼들 차별오지네","뭉시 "," ","05.08"
