"dc_title","dc_writer","writer_ip","dc_date"
"좃 병신들이 배스 릴리즈로는 또 생태학자들 납셨어 븅신들","ㄷㄷㄷ ","221.141 ","05.08"
"배스 이렇게 퍼진거 다 루어낚시 조구사들이 이식한거 아니겠냐","ㅇㅇ ","183.109 ","05.08"
"프리리그 액션 어케줌??","찰리채플린. "," ","05.08"
"미친놈들이네..법에 불법이라고 써있으면 불법이지","김판득 ","211.230 ","05.08"
"확실히 sv스풀이 다이와 기술의 결정체인듯","ㅇㅇ ","121.169 ","05.08"
"아징대는 왜 짧게만듬?","Cortex "," ","05.08"
"진짜 작살에 죽는 배스들불쌍해죽겠더라","인간쓰래기 ","110.70 ","05.08"
"배스 릴리즈안한다 = 정상","ㅁㄴㅇ ","175.118 ","05.08"
"부모님 모시고 횟집갓다왓다","인간쓰래기 ","110.70 ","05.08"
"솔직히 니들보다 배스가 우리나라에 정착한지오래됨","인간쓰래기 ","110.70 ","05.08"
"또 배스 리리즈로 싸우노","ㅇㅇ ","61.83 ","05.08"
"배스 토종인정 드립치는놈들 ","ㅇㅇ ","110.70 ","05.08"
"틀니쉰내 풍기지마라 이기야","ㅇㅇ ","219.241 ","05.08"
"대학교 교양 한교수만 4번 들은적 있는데","초특급미노우 ","223.28 ","05.08"
"형들 , 긴급문의입니다","ㅇㅇ ","121.158 ","05.08"
"부모님델꾸 소고기먹고왔다","ㅁㄴㅇ ","175.118 ","05.08"
"베스충들은 애초에 프레임을 잘못들이댐","ㅊㅌㄱㅁㄴㅇ ","223.28 ","05.08"
"제발 배스걱정하지말고 니들인생부터 걱정해줘라","ㅇㅇ ","211.216 ","05.08"
"배충이들 법이 잘못됐다고만 하지","ㅇㅇ ","211.230 ","05.08"
"그냥 배스충 애들은 목소리가 약함","ㅇㅇ ","121.169 ","05.08"
"배스를 릴리즈해야한다니 토종인정해달라니 선동하지 말자","ㅊㅌㄱㅁㄴㅇ ","223.28 ","05.08"
"인생을.....낚아보고싶네요 ㅠㅠ","ㅅㅅㅅ ","1.251 ","05.08"
"부산 아나고잡으러 어디가지","ㅇㅇ ","223.33 ","05.08"
"부산에 깍지잡을때 없냐? 부산에!!!","ㅇㅇ ","1.226 ","05.08"
"그저께 장자못 호수공원에서 웃기는 배스를 봤어!!","ㅇㅇ ","1.231 ","05.08"
"쿵쿵쿵! 형 저 수철인데요","ㅇㅇ ","219.241 ","05.08"
"KAIST교수 &quot;리얼미터, 갤럽을 믿으면 안되는 이유&quot;","ㅇㅇ ","77.111 ","05.08"
"통만이 씨발년아","ㅇㅇ ","175.223 ","05.08"
"붕어낚시터 추천 좀~~","붉은귀거북이 "," ","05.08"
"얼마전에 숭어 잡아서 회떠먹었는데","ㅇㅇ ","61.73 ","05.08"
"배스 릴리즈 합법화해라 블루길은 패대기쳐도됨","인간쓰래기 ","110.70 ","05.08"
"갯지렁이 낚방에서 사면 한팩 몇그람?","바야 ","203.226 ","05.08"
"모바일 낚시게임 뭐가 젤 재밋노","안데르송시우바 "," ","05.08"
"여수_방파제 입문 장비","오메가미사일 ","211.170 ","05.08"
"좆소특 ","ㅁㄴㅇ ","110.70 ","05.08"
"이기이기 낚게이들 아니노?","ㅇㅇ ","106.249 ","05.08"
"배스 블루길도 세월이 좀더 흐르면 우리 생태계의 소중한 일원이 될거임","ㅇㅇ ","39.7 ","05.08"
"야엔이 생각보다 할 만 해 보이더라","伏龍 "," ","05.08"
"에기 너무 싼 건 쓰면 안 되겠더라","伏龍 "," ","05.08"
"에기에 스카치테이프 붙여 본 사람 있나?","伏龍 "," ","05.08"
"릴리즈 욕하는놈 내 면전에 대고해봐라","인간쓰래기 ","110.70 ","05.08"
"바다루어 10번쯤 출조했는데 한마리도 못잡음","ㅇㅇ ","175.223 ","05.08"
"난 루어낚시가서 잡은거 다 방생하는데","ㅇㅇㅇ ","110.70 ","05.08"
"소아레 ci4  슨트라딕 ci4 기반임 ?","ㅇㅇ ","218.238 ","05.08"
"태초를 욕해라 ㅉㅉ","인간쓰래기 ","110.70 ","05.08"
"형님들 낚린이 왔습니다. 질문요","ㅇㅇ ","175.121 ","05.08"
"난 릴납하면서도 낚시의자 챙기고다님","ㅇㅇ ","121.169 ","05.08"
"니들도 언젠간 민장대 들날 올거다","ㅇㅇ ","39.7 ","05.08"
"씨발 반포 유포인트 막혀있네","ㅇㅇ ","211.36 ","05.08"
"배스 꺽지 쏘가리 범용 루어대 추천","ㅇㅇ ","118.44 ","05.08"
"민물낚시 왜 함?","ㅇㅇㅇ ","110.70 ","05.08"
"향어회 디스토마없음?","ㅇㅇ ","218.235 ","05.08"
"계곡도 아니고 강도 아닌 애매한 포인트 찾아다녀야겠다","Foundation "," ","05.08"
"솔직히 제대로 처리못할거면 릴리즈가 낫지","인간쓰래기 ","110.70 ","05.08"
"배스 감옥 돌로 쌓아서 낚은 배스 가둬놨는데","ㅇㅇ ","223.62 ","05.08"
"얕은곳을 쉘로우라고 부르니 낚시가 더 즐겁다","ㅇㅇ ","175.223 ","05.08"
"청개비 인터넷으로 살려는데","바야 ","218.233 ","05.08"
"남들은 가물치니 배스니잡는포임트갓다가","ㄴㄴㄴㄴㄴㄴ ","119.204 ","05.08"
"장비....","ㅇㅇ ","210.90 ","05.08"
"노싱커 보통 비거리가 어느정도 나오냐","ㅇㅇ ","223.62 ","05.08"
"토요일날 왕돌가서 장비충종결하고온다","돌묵 ","223.39 ","05.08"
"흙수저라 낚시로 반찬밥값떼우려는데 괜찮?","ㅇㅇ ","180.70 ","05.08"
"장비타령은 중층납시가 최곤데","큡 "," ","05.08"
"장비부심이니 실력부심이니 다 부질없다","초특급미노우 ","175.223 ","05.08"
"릴 던지는 형은 그래서 대낚선수들 앞에선 장비 얘기 안한다","ㅇㅇ ","14.50 ","05.08"
"납자루 낚시는 왜 하는거??","Cooo ","175.223 ","05.08"
"산악자전거쪽도 장비충할배들 텃세 심하지","ㅇㅇ ","27.179 ","05.08"
"장비 비싼거 쓴다고 장비충이 아님","ㅇㅇ ","223.62 ","05.08"
"한국에서 일어난 UFO착륙 사건","ㅇㅇ ","49.1 ","05.08"
"장비 딴건 몰라도 라인 커터는 싼거 써라","ㅇㅇ ","220.92 ","05.08"
"나도 한때 장비충들 욕햇지","ㅇㅇ ","223.33 ","05.08"
"여러글들 읽어보니 내가 릴을 너무 빨리감네","인간쓰래기 ","110.70 ","05.08"
"뭐 장비충 지랄을하노 ","ㅇㅇ ","119.67 ","05.08"
"옛조상님들은 나뭇가지로도 낚시하셧다","인간쓰래기 ","110.70 ","05.08"
"내가 다니는곳에 똥남아 대낚맨들있는데","인간쓰래기 ","110.70 ","05.08"
"납시하시는분들  요즘 모기 출몰하죠???  가기싫엉","ㅇㅇ ","39.116 ","05.08"
"배스 껍질이 그렇게 비리냐","ㅇㅇ ","110.70 ","05.08"
