"dc_title","dc_writer","writer_ip","dc_date"
"쌍도드립 == 친일파 역적 ","ㅇㅇ ","125.134 ","05.08"
"전라도 홍어라고 쓰면 글삭됨 쌍도는 그대로임","ㅇㅇ ","110.70 ","05.08"
"오가리 수제비 6,000원","수제비 ","211.204 ","05.08"
"쌍도드립 사돈8촌까지 일본 피임 ","ㅇㅇ ","125.134 ","05.08"
"요즘 팔도비빔면 나만 맛없냐?","ㅇㅇ ","110.35 ","05.08"
"냉라면 쳐먹으면서 쓰는 후기","전조관우 "," ","05.08"
"신라면 소컵 맛있는거 모르는 애들이 있구나","ㄴㅂㅈㅅ ","121.167 ","05.08"
"홍어 싫어하는 인간은 쌍도 , 쌍도는 8도가 다 싫어함","ㅇㅇ ","211.209 ","05.08"
"건강컨셉 잡는 라면들이 제일 병신 같음","ㅇㅇ ","58.125 ","05.08"
"신라면 진짜 이해가 안 가는게 다들 이전이 맛있다는데","ㅇㅇ ","110.11 ","05.08"
"쌍도드립 다 부모 일본인임 ㅇㅇ","ㅇㅇ ","125.134 ","05.08"
"쌍도 새끼들아","ㅇㅇ ","61.32 ","05.08"
"신라면 소컵 미쳤다 존나맛있네 봉지라면보다 나음","ㅇㅇ ","223.33 ","05.08"
"체르노빌 토마토","ㅇㅇ ","221.143 ","05.08"
"애들아 내가 특이한거냐?","ㅇㅇ ","14.46 ","05.08"
"닭국물맛 나는 라면 없냐","ㅇㅇ ","14.46 ","05.08"
"삼양라면 그게 맛있는데","ㅇㅇ ","14.46 ","05.08"
"라면먹을때 국물","ㅇㅇ ","14.46 ","05.08"
"여기 쌍도혐오 심한 이유가 머임","행복회로빌런 "," ","05.08"
"야 우리 한국도 몰래 핵같은거 개발하고 있는거 아니냐?","ㄹㅇ ","121.131 ","05.08"
"개쌍도 드립치는건 일본애들이지 ?","ㅇㅇ ","125.134 ","05.08"
"개쌍도 새끼들만 필독","ㅇㅇ ","121.125 ","05.08"
"난 짜짜로니 좆같음","ㅇㅇ ","58.124 ","05.08"
"중국집 짜장 짬뽕 먹은 게 10년도","75년생40백수 "," ","05.08"
"김밥이랑 먹기좋은 컵라면 머임?","ㅇㅇ ","110.70 ","05.08"
