"dc_title","dc_writer","writer_ip","dc_date"
"상점악충들이 약코가 ㅈㄴ 심하긴 하지","ㅇㅇ ","223.38 ","05.08"
"플레이트 판처를 하향안한건 준인터의 매우 큰 실수다","ㅇㅇ ","223.38 ","05.08"
"바람의나라 메이플마냥 20년 훌쩍넘기며 운영하는게 진짜 비정상적인거","ㅇㅇ ","220.118 ","05.08"
"겟앰프드 2가 망한게 겟앰프드 시리즈의 운명이 끝난거엿음","ㅇㅇ ","220.118 ","05.08"
"애초에 로사한테 개처발리는게 겟앰임","ㅇㅇ ","220.118 ","05.08"
"겟앰프드가 망한건 다른이유가아님","ㅇㅇ ","220.118 ","05.08"
"고인물겟앰겜 아직도 닉네임 사고파는애들있음?","아이고 ","112.72 ","05.08"
"댄싱캣츠 얼마하냐","ㅇㅇ ","119.207 ","05.08"
"앙팡님 잇음?","ㅇㅇ ","219.250 ","05.08"
"공방에서 돈빵조합 쓰지 마세요","털케이크 "," ","05.08"
"약정 = 루터인 이유","ㅋㅋ ","222.233 ","05.08"
"돈버는방법 뭐있음?","ㅇㅇ ","222.121 ","05.08"
"하피의 날개가 ㄹㅇ 개사기지","ㅇㅇ ","223.38 ","05.08"
"솔직히 겟앰프드 섭종하면 안된다고본다","ㅇㅇ ","223.62 ","05.08"
"스태미나 제도 ㄹㅇ 괜찮은거 같다","ㅇㅇ ","223.38 ","05.08"
"데몬핸드머바름","로켓란짱 "," ","05.08"
"봉구님 겟갤러님들 리노베이트 얘네 잘하는애들인가요?","ㅇㅇ ","14.37 ","05.08"
"공방 기준 쉘이 사기냐?","ㅇㅇ ","59.13 ","05.08"
"달마 새끼도 악질또라이네 ","달마 ","211.36 ","05.08"
"후.. 이정도 후두려 맞았으면 더 이상 손으로 똥싸지말거라..","ㅇㅇ ","117.17 ","05.08"
"ㅈ목좀 그만해라 정공씨발새끼들아","ㅇㅇ ","117.17 ","05.08"
"그래 시카추 일단 받았다 근데 마무리는 해야지?","DM[달마] "," ","05.08"
