"dc_title","dc_writer","writer_ip","dc_date"
"대승기되고 인계에분신보내는건 6월쯤인가?","ㅇㅇ ","182.226 ","05.08"
"아니씨발 군림조세호새끼 엑스트라아니냐","ㅇㅇ ","124.199 ","05.08"
"조심향 조화 조여홍 백모란 이 넷은 어떻게든 죽여야됨","ㅇㅇ ","110.8 ","05.08"
"악자화 살아있냐?","ㄱㄷㄱㄷ ","175.223 ","05.08"
"조심향이 우일기 통수칠때 다른 절대고수 둘인가 셋있었잖아 ","ㅇㅇ ","110.8 ","05.08"
"2017 사조 포석약 너무 어린 여자같이 나옴","ㅇㅇ ","117.111 ","05.08"
"좆림 옆구리 구멍난 좆옥린 어케됨?","ㅇㅅㅇ ","61.81 ","05.08"
"목신기 학신 선역 일념 다보고있다 평가해줌","피싸개 ","180.211 ","05.08"
"좆림 다음화 예상","진짜맨 ","203.226 ","05.08"
"아직도 용노괴를 모르냐?","ㅇㅇ ","183.98 ","05.08"
"아랫글쓰기 무섭게 좆림 올라왔네","진짜맨 ","203.226 ","05.08"
"황보년 뒤지는 건 확실할 듯","진짜맨 ","203.226 ","05.08"
"군림천하 연재된거 읽으면 예전 기억 다 돌아옴?","ㅇㅇ ","59.20 ","05.08"
"좆림 오늘로 확실해졌네","ㅇㅇ ","221.156 ","05.08"
"신조협려 드라마 83, 95, 98, 2006, 2014 등이 있는데","ㅇㅇ ","124.59 ","05.08"
"군림은 저딴식으로 쓰잘데기 없는 애기만 써대면서 무슨 수로 2권 안에","ㅇㅇ ","210.105 ","05.08"
"사조영웅전 드라마 정리 해줌.. 83, 2003, 2017 정도 인데..","ㅇㅇ ","124.59 ","05.08"
"군림은 곧 죽을 엑스트라들만 모여서 분량 잡아먹고 있네","ㅁㄴㅇㄹ ","175.211 ","05.08"
"구사조 진남금 임신장면도 네토쩐데","ㅁㄴㅇㄹ ","175.223 ","05.08"
"일영염원 100화까지본 후기","학신 ","117.111 ","05.08"
"학신은 원패턴인데 재미나는데 무협은 왜 질릴까요","ㅇㅇ ","211.36 ","05.08"
"허구한날 학신 얘기만하네 짱깨새끼들","ㅇㅇ ","110.70 ","05.08"
"[군림떡밥 3] 백모란은 답답한 남해청조각을 뛰쳐나왔다?","운중용왕 ","219.250 ","05.08"
"영수환에 인간은못들어가나?","ㄱㄷㄱㄷ ","175.223 ","05.08"
"일념영원...미리 중국말로 본 사람 없냐??","자운몽 ","211.217 ","05.08"
"시스템 강호지존의 설정 질문좀","ㅇㅇ ","110.76 ","05.08"
"이거 소설 이름점 알려줘 ㅠㅠㅠ","유목민 ","211.36 ","05.08"
"팔기군에 색깔 넣고 싶은데 하나가 부족해ㅠ","ㅇㅇ ","222.119 ","05.08"
"서천노사가 사마구봉급이지?","ㅇㅇ ","223.63 ","05.08"
"무협소설 추천좀","ㅇㅇ ","121.165 ","05.08"
"학신 웃음벨","타ㅏㅇ ","121.130 ","05.08"
"[스포주의] 한립 3번막기 시작하는데 또 절단신공","ㅇㅇ ","124.59 ","05.08"
"후욱후욱 학사신공 800화부터 존버했다.. 대승기까지 얼마나남았어???","Aa ","211.251 ","05.08"
"군림천하 재밌나요?","참치조림 "," ","05.08"
"학신도 보다보면 원패턴 어쩔수없네","ㅇㅇ ","218.53 ","05.08"
"근데 번역판에 막간리 나온적 있냐?","ㅇㅇ ","218.51 ","05.08"
"김용 보면 암걸리는 상황을 ㅈㄴ 잘만드는듯","ㅁㄴㅇ ","121.67 ","05.08"
"필력 누가 위냐?","ㅇㅇ ","14.32 ","05.08"
"선역 100화정도 봤는데 재밌네 ㅋㅋ","ㅇㅇ ","122.43 ","05.08"
"목신기 인기 있는 이유가 도대체 뭐냐??","00 ","211.194 ","05.08"
"학신 연재에 관해서는 정떨어져서 욕도 안함","ㅇㅇ "," ","05.08"
"번역본 분량으로 몇화 더 나와야지 1부 마감되냐??","00 ","223.39 ","05.08"
"보화가 마계출신답지않게 성정이 부드럽네","ㅇㅇ ","175.125 ","05.08"
"카카오페이지 이시간에 리플 수 봐라 ㅋㅋㅋ 존나 빡쳤네","ㅇㅇ ","183.101 ","05.08"
"한국에서 일어난 UFO착륙 사건","ㅇㅇ ","49.1 ","05.08"
"빙봉 존나 시발년 아니냐","오호홍 "," ","05.08"
"한립이 빙봉한테 잘해야 된다니 무슨 헛소리를..","한따거 ","72.192 ","05.08"
"아 개념글 수정이 안되네...","운중용왕 ","219.250 ","05.08"
"한립이 붉은 기운이 도는 빙봉의 얼굴을 보고","ㅇㅇ ","203.226 ","05.08"
"학신 다음편 중국어로 보고 싶은데 ","ㅇㅇ ","121.167 ","05.08"
"요즘애들은 무협안봐?","ㅇㅇ ","223.39 ","05.08"
