"dc_title","dc_writer","writer_ip","dc_date"
"몽골제국 역사 봤는데 ㅈㄴ나쁜놈들이네 ","ㅇㅇ ","39.7 ","05.08"
"유럽 이어 캐나다도 화웨이 5G 장비 도입","얼슈 ","36.66 ","05.08"
"인터넷 둘러보다가 좋은 글 발견","ㅇㅇ ","223.62 ","05.08"
"속상해서 괴롭다.","00 ","59.13 ","05.08"
"호랑이공원에서 차에서 내린 여자","ㅇㅇ ","223.62 ","05.08"
"이성계 이놈은 위화도 회군이 자랑이라고  역사쓴거임?","ㅇㅇ ","222.232 ","05.08"
"신라 마침내 고구려백제 유민 힘모아 당나라 격파","후아유 ","116.40 ","05.08"
"여기 갤러 중에 일본에 있는 주요 건축물들이 문화재로서 가치가 있다고","테스라 ","116.38 ","05.08"
"제식갤은 포기해라 갤매니저 사상이 그냥 패션혐한이다","ㅇㅇ ","223.39 ","05.08"
"왜 박씨들은 일본식성씨를 아라이로 짓는지 알음?","ㄹ혜야놀자 "," ","05.08"
"1984년 전두환대통령이 일본에 방문하셨을때 모습 ㅎㄷㄷㄷㄷㄷㄷㄷㄷㄷ","한국청년 ","118.221 ","05.08"
"국수주의 꼰대 기득권들 다 뒤졌으면 좋겠다","ㄹ혜야놀자 "," ","05.08"
"일왕  백제계래","왜쳐다봐 ","61.34 ","05.08"
"중국 명나라  주원장인가  영락젠가 머시기 그사람도  한국사람이래","왜쳐다봐 ","61.34 ","05.08"
"중국 금나라 시조는  안동 권씨래","왜쳐다봐 ","61.34 ","05.08"
"왜 내글 삭제됨?","ㄹ혜야놀자 "," ","05.08"
"독립운동가들은 테러리스트라기보단 그냥 바보같다","ㄹ혜야놀자 "," ","05.08"
"역갤러들은 어느당 지지함?","ㄹ혜야놀자 "," ","05.08"
"미국, 세계에서 가장 빠른 슈퍼컴 제작","ㄹㄹ ","51.15 ","05.08"
"요즘 한국사학계가 조선빠에서 조선까로 바뀌는 중...","ㅇㅇㅇ ","99.240 ","05.08"
"中 전기차, 세계적 기술력으로 한국시장 넘본다","ㅇㅇ ","36.37 ","05.08"
"미국이 북한하고 전쟁하는 것은 불가능하다...","한국청년 ","118.221 ","05.08"
"왜놈들은 각시탈 쇠퉁소로 맞아야","아오이소라 ","116.40 ","05.08"
"김원봉 드라마 는 결국 폭망이군 .... m사 드라마 말이다.","아오이소라 ","116.40 ","05.08"
"동시대에 부여와 고조선? 위만조선을 말하는 거겠지.","트위치 ","220.77 ","05.08"
"딱히 제국주의를 옹호하는 건 아닌데","ㅇㅇ ","14.52 ","05.08"
"일본은 한국보다 댄스곡도 앞서있다","ㅇㅇ ","14.52 ","05.08"
"일본 비주얼 밴드 좋아하는 애야 이런 노래는 어떠냐","ㅇㅇ ","14.52 ","05.08"
"일본의 한국 경제원조는 한일 청구권 만이 아니다","ㅇㅇ ","14.52 ","05.08"
"안중근의 숨은 조력자, 독립운동가 최재형은 누구인가?","ㅇㅇ ","121.160 ","05.08"
"부여와 고조선관계","ㅇㅇ ","223.62 ","05.08"
"14.51아 이런노래는 어떤거같냐","ㅇㅇ ","125.179 ","05.08"
