"dc_title","dc_writer","writer_ip","dc_date"
"일본인들은 영국 미국중에 어딜 더 좋아함?","ㅇㅇ ","183.97 ","05.08"
"강남 일본어학원","ㅇㅇ ","219.250 ","05.08"
"일어말고 재능없는새끼들, ~급 몇개월 가능??이딴개소리좀","ㅇㅇ ","223.62 ","05.08"
"일본어 네이티브급 일본인급이면 어디 취업함?","ㅇ ","39.7 ","05.08"
"jlpt 3급 수준에서 jlpt 1급까지 3개월안에 가능함?","ㅇㅇ ","118.47 ","05.08"
"相次ぎひかれて 이거 질문","ㅇㅇ ","220.92 ","05.08"
"곧일본어학연수6개월 가는데 기대도되고 걱정도 되고 기대도 되고","ㅇㅇ ","117.111 ","05.08"
"나라 경제 좆망해가는데 이시기에 공무원 준비하는애들은 뭐냐???","기본충실 ","121.146 ","05.08"
"일문따 들으면서하라는데 책덮고듣는거임?","ㅇㅇ ","180.67 ","05.08"
"중국어는 한자 ㅈㄴ 쉽네","ㅇ ","39.7 ","05.08"
"회화 바이링구얼 아닌새끼들은 깝치지마라","ㅇㅇ ","223.33 ","05.08"
"必需랑 必修랑 차이가 뭐에요 ? ","ㅂ1ㅈ2 ","117.111 ","05.08"
"와 롤정지먹으니까.","ㅇㅇ ","112.186 ","05.08"
"씹덕베이스라는 게 부럽다.","ㅇㅇ ","223.39 ","05.08"
"jlpt 1급 155점이면 일본어 어느 수준임","ㅇㅇ ","121.190 ","05.08"
"단숨한자 세이브 기능 좀 추가해주세요.","ㅇㅇ ","223.62 ","05.08"
"공부 학원다니고 안 다니고랑 무관한거 조금 일리가 있는게","일어갤에질문만함 "," ","05.08"
"혼자하면 더 긴장되지않냐","ㅇㅇ ","223.38 ","05.08"
"일어 하는새끼들 특","ㅇㅇ ","175.223 ","05.08"
"혼자서 되겠지 되겠지 하고 자습한지 어언 10년.","일어갤에질문만함 "," ","05.08"
"혼자서는 딴 생각에 딴 걱정하느라 공부가 안됨","일어갤에질문만함 "," ","05.08"
"너네 영어는 왜하는거냐?","ㅇㅇ ","223.38 ","05.08"
"단숨한자 건의","님님니 "," ","05.08"
"단숨한자 일붕이들 아니면 모르는거 아니냐?","ㅇㅇ ","223.38 ","05.08"
"미에로화이바 마시면 게이같냐?","재밌냐? "," ","05.08"
"일본어랑 영어 둘다 공부를 효율적으로 하기위해선","ㅇㅇ ","125.179 ","05.08"
"영어랑 일본어 동시에","ㅇㅇ ","211.36 ","05.08"
"책 질문좀 드리겠습니다.","ㅇㅇ ","211.54 ","05.08"
"'일반계(인문계) 고등학교'는 뭐라고 함?","ㅇㅇ ","59.25 ","05.08"
"독학하는 애들보면 진짜 대단한거같다..","치즈버거와퍼 ","211.36 ","05.08"
"올해 1월부터 집에서 독학하려고 해봤는데","일어갤에질문만함 "," ","05.08"
"사이즈 작은 한자공부책좀 추천해주세요","ㅇㅇ ","223.62 ","05.08"
"참치나 스시집 보면 모리<U+2022><U+2022> 많잖아","ㅇㅇ ","203.226 ","05.08"
"흔한 착각이 애니봤다고 N3를 쉽게본다는겁니다","ㅇㅇ ","223.38 ","05.08"
"글이 묻힌것같아 다시올릴게요ㅠㅠ jlpt관련 질문하나만요ㅠㅠ","안녕하세요 ","223.38 ","05.08"
"たいら たいらか 차이가 뭔가요","ㅇㅇ ","115.41 ","05.08"
"일본어 질문 좀","ㅇㅇ ","211.197 ","05.08"
"단숨한자 신기한 경험하는중","명난젓코난 "," ","05.08"
"동사를 왜 1그룹2그룹 나느는거야??","1ㅑ뱌바 ","121.161 ","05.08"
"盧武鉉 死ねよ!","ㅇㅇ ","223.62 ","05.08"
"일본어랑 한국어 뭐가 편해요 번역좀 ㅡ","ㅁㅁ ","117.111 ","05.08"
"2개월 공부해서 7월 n3 따는 거 가능함?","ㅇㅇ ","58.142 ","05.08"
"受け入れてもらった 해석좀..","ㅇㅇ ","116.122 ","05.08"
"이빠이,오오이,탁상 ~~~~ 이거 다들 차이점이 먼가요?","슬램덩크 ","121.162 ","05.08"
"일본어가 외국어중에서 젤 배우기 만만함?","ㅇㅇ ","14.42 ","05.08"
"자기전에 유튜브에 일본어로 씨부리는 asmr들으면서 자라","dd ","125.176 ","05.08"
"아 시발 내가 한 번 꽂히면 계속 듣는 스타일이거든?","ㅇㅇ ","218.154 ","05.08"
"단숨 샀는데 더 흥할수있는 아이디어있어요.","명난젓코난 "," ","05.08"
"형님들 일본어 존칭어는 어떻게 만드나요?","ㅇㅇ ","211.228 ","05.08"
"일본에서 게이 BL물이 많은이유가 뭐임?","ㅇㅇ ","14.42 ","05.08"
"음 아자르 vpn 돌리면 왜","ㅇㅅㅇ ","60.96 ","05.08"
