"dc_title","dc_writer","writer_ip","dc_date"
"아 제가 밑에 글을 너무 늦게 봤어요  ","oo ","223.33 ","05.08"
"좌파 우파 배승희변 다들 아래 황교안 엑스멘영상 꼭봐봐","ㅇㅇ ","211.36 ","05.08"
"변시교육이 그리 대단하다고 자부하면","ㅇㅇ ","175.223 ","05.08"
"박은선이나 한상균이나","ㅇㅇ ","223.39 ","05.08"
"'로스쿨 도입 취지' 잊은 법무부, 변호사시험 운영할 자격 있나","마릉의전투 ","125.252 ","05.08"
"민주당은 지역통합당 한국당은 지역차별당 패하는거는 그래서다","ㅇㅇ ","211.36 ","05.08"
"야 우리 한국도 몰래 핵같은거 개발하고 있는거 아니냐?","ㄹㅇ ","121.131 ","05.08"
"황교안의 광주방문은 아마츄어정치 피해자 코스프레 전략 ","ㅇㅇ ","211.36 ","05.08"
"로스쿨로 개선된 건 뭐야?","ㅇㅇ ","37.161 ","05.08"
"어쩌면 사법시험이 진짜 더 쉬울 수도 있었는데","75년생40백수 "," ","05.08"
