"dc_title","dc_writer","writer_ip","dc_date"
"코인500개쿠폰 얼마면 삼?","dd ","121.139 ","05.08"
"[흑기사대리] 바로 진행 가능!","Hs ","223.38 ","05.08"
"코인 회수해갈때가 됬는데","ㅇㅇ ","211.212 ","05.08"
"마모 캐시면 카갤 찡찡이들 뒤집어지겠네 ㅋㅋㅋㅋㅋ","ㅇㅇ ","218.55 ","05.08"
"[자존팀] 카트라이더 꿀마블 판매합니다.","ㅇㄻㅁㄹ ","211.215 ","05.08"
"5분뒤에 카갤분위기가 결정나겠군 코인지팡이냐 아니냐","ㅇㅇ ","220.116 ","05.08"
"스펙터 반드시 뽑는다!!!!!!","혼종 "," ","05.08"
"누적주사위 320개면 ㅍㅌㅊ로 겜한거냐?","123 ","101.235 ","05.08"
"붓 가져가라","ㅇㅇ ","125.178 ","05.08"
"폭스 0.3 이온0.1 ㅍ","ㅇㅇ ","124.57 ","05.08"
"폭스x쿠폰 삽니다","ㅇㅇ ","117.111 ","05.08"
"[흑기사대리] 바로 가능합니다!","Hs ","223.38 ","05.08"
"바스테트x에 레전드바퀴9 찍은애는 인생이 레전드냐??","ㅇㅇ ","121.129 ","05.08"
"폭스팔아요 0.4","ㅇㅇ ","211.36 ","05.08"
"냥냥이 나눔 해주실 분 없노?","ㅇㅇ ","1.243 ","05.08"
"10분 남았으니깐 뿌린다 알아서 가져~~~","123 ","101.235 ","05.08"
"레전드 파츠 수급 가능하니 좋으면서 마모로 뿌린다고 욕하네","카트라이더 ","211.213 ","05.08"
"넥슨이 ㅈ펙터 만든 애들 흑우만드는 거 아니냐","ㅇㅇ ","222.109 ","05.08"
"님들아 이온이나 붓 나눔좀해주실분","ㅂㅌ ","116.127 ","05.08"
"레전바퀴3이면 평타냐?","ㅇㄴㄴㅁ ","182.237 ","05.08"
"이온 1000원 팝니다","밥값벌기 "," ","05.08"
"중대랑 윾창 친분있음??","ㅇㅇ ","119.198 ","05.08"
"백박쥐 쿠폰","ㅇㅇ ","221.147 ","05.08"
"오늘 12시 이후로 주사위 못돌렷다면서 징징거리는 새끼","ㅇㅇ ","175.223 ","05.08"
"아니 이번 마술지팡이 코인가능하냐","-.- ","27.118 ","05.08"
"1:1 모드도 12시되면 나오냐?","ㅇㅇ ","222.121 ","05.08"
"폭스 0.2 ㅍㅁ","ㅁㄴㅇㅇㄴㅇ "," ","05.08"
"루찌카드랑 루찌주머니도  오르긴할듯","ㅇㅇ ","211.40 ","05.08"
"꿀단지쿠폰 떨이","dnlsemdpwl ","119.67 ","05.08"
"마블 돌리는거 11:59까지","ㅇㅇ ","125.178 ","05.08"
"폭스x는 지금 어떻게 얻음?","ㅇㅇ ","117.111 ","05.08"
"기간제카트론 도데체 뭐해야되냐","ㅇㅇ ","211.36 ","05.08"
"[흑기사대리] 바로 가능합니다!","Hs ","223.38 ","05.08"
"아씨발 문방송 왕자님 누가 줌마좀 말려줘","ㅇㅇ ","121.182 ","05.08"
"꿀단지 쿠폰","dnlsemdpwl ","119.67 ","05.08"
"차 있는거 미친듯이 갈아대는데 스팅은 코빼기도 안보인다 ㅋㅋㅋㅋㅋ","ㅇㅇ ","220.116 ","05.08"
"햄스터송","수돌프 "," ","05.08"
"꿀마블 돌리는거 오늘까지임?","ㅇㅇ ","219.254 ","05.08"
"카트 리그팀","ㅇㅇ ","175.204 ","05.08"
"마모 코인은 개소리같은데","ㅇㅇ ","211.214 ","05.08"
"레전드파츠 조각 몇개가 적정선일거같냐?","ㅇㅇ "," ","05.08"
"마모 코인구매면 100코인 2000원 ㅍㅁ","ㅇㅇ ","115.23 ","05.08"
"파츠조각 무조거ㆍ 존버하는게 맞음..?","ㅇㅇ ","58.79 ","05.08"
"ㄱㅂㄹㅇ","복학늒네 "," ","05.08"
"황금기어 12개 팝니다.","레아판매 ","116.126 ","05.08"
"리그에서 한바퀴 안달리고 막자하는건 안되냐?","ㅇㅇ ","211.207 ","05.08"
"폭스 떳냐?&gt;????","ㅇㅇ ","118.39 ","05.08"
"ㄱㅂ ㅍ","복학늒네 "," ","05.08"
"이온2대 폭스1 교환하실분","ㅁㅇ ","210.223 ","05.08"
"ㄳ ㅠ","복학늒네 "," ","05.08"
"카갤러들위해서 12시에 일단 부캐 5300코인 먼저 꼴아박아봄 ㅇㅇ","ㅇㅇ ","211.104 ","05.08"
"지팡이 코인으로살수있노?","ㅇㅇ ","211.176 ","05.08"
"26렙 갓 찍은 카린이는 어디서 연습해요?","ㅇㅇ ","117.111 ","05.08"
"스펙터 못뽑을까봐 걱정하지마라","ㅋㅁㅂ ","121.164 ","05.08"
