"dc_title","dc_writer","writer_ip","dc_date"
"아니 솔까 놀자 강남 말고 갈떄 없지 않냐","ㅇㅈ ","210.216 ","05.08"
"강남.... 서버뼈때리기!!","꽃등심 ","121.131 ","05.08"
"해적서버 몇차째 고정인데 해적 알려줄게용","해적꿀잼 ","112.166 ","05.08"
"강남 템 매입 저거  맞출래면 ㅋㅋ","응 ","211.211 ","05.08"
"강남 템매입 실화냐","장난아니네 ","210.217 ","05.08"
"ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ","ㅅㅅㅅ ","1.251 ","05.08"
"이번 금요일 뎅팔이 강남으로 다오겠네 ㅋㅋㅋㅋㅋㅋ","뎅팔이5년차 ","125.139 ","05.08"
"전차 강남서버 이벤사냥터 쿠폰존나 잘나온다길래 내가가봄","후릿 ","14.40 ","05.08"
"와 강남영자 템매입 오지네요","스고이네 ","121.182 ","05.08"
"강남 탬매입 ㄷㄷ 여기 반놀맞음?","미쳤다리 ","121.130 ","05.08"
"아니 강남영자 돈 얼마나 많냐 ??","그렇게하냐 ","115.95 ","05.08"
"템잘뜨는 반놀에서 템매입? 강남 길게보네","ㅋㄷㅇ ","180.68 ","05.08"
"발폭 끝났고 이제 강남 차례아니냐 ㄱㄱㄱ","그러게 ","58.127 ","05.08"
"해적 전차 개꿀잼이였는데 ㅋㅋ","개꿀띠 ","110.8 ","05.08"
"금요일날 해적에서 치킨이나 먹어야겠다","치킨런 ","59.27 ","05.08"
"전차 해적 재밌겠는데 이번차 매입까지 함 ㄷㄷ","오우 ","221.140 ","05.08"
"포칸 폭스에 지친애들 이번주 해적오면된다","루트 ","121.130 ","05.08"
"이번차 해적 매입한다네요 ㄷㄷ","ㄷㄷ ","218.150 ","05.08"
"아니진짜 얘네들","불도그인범원큐만만 ","211.62 ","05.08"
"이겜 돈50만원가지고 턱도못냄?","ㅇ ","117.111 ","05.08"
