"dc_title","dc_writer","writer_ip","dc_date"
"짧은 표현 하나 평가좀","ㅇㅇ ","182.211 ","05.08"
"인문학 관련 질문","합금멧돌 "," ","05.08"
"어버이날기념) 아버지의 낡은 기타","김민건 ","223.62 ","05.08"
"신라면 블랙 먹고 쓰는 시","석가빙수 "," ","05.08"
"님들 홍인혜 라고 앎?","석가빙수 "," ","05.08"
"시라는 게 뭔데?","문적문 ","58.122 ","05.08"
"문사 당선 통보","ㅇㅇ ","211.246 ","05.08"
"으아아아아아악 붸엑 퉤","일이삼사 ","211.185 ","05.08"
"^^","문적문 ","58.122 ","05.08"
"글하나만 봐주세요 부탁드립니다","ㅇㅇ ","121.179 ","05.08"
"신학적인 내용은 역시 좀 어렵네요...","ㅇㅇ ","211.36 ","05.08"
"어느 악마의 고백(평가 부탁드립니다.)","ㅇㅇ ","211.36 ","05.08"
