"dc_title","dc_writer","writer_ip","dc_date"
"살다살다 인벤에","ㅇㅇ ","106.255 ","05.08"
"개방된 나르바샨 만드는건 타이밍이지","정반응 "," ","05.08"
"솔직히안하면서 갤하는놈천국일듯","ㄷㄹ "," ","05.08"
"단심도 걸러야겠네 ㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","175.223 ","05.08"
"여기가 니들 좆목하는데냐 씨^^발새끼들아?","투리 "," ","05.08"
"뷰티상자 살사람있음?","?? ","59.28 ","05.08"
"스커 버그가 실용적인지 확인하는 방법 ","1 ","223.33 ","05.08"
"차단 단어목록","투리 "," ","05.08"
"뭔 맨날 버그딜이래","카보. "," ","05.08"
"해혼바베데파파모호발록카모피카오슈바열벌루닼스4촬5촬","마을. "," ","05.08"
"인구수 딱 하나있는 펀치스커에","ㅇㅇ ","223.38 ","05.08"
"에이스 병 신같은건 알겠는데 깔거면 팩트로까라 븅신같은새끼들아","ㅇㅇ ","110.70 ","05.08"
"스커 혈도말고 버그 또있네","111 ","14.7 ","05.08"
"에이스가 펀치트리로 갈아탄 이유.txt","ㅇㅇ ","175.196 ","05.08"
"상어길드는 왜 욕하냐?","ㅇㅇ ","110.70 ","05.08"
"존야 터졌네","ㅇㅇ ","110.70 ","05.08"
"사람들이 돈을 왜 안내기는ㅋㅋㅋㅋㅋㅋㅋ 븅신새끼야","ㅇㅇ ","175.223 ","05.08"
"야 !","로티풀애미 ","110.70 ","05.08"
"버스기사들 추한점","ㅇㅇ ","121.175 ","05.08"
"윾쁨누나 머해 어디갓어 이거","투리 "," ","05.08"
"님덜 친구 집 포털 말이야","ㅇㅇ ","122.38 ","05.08"
"해축갤 실검에 올라와있길래 가봤더니","ㅇㅇ ","110.70 ","05.08"
"은하누나보고싶다","희희낙낙 "," ","05.08"
"갖고싶은남자 로티플이랰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","221.146 ","05.08"
"멭갤좌장 김소정올시다","즉니 "," ","05.08"
