"dc_title","dc_writer","writer_ip","dc_date"
"9/10도 무보엠 4줄 정도면 매우 강함","빅원숭이 ","125.138 ","05.08"
"애들이랑 노래방에서 노래부르는디","넬기나루가사랑해 ","211.36 ","05.08"
"메이플 존나팅기는데 너낸 안그럼?","ㅇㅇ ","116.127 ","05.08"
"메린이 질문좀","ㅇㅇ ","223.62 ","05.08"
"스카 믹염 7천에팜","나비랑 "," ","05.08"
"패치 몇 시야","ㅇㅇ ","106.102 ","05.08"
"윗잠 주스탯 9퍼로 맞추는사람이 대부분임??","ㅇㅇ ","218.148 ","05.08"
"주간보스 2캐릭 4카 깔끔하게 돌았다","빅원숭이 ","125.138 ","05.08"
"스카니아 아케인 17성 얼마정도하냐?","ㅇㅇ ","222.234 ","05.08"
"뭔가 유니온도 기를수록 신기한 기분이네","ㅇㅇ ","121.148 ","05.08"
"이래서 커비는 안된다","ㅇㅇ ","218.149 ","05.08"
"피앱으로 뽕뽑는 직업머잇노","ㅇㅇ ","210.179 ","05.08"
"방학때 수큐나 잼스톤 주흔 값 오름?","전역컴 ","175.223 ","05.08"
"원래 메이플 유저는 48층 미만과 이상으로 나뉘냐?","ㅁㄴㅇ ","223.38 ","05.08"
"근데 나로는 무릉 어케돌음?","가가나가가 "," ","05.08"
"마이이어링은 장점이 뭐야?","ㅇㅇ ","218.101 ","05.08"
"하드윌2페이즈 좆같지않냐? ","ㅇㅇ ","223.38 ","05.08"
"공속어빌 1번칸에만 뜸?","폭풍의왕 "," ","05.08"
"윌이랑 루시드는 패턴 좆같다고 욕하는걸 못본듯?","ㅇㅇ ","223.38 ","05.08"
"광부 메획 아획템 몇개 껴야됨??","맛있는오레오 "," ","05.08"
"진짜카파풀패턴이 스데미보다쉽단애들이많노?","ㅇㅇ ","180.71 ","05.08"
"템맞춰야되는데 페북 거래 활발함?","ㅇㅇ ","223.62 ","05.08"
"남들이 다 패턴 좆같다는 카파풀 나는 쉽던데? ㅋ","ㅇㅇ ","180.71 ","05.08"
"엘몹 마일리지가 500도 줌/","ㅇㅇ ","115.90 ","05.08"
"사기당해서 사이버수사대 신고넣었는데 ","니2노 "," ","05.08"
"싸전귀개애미뒤졌네","시구르드 "," ","05.08"
"35분뒤에 몬스터버스터즈와 올라올라가 떠납니다","ㅇㅇ "," ","05.08"
"카파풀이 스데미보다 쉽다는 새끼 특징.txt","ㅇㅇ ","180.71 ","05.08"
"글자 24시간방송으로 400만원 정도 땡겼으면서 또 수금방송하네","ㅇㅇ ","218.101 ","05.08"
"아 씨발 올라올라 왜 15분에 안떳음? 애미창년임?","ㅁㄴㅇㅁㄴㅇ ","121.169 ","05.08"
"80급 탈벨 5성 10억이면 ㄱㅊ?","ㅇㅇ ","116.47 ","05.08"
"낙인존나귀엽네씨발년진짜 아ㅋㅋ","⊙⊙ "," ","05.08"
"스우는 솔직히 익숙해지면 걍 허수아비수준이지 ㅇㅇ","ㅇㅇ ","180.71 ","05.08"
"엘슘 페어리하트 팝니다","ㅇㅇ ","39.7 ","05.08"
"갠적으로 스우랑 데미안 같이묶이는게 이해가 안감","ㅇㅇ ","180.71 ","05.08"
"오로라  메소 좀 팔아줘","00 ","110.70 ","05.08"
"핑크빈콘좀","비시밧시 "," ","05.08"
"오늘 3번 튕겼다","ㅇㅇ ","220.117 ","05.08"
"올라올라 끝나면 운빨빙고인가","나비랑 "," ","05.08"
"왜 메갤길드 아닌 새끼들이 메갤이 글씀??","ㅇㅇ ","223.38 ","05.08"
"엘슘 페어리하트 살사람","ㅇㅇ ","39.7 ","05.08"
"퇴근 1시간남음","썬갤 "," ","05.08"
"임순정 친구 낙인","ㅇㅇ ","39.7 ","05.08"
"데아시두스 에픽666/에디공10 평생템 ㄱㄴ?","초보 ","122.42 ","05.08"
"매커 작 뭘로함","ㅇㅇ ","175.213 ","05.08"
"보유 믹염 핑까점....","ㅇㅇ ","223.33 ","05.08"
"루시드 1페 브금 존나좋은듯","ㅇㅇ ","221.156 ","05.08"
