"dc_title","dc_writer","writer_ip","dc_date"
"고1인데여 소수점 곱 질문요","croucopsd ","118.38 ","05.08"
"수학 잘하는 법 갤러리로","ㅇㅇ ","223.62 ","05.08"
"너네 페르마 마지막정리 증명 이해됨?","ㅇㅇ ","211.226 ","05.08"
"[필독] 오늘부터 미적분학 공부한 내용 일기로 쓸겁니다.","우공이산미적분학 ","211.186 ","05.08"
"5개의 평균 구하는 방법 이거 됨??","ㅇㅇ ","221.138 ","05.08"
"공대인데 미적분학 안배움","ㅇㅇ ","1.219 ","05.08"
"공학수학 바로해도됨?","붉은거북 "," ","05.08"
"이래서 수학이 재능이라는 것인지..",")) "," ","05.08"
"수학에서의 union이 정확히 뭔 뜻?","ㅇㅇ ","220.116 ","05.08"
"만약 새로운 생각 이론같은거 만들어내면","석1 "," ","05.08"
"수학갤러분들 삼각함수갤러리가 탄생했습니다.","샤로니 "," ","05.08"
