"dc_title","dc_writer","writer_ip","dc_date"
"배달가방 안가지고 다니고 싶다는건 뭐지?","후블밍 "," ","05.08"
"우리 매장 평가좀","셔니 ","223.39 ","05.08"
"어디든 양은 다똑같지?","ㅇㅇ ","125.184 ","05.08"
"맥도날드 면접 봤는데요","맥도날드초보 ","106.102 ","05.08"
"매장밖에있을때 주문왔는지 알고싶다","윀 ","110.70 ","05.08"
"40살 넘어서도 라이더가 주업이면 뭐냐??","ㅇㅇ ","175.223 ","05.08"
"우리동네 버거킹 감튀 너무 짠데 어캄???","ㅇㅇ ","117.111 ","05.08"
"면접보고 왔는데 면접대기 뜨는 거 머임","ㅁㄴㅇㅁㄴㅇ ","125.143 ","05.08"
"맥도날드 '해피밀'에 맞써 '빡침밀'을 내놓은 버거킹","마그루 "," ","05.08"
"커피가 너무싫다","윀 ","110.70 ","05.08"
"배달가방 가지고들어오라는데","윀 ","110.70 ","05.08"
"궁금한거 있는데 연차 있잖아.. 연차쓰면 근무한거처럼 돈받는건데 맥날은","ㅇㅇ ","175.199 ","05.08"
"일을 모르는 사람이 점장 달수도 있냐?","ㅇㅇ ","122.43 ","05.08"
"맥린이 질문좀","셔니 ","223.39 ","05.08"
"크루도 다른지점으로 옮길수있나?","ㅇㅇ ","175.223 ","05.08"
"0.5시간은 돈 어떻게줌?","ㅇㅇ ","210.178 ","05.08"
"케첩 겨자 2가맞냐 3이 맞냐","もも ","125.184 ","05.08"
"메인 떡밥이냐앙?","평화주의 ","221.140 ","05.08"
"메인 추노율 높은이유가 뭐야","ㅁㄴㅇㄹ ","124.49 ","05.08"
"맥알바 추노하자마자 집근처 편의점 됨","ㅇㅇ ","175.197 ","05.08"
"너네 배달가방이랑 음료가방 들고다님??","ㅇㅇ ","182.215 ","05.08"
"여기 맥날알바갤이냐?","ㅇㅇ ","39.7 ","05.08"
"나 곧 시장가능데 효도화 달라하면 되냐?!","ㅇㅇ ","117.111 ","05.08"
"연차휴가가 발생하지 않아요","하루 ","125.136 ","05.08"
"실수러 적성검사 안하고 맥알바 지원보냄 ","ㅇㅇ ","182.216 ","05.08"
"일 가르쳐주는 사람마다 말이 다르면","ㅇㅇㅇ ","182.225 ","05.08"
"급식 맥알바 하려는데","ㅇㅇ ","61.77 ","05.08"
"맥날 나이트 그릴...","라코다일 ","124.146 ","05.08"
"니들 매장도 근무중에 물 못마시냐","ㅇㅇ ","175.223 ","05.08"
"신발 뭐사야대","ㅇㅇ ","124.53 ","05.08"
"퇴사하면","ㅇㅇ ","182.227 ","05.08"
"맥날지원하면 몇주만에옴?","NBA좆고수 "," ","05.08"
"야간 욕나오네","ㅇㅇ ","221.159 ","05.08"
"맥딸 첫출후기","ㅇㅇㅇ ","223.62 ","05.08"
"필터링 배웠다.","주휴빌런 ","211.208 ","05.08"
"근데 진짜 스케줄짜는거 일잘하는 사람은 더 길게 하는거 ㄹㅇ임?","dd ","175.199 ","05.08"
"스케쥴짤때","ㅇㅇ ","116.121 ","05.08"
