"dc_title","dc_writer","writer_ip","dc_date"
"시각장애인은 동공반사도 없음?","ㅇㅇ ","59.25 ","05.08"
"요즘 이쁜 여의사는 연예인들이 채가는듯...","ㅇㅇ ","175.200 ","05.08"
"임파선 초음파로 결핵성인지 알 수 있음??","ㅇㅇ ","218.150 ","05.08"
"응원합니다~","솔로몬 ","211.217 ","05.08"
"저분화 고분화 저등급 고등급 차이좀 알려주세요 ㅜ","선배님든 ","116.255 ","05.08"
"한남충아 이대애들 너보다 결혼잘함ㅋㅋㅋ","ㅇㅇ ","124.5 ","05.08"
"여의사들이 눈은 엄청 높은거 같다","ㅇㅇ ","115.40 ","05.08"
"자꾸 헛구역질 나는 것도 FIMS가 적응증일 수 있나?","P.쏠렌티스 "," ","05.08"
"Polycythemia vera에서 vera가 무슨뜻이야?","수의사 ","106.102 ","05.08"
"근데 공부존나잘하는남자들은 대체로 키작은거같지않냐?","ㅇ ","117.111 ","05.08"
"여자 피부과 gp가 예쁘면 영업에 도움이 되냐?","ㅇㅇ ","112.172 ","05.08"
"의사들 실제로 전문의 딴 이후에 버는 돈 어느 정도 되는거임?","ㅇㅇ ","175.223 ","05.08"
"종양내과 관련 이 내용 맞는거냐?","ㅇㅇ ","175.200 ","05.08"
"라식20년후 비문증 생겼는데 병원꼭가봐야하냐?","의갤 ","218.145 ","05.08"
"참나 방금 free water deficit 개념 공식을 공부해 알았다","수의사 ","106.102 ","05.08"
"성인ADHD나 아스퍼거 증후군 검사 비용",": ( ","210.121 ","05.08"
"야 antecubital vein이 어디냐 검색해도안나와","수의사 ","106.102 ","05.08"
"신입생환영회 필참(불참비걷음)에 복장 정장인 의대면 군기 개쩌는 곳임?","ㅇㅇ ","121.136 ","05.08"
"우리나라 5대의대 서울 연세 카톨 부산 경북","ㅇㅇ ","115.40 ","05.08"
"왜 건국대병원은 서울대 출신이 일하냐","ㅇㅇ ","115.40 ","05.08"
"오스는 왜 상대적으로 들어가기 쉽다는 거야??","ㅇㅇ ","182.212 ","05.08"
"내과에서 검사를 하는데 진료비를 몰아서 받는건가?","ㅇㅇ ","223.38 ","05.08"
"여고생 사귀고 싶으면 사겨라 갑인이유가","ㅇㅇ ","115.40 ","05.08"
"아주대가 커트유지했던 이유는 다군이었어서 그랬지..","00 ","112.170 ","05.08"
"지잡의대&gt;&gt;&gt;설공&gt;&gt;&gt;중대공대","00 ","112.170 ","05.08"
"중앙대 경희대면 명문의대냐","ㅇㅇ ","115.40 ","05.08"
"똥 안마려운데 윗배가 매스꺼우면 채한건가요","니시 "," ","05.08"
"치협이랑 한의협은 왜 물치들 힘실어주냐","ㅇㅇ ","121.132 ","05.08"
"의사샘들은 7급공무원이 환자로 오면 무슨 생각듬?","벡터 ","14.41 ","05.08"
"닥치고 의대 가야하는 이유","ㅇㅇ ","125.177 ","05.08"
"서울대생명  vs  수능6년제후 이대약대","e ","112.170 ","05.08"
"의사들 사이에서 이대는 믿거 맞냐?","ㅇㅇ ","175.223 ","05.08"
"부원장하면 월급 얼마나 받음?","ㅇㅇ ","125.180 ","05.08"
"추나요법 받으러 갔더니 4일전예약해야한다네","ㅇㅇ ","221.159 ","05.08"
"그냥 직업이고 사업이면 친절하게 잘 안하면 바로 망하지ㅋㅋ","ㅇㅇ ","98.152 ","05.08"
"구강악안면외과진료 활발했던 종합병원 근무해본 분들 와주셈","ㅇㅇ ","1.221 ","05.08"
"삼수해서 인설의 간 내친구 연애사","ㅇㅇ ","223.39 ","05.08"
"의사가 온화하게 배려하면 여자 다 넘어갈듯","ㅇㅇ ","223.39 ","05.08"
"전공의 뽑을때 빽이 작용하는 이유가 뭐냐?","ㅇㅇ ","59.17 ","05.08"
"의사도 그냥 하나의 직업으로 봐줬으면 좋겠다","ㅇㅇ ","58.234 ","05.08"
"의사샘들은 공무원이라고 하면 무슨생각듬?","벡터 ","14.41 ","05.08"
"초저출산에 혼인률 역대 최저라는데","ㅇㅇ ","124.28 ","05.08"
"의알못 아주의 vs 경희의","ㅇㅇ ","223.62 ","05.08"
"감자칼로 손가락살 날려버렸는데 병원안가도되지?","홍민기 "," ","05.08"
