"dc_title","dc_writer","writer_ip","dc_date"
"부캐닉 Magnificent7로 할건데","ㅇㅇ ","121.177 ","05.08"
"빠대는 솔큐보다 다인큐가 훨씬 잘 되네","펜타미넘 "," ","05.08"
"밴쯔 몸매 예술이네","peacemaker "," ","05.08"
"라면을먹어버려말어","peacemaker "," ","05.08"
"옵치할까데바데할까","ㅇㅇ ","182.172 ","05.08"
"옵치에 형제하고 부모자식은 있는데","ㅇㅇ ","223.62 ","05.08"
"니네이거봤냐? ㅋㅋ 쪼낙 트레이서 하는거","soe943949 ","61.82 ","05.08"
"손 틈새로 비치는 내 맘 들킬까 두려워","ㅇㅇ ","223.62 ","05.08"
"하 듀오할 사람이 없다 ..","상중이 "," ","05.08"
"바스 유튜버 야봉이 구독자 2년째 안 느는 이유가 머냐","ㅇㅇ ","211.243 ","05.08"
"형들 둠피스트 하이라이트 피드백 좀 해줘!!","찌밥 ","125.139 ","05.08"
"본인왜 앞에사 보면 비율 한 7후반에사 8정도는 되보이는데","ㅇㅇ ","211.36 ","05.08"
"어플가입 1쿙 드림","푸름 ","114.207 ","05.08"
"요즘 요리 유튜브하는 아줌마 구독중인데","@.@ ","39.119 ","05.08"
"@_@ 빨지말고 나 빨아라","@.@ ","223.39 ","05.08"
"학원 퇴갤ㅋㅋㅋㅋㅋ","겨울(124.58) "," ","05.08"
"어버버 어버버 어버이 어버이날?","ㅇㅇ ","223.38 ","05.08"
"올만에 왔는데 메타가 또 바꼈나?","ㅇㅇ ","121.166 ","05.08"
"타이어 김원조 포함 너만오면 6인큐","타이어 "," ","05.08"
"타이어 원조 2인큐 너만 오면 3인큐 ㄱㄱ~","원조_ "," ","05.08"
"@_@뚱녀라도 사랑해","ㅇㅇ ","223.39 ","05.08"
"나믿리믿 사랑해요 리버풀!","타이어 "," ","05.08"
"본인 지금부터의 계획","김마름모 "," ","05.08"
"어제 피시방갔는데 옵치 신캐나왔더라ㄷㄷ","머찐닉네임 "," ","05.08"
"세계최고의 탱커 타이어와 게임하실분","타이어 "," ","05.08"
"싀발 집에 원룸에 많이 나타나는 하루살이 생겼네","김마름모 "," ","05.08"
"안녕하살법!","김마름모 "," ","05.08"
"게토레이 1+1이라 자주사먹게되네","TopRank "," ","05.08"
"디시콘 다는 거 개재밌다구","김마름모 "," ","05.08"
"@_@누나랑 @.@누나랑 사귐","ㅇㅇ ","223.39 ","05.08"
"요즘 루시우 좋은듯 ㅇㅇ","채선생 "," ","05.08"
"somebody toucha my spaghet","peacemaker "," ","05.08"
"@_@뚱녀라도 사랑해","ㅇㅇ ","223.39 ","05.08"
"햄버거하나 콜라한잔마시면 배부르지않냐","TopRank "," ","05.08"
"옵갤평균연령","TopRank "," ","05.08"
"고닉 팠다","김마름모 "," ","05.08"
"@_@누나처럼 인정하면 ㄱㅊ은데 원조저아줌마는ㅋㅋ","ㅇㅇ ","223.39 ","05.08"
"요즘 애쉬 좋은듯 ㅇㅇ","채선생 "," ","05.08"
"디씨에 몸비틀고 게임이나 하는년들한테 기대하지마라","ㅇㅇ ","223.39 ","05.08"
"언조 고딩때 피시방은","peacemaker "," ","05.08"
"@_@누나 찐따라 옵갤에다 똥글 싸대도","ㅇㅇ ","223.39 ","05.08"
"오늘 메르시신스킨은 13명봤는데 루시우는 한명도없네","ATX "," ","05.08"
"@_@누나","ㅇㅇ ","223.39 ","05.08"
"요즘 둠피스트 좋은듯 ㅇㅇ","채선생 "," ","05.08"
