"dc_title","dc_writer","writer_ip","dc_date"
"빕스랑 서가앤쿡 피자 맛있니?","ㅇㅇ ","175.223 ","05.08"
"파좆충으로서....이해안가는거.... txt","dd ","180.66 ","05.08"
"도미노 요즘도 화요일마다 할인해줌?","ㅇㅁㅇ ","183.109 ","05.08"
"파파존스 소스제외 하면 어케됨?","ㅁㅁ ","221.167 ","05.08"
"트위치에서 혁준이랑 레니아워 파존 패밀리 2판 먹방 ㅋㅋㅋ","ㅁㄴㅇㄹ ","112.171 ","05.08"
"피자 브랜드 추천좀","Linu "," ","05.08"
"우리집 근처 피자집인데 추천좀 ","ㅇㅇ ","119.71 ","05.08"
"업텐브로 어떰?","ㅇㅇ ","211.36 ","05.08"
"코스트코 시바꺼 페퍼로니 사라진거 실화냐?","제네더질라 "," ","05.08"
"파존 슈파 말고 메뉴 추천좀","ㅇㅇ ","223.62 ","05.08"
"울 동네 빅스타 피자 후기","ㅇㅇ ","123.215 ","05.08"
"도미노 화요일","ㅇㅇ ","222.102 ","05.08"
"파존이 도미노 쳐망한거땜에 상대적효과 무자게 보는것같은데","ㅇㅇ ","115.41 ","05.08"
"좆자헛 40퍼는 랜덤임?","ㅇㅇ ","36.38 ","05.08"
"바싹굽기 안했네","ㅇㅇ ","175.198 ","05.08"
"주문대행 씹스레기 다되었네","89년생인생망함 ","183.109 ","05.08"
"파존 라지 vs 피자헛 팬피자 라지","ㅇㅇ ","175.223 ","05.08"
"파존 처음 시켜보는데 라지가 다른데 레귤러급임?","ㅇㅇ ","175.223 ","05.08"
"오늘 파존 처음 먹어봤다","ㅇㅇ ","124.53 ","05.08"
"아오 걍 파존이나 먹을걸 후회되네","ㅇㅇ ","125.252 ","05.08"
"오늘 파존 30% 할인이네","ㅁㄴㅇㄹ ","112.171 ","05.08"
"아오 열받아 불닭피자 때문에 너무 열받는다","ㅇㅇ ","125.134 ","05.08"
"아니 파존 치즈스틱이 맛잇음??","ㅇㅇ ","211.36 ","05.08"
"미피 6년만에 시켜본 후기.txt","ㅇㅇ ","125.252 ","05.08"
"오늘 저녁 파존 이륙 예정인데 스파이시이탈리안 vs 스치랜","제네더질라 "," ","05.08"
"피자헛을 먹는다 vs bbq를 먹는다","111 ","211.237 ","05.08"
"파존 아이리쉬포테이토 ㄱㅊ?","ㅇㅇ ","124.53 ","05.08"
"파존 첨시켜보는데 여긴 치크없음?","ㅇㅇ ","110.11 ","05.08"
"피자에땅 신세개 피자2 어떰?","ㅇㅇ ","42.82 ","05.08"
"파존 멜로우 머쉬룸 맛있냐?","디비디비딥 "," ","05.08"
"스파이시치킨랜치 vs 아이리쉬포테이토 vs 수퍼파파스","디비디비딥 "," ","05.08"
"야 우리 한국도 몰래 핵같은거 개발하고 있는거 아니냐?","ㄹㅇ ","121.131 ","05.08"
"도미노 왜 네이버 간편로그인 안됨?","ㅇㅇ ","223.38 ","05.08"
"참고로 콰트로피자 저거 홈페이지에서 투표한거임 ","미노점주son ","61.77 ","05.08"
"피자헛 알바가 꿀팁준다","ㅇㅇ ","222.109 ","05.08"
"도미노 일하는사람들 뒤져나겠네 ㅋㅋ","ㅇㅇ ","121.125 ","05.08"
"티아우바(Thiaoouba) 행성 여행자가 밝힌 충격적인 우주의 실상","ㅇㅇ ","49.1 ","05.08"
