"dc_title","dc_writer","writer_ip","dc_date"
"1112기 23연대임?","ㅇㅇ ","58.237 ","05.08"
"의경 에어팟쓸수있냐","ㅇㅇ ","112.155 ","05.08"
"드디어 나간다","ywywywy "," ","05.08"
"아이고 의미없다 ","ㅇㅇ ","39.7 ","05.08"
"의경은 싸지방 있냐?","ㅇㅇ ","211.172 ","05.08"
"조직스토킹계의 황태자 소망사 ㅋㅋ","Wow ","211.36 ","05.08"
"v2k인공환청기술과 실시간 추적 감시기술","Wow ","211.36 ","05.08"
"경찰학교 면회외출 친구가 와도 가능하냐??","ㅇㅇ ","180.71 ","05.08"
"1112기 수료질문","장이지 "," ","05.08"
"훈련소 질문","ㅇㅇ ","220.117 ","05.08"
"경기남부 원서 냈는데 며칠에 테스트 보는지 어떻게 확인함?","ㅇㅇ ","175.195 ","05.08"
"이렇게 장난치면 잡혀감?","ㅇㅇ ","39.7 ","05.08"
"아니 노특언제쥬는데","ㅇㅇ ","223.38 ","05.08"
"여름파출소 언제부터지원하는거냐??","ㅇㅇ ","110.70 ","05.08"
"국방부는 아직 뚫리지 않았나 봅니다?","Wow ","211.36 ","05.08"
"알몸까지 관찰가능한 조직스토킹 몰래카메라기술 ","Wow ","211.36 ","05.08"
"을지하는 타격대있냐?","ㅇㅇ ","175.223 ","05.08"
"훈련소에 있는동안 입영여비 들어와있냐??","ㅇㅇ ","223.62 ","05.08"
"논산퇴소하고 시간얼마정도주냐?","ㅇㅇ ","180.71 ","05.08"
