"dc_title","dc_writer","writer_ip","dc_date"
"한국에서 손오공은 저주받은 캐릭이냐?","ㅇㅇ ","121.139 ","05.08"
"대원방송 파워레인저 와일드스피릿 리마스터링 1~2화 무료 공개","ㅇㅇ ","121.136 ","05.08"
"요즘 일본애니 공중파에서 방영할만한거 거의없을걸","ㅇㅇ "," ","05.08"
"지상파에서 해외애니 더빙을 다시 해준다면 어떤 반응일까? ","ㅇㅇ ","182.229 ","05.08"
"솔직히 개인적으로 문재인 연임 찬성하는 편임","ㅇㅇ ","223.38 ","05.08"
"나 악수회간썰좀 들어줘","ㅇㅇ ","14.42 ","05.08"
"프리파라랑 빠샤메카드 mbc 편성표에 안보이네","ㅇㅇ "," ","05.08"
"회색도시 vip 특전 음성 구한다","ㅇㅇ ","211.36 ","05.08"
"건너건너 아는 사람이 KBS 공채 붙었다는데","주유소8 "," ","05.08"
"근데 함수정성우는 원래 애니에 잘 안나오시지 않았나?","ㅇㅇ "," ","05.08"
"mbc cm 기수는 mbc 극회 내에서 입지가 어땠을까","ㅇㅇ ","223.62 ","05.08"
"190507 투니버스 짱구 12기 재더빙 웃음소리 들어있습니다","Kani2019 "," ","05.08"
"케피스 투피스 대피스 모아도 쓰잘데가 없는 거 같네","ㅇㅇ ","193.70 ","05.08"
"대체 대원은 토에이랑 무슨 관계냐","ㅇㅇ "," ","05.08"
