"dc_title","dc_writer","writer_ip","dc_date"
"엔드게임 마지막 틀딱아메리카 어디서튀어나온거냐?","ㅇㅇ ","114.206 ","05.08"
"샘스파 때는 스파이더맨 공머생 설정 있지 않았나","ㅇㅇ ","218.152 ","05.08"
"플래시 시즌4 5화 씹좆극혐이네","ㅇㅇ ","119.195 ","05.08"
"치들좌는 마지막전투때 슈트어디서난거임?","ㅇㅇ ","124.80 ","05.08"
"와 오랜만에 아이언맨 1재탕하는데 왜 이리 재밌지","ㅇㅇ ","211.203 ","05.08"
"디씨영화는 어린이용","ㅇㅇ ","221.142 ","05.08"
"매블식 밸런스조정 = 감당 안되게 쎄면 죽인다","ㅇㅇ ","27.35 ","05.08"
"가오갤1까진 꿀잼 맞다","ㅇㅇ ","27.35 ","05.08"
"cgv엔드게임 이벤트","ㅇㅇ ","1.238 ","05.08"
"헐크 근데 진짜 은퇴각이냐?","ㅇㅇ ","14.63 ","05.08"
"마동석 무슨 역활일지 궁금하다","ㅇㅇ ","222.104 ","05.08"
"존 왓츠 이새끼 마인드가 빌런 아니냐","ㅇㅇ ","222.107 ","05.08"
"내 아는 사람 중에 마블에 과몰입하는 사람있는데","ㅇㅇ ","223.62 ","05.08"
"스파이더맨 이번에는 카메라 좀 움직이자","ㅇㅇ ","222.96 ","05.08"
"근대 시발 생각해보니까","ㅇㅇ ","175.125 ","05.08"
"근데 마동석 몸에 문신하나 없는거 신기하긴함","ㅇㅇ ","124.216 ","05.08"
"근데 캡마는 대체 뭐하다 쳐늦게 온거지?","ㅇㅇ ","175.197 ","05.08"
"드랙스 vs수르트 둘이 지능대결하면 누가이김?","ㅇㅇ ","124.80 ","05.08"
"엔겜 라순이는 호감형임.","ㅇㅇ ","221.156 ","05.08"
"스파이더맨vs드랙스","구욹 "," ","05.08"
"솔직히 아바타가 역대1위 찍을만하다고 봄? ","ㅇㅇ ","175.197 ","05.08"
"히갤러들 일본만화에 상대적 우월감 느끼는거 뭐냐?ㅋㅋㅋㅋ","ㅇㅇ ","14.63 ","05.08"
"가오갤다시보는데 드랙스 이새끼도 존나웃김ㅋㅋ","ㅇㅇ ","124.80 ","05.08"
"이터널즈 반드시 나올드립","ㅇㅇ ","175.197 ","05.08"
"걍 멀티버스 연게 앞으로 두고두고 발목잡을거같다","ㅇㅇ ","218.235 ","05.08"
"타노스 사가에서 진심 제일 안타까운점 딱 하나","ㅇㅇ ","175.197 ","05.08"
"엔드게임 최고로 아쉬웠던점 3가지","rocket ","114.201 ","05.08"
"솔직히 외국인 입장에선 웡이랑 마동석 구분못함","ㅇㅇ ","124.216 ","05.08"
"파프롬홈 예고편 볼수록 잘뽑았네","ㅇㅇ ","175.223 ","05.08"
"레플1 주인공 남자가 뉴엑스맨 사이클롭스네 ","ㅇㅇ ","175.197 ","05.08"
"블위가 사람들죽었다고 5년간 징징대는게 샘없어서 아님?","ㅇㅇ ","223.62 ","05.08"
"이터널즈가 정확히 어떤 애들임?","ㅇㅇ ","222.96 ","05.08"
"미국에서 캡마 지지하는 여론이 있다는게 놀라움","ㅇㅇ ","218.235 ","05.08"
"형들 단순 재미나 이런 건 보통 일본 만화가 미국 히어로물보더 나아?","ㅇㅇ ","211.36 ","05.08"
"엔겜 젤 슬펐던 장면 이거아니냐","ㅇㅇ ","175.197 ","05.08"
"아이언맨 기술이있는데 안써먹는게 더이상함","ㅇㅇ ","180.70 ","05.08"
"제임스캐머런이 MCU 연출하면 루쏘보다 잘할까?","ㅇㅇ ","61.82 ","05.08"
"툰 샌드위치 존나 재밌네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ","ㅇㅇ ","61.106 ","05.08"
"근데 마동석 한국이니까 우와 쎄보임하지","ㅇㅇ ","218.235 ","05.08"
"마동석 영어는 잘하냐??","ㅇㅇ ","223.39 ","05.08"
"데오퓨랑 토르1 디스트로이어 같은애들이냐? ","ㅇㅇ ","175.197 ","05.08"
"토르1 다시 보니 나름 볼만하노","ㅇㅇ ","1.251 ","05.08"
"DC코믹스는 왓치맨 다크나이트처럼 단독영화 위주로 가야할듯","ㅇㅇ ","211.46 ","05.08"
"철남3보는데 익스트리머스애들 너무쌘거아니냐?","ㅇㅇ ","211.245 ","05.08"
"디시 입문 할려는데 영화 뭐뭐 보면 됨?","ㅇㅇ ","218.53 ","05.08"
"확실히 세대교체 하긴해야댐","ㅇㅇ ","175.197 ","05.08"
"블위년 5년동안 캡틴이랑 섹스 오지게했겠지?","ㅇㅇ ","59.22 ","05.08"
"어벤져스 볼때마다 좆같은 게","오데마 ","125.133 ","05.08"
"토르가 캡마 앞에서 스톰브레이커 부른 이유가 쪼나 안쪼나 확인하려고임?","ㅇㅇ ","61.82 ","05.08"
"좆커 예술영화처럼 나온다는 썰 돌던데","ㅇㅇ ","175.197 ","05.08"
"루소형제 좆같지 않냐?","ㅇㅇ ","124.216 ","05.08"
"엑스맨 퀵실버 보고 어벤저스 퀵실버 보니까 개ㅂㅅ이네","ㅇㅇ ","180.64 ","05.08"
"인워에서 로키 안죽었으면 토르","ㅇㅇ ","222.108 ","05.08"
"미스테리) 엔겜 토렌트버젼 자막 진짜 이상한부분","ㅇㅇ ","175.197 ","05.08"
"ㄹㅇ 캡마는 론다 로우지가 했어야함","ㅇㅇ ","121.148 ","05.08"
"엔겜 마지막 전투씬 어디서 볼수있음?","ㅇㅇ ","47.74 ","05.08"
"룸메 때문에 매블충 혐오 생길거같음","ㅇㅇ ","210.223 ","05.08"
"개뽕차네","좆-콩 "," ","05.08"
"조커 존나 기대중이다","ㅇㅇ ","221.142 ","05.08"
"전투는 프라이데이가 하는데 모건이 지금부터 2대하면 안됨?","ㅇㅇ ","124.80 ","05.08"
"너무 빨라서 못봤는데 타노스가 스톰브레이커 들었냐?","ㅇㅇ ","223.62 ","05.08"
"내생각에 브리라슨은 사각턱중 ㅅㅌㅊ라 캐스팅한듯 ","ㅇㅇ ","175.197 ","05.08"
"페퍼는 뭔 수로 그렇게 잘싸움?","갓루이프 "," ","05.08"
"브리라슨정도면 이국주보단 예쁘지?","ㅇㅇ ","61.82 ","05.08"
"내가 블랙 위도우 솔로 영화를 ㅈㄴ 보고싶어하는이유","ㅇㅇ ","175.223 ","05.08"
"페퍼포츠 아이언우먼 나오면 안되냐? ","ㅇㅇ ","175.197 ","05.08"
"근데 스톰브레이커 크기 키운건 신의한수인듯","완전히맛이간짤쟁이 "," ","05.08"
"근데 부다페스트에서 뭔지랄을 했길래","오데마 ","125.133 ","05.08"
"아이언우먼 나올거다","ㅇㅇ ","221.142 ","05.08"
"테스트","ㅇㅇ ","58.225 ","05.08"
"샤잠이랑 와습을 절대금액으로 비교하면 안되지","ㅇㅇ ","175.197 ","05.08"
"마블이고 디씨고 모르겠고 결혼식 하객 원피스나 보고가라","ㅇㅇ ","121.131 ","05.08"
"핑거스냅 아이언맨 말고 그루트가 했음 됐네","디벨 "," ","05.08"
"토니스타크는 반쪽짜리 천재지","ㅇㅇ ","124.216 ","05.08"
"MCU Top 10","ㅇㅇ ","125.176 ","05.08"
"앤트맨와스프 2억5천 벌고 망소리듣고 씨발 섀잼은1억5천벌고 흥했대 씨발","ddd ","121.142 ","05.08"
"슈리가치료한 백인남자가 누구냐? cia요원말고","ㅇㅇ ","14.40 ","05.08"
"맨티스가 드랙스랑 안한 이유는 뭐임","ㅇㅇ ","122.202 ","05.08"
"할리 카너 걔도 슈트만들급  천재아님?","ㅇㅇ ","124.80 ","05.08"
"캡마가 물맨 진짜 잡겠다.","ddd ","121.142 ","05.08"
"네불라도 미스틱처럼 원래 얼굴이 따로 있으면 좋겠다","ㅇㅇ ","122.202 ","05.08"
"꼴페미 좆같지만 캡마 페미사상은 마음에 들던데 ㅇㅇ","ㅇㅇ ","175.197 ","05.08"
"네뷸라랑 캡마랑 일면식 있냐","격잘알못 ","203.251 ","05.08"
"원작에선 핑거스냅해도 몸에 무리같은거없음?","ㅇㅇ ","211.114 ","05.08"
"근데 돌격씬에서 맨티스가 맨앞에 있는거 병신같던데","ㅇㅇ ","124.216 ","05.08"
"제임스로드는 닥스한테 한소리안하냐","ㅇㅇ ","175.223 ","05.08"
"블랙팬서에 깜둥이들이하는 한국말이 더 한국말같음","ㅇㅇ ","14.40 ","05.08"
"mcu 스파이더맨 슈트 뭐가 제일 좋냐?","ㅇㅇ ","125.176 ","05.08"
"용아맥 2d 토요일 자리 건짐 ","ㅇㅇ ","175.223 ","05.08"
"그냥 과거로 가서 포탈열고 핵날리면 끝아니냐? ","ㅇㅇ ","175.197 ","05.08"
"DCEU 일단 샤잠이 흥행은 했지?","AntiFog "," ","05.08"
