"dc_title","dc_writer","writer_ip","dc_date"
"마카롱꼬끄 쫀득이 정상?","ㅇ ","218.39 ","05.08"
"푸딩 뒤집어 뽑아서 접시 위에 올리는법","인생에낙이없어 "," ","05.08"
"부타산도 보관","ㅇㅇ ","61.84 ","05.08"
"쟝블 맘모스 처음 먹어봤는데","ㅇㅇ ","211.246 ","05.08"
"서울대입구 아띠 개인적인 리뷰...","ㄹㄹ ","211.177 ","05.08"
"식용색소 유통기한 2017년까지인데 써도 됨?","ㅇㅇ ","49.165 ","05.08"
"신흥제과 초코쿠키 2kg 7880원에 구입","ㅇㅇ ","222.101 ","05.08"
"어버이날 선뮬로 초콜릿 사려는데","ㅇㅇ ","223.62 ","05.08"
"아보카도 너무 많이 처먹는듯 ","ㅇㅇ ","125.134 ","05.08"
"요새 핫한 과자 추천좀 해주세여","ㅇㄴ ","222.103 ","05.08"
"오늘 인터넷으로 과자 살거 있으면 티몬에서 사라","ㅇㅇ ","222.101 ","05.08"
"빕스 버거 - 빕스 클래식 버거","햄버거 ","211.204 ","05.08"
"카야잼은 무슨맛이야?","ㅇㅇ ","211.36 ","05.08"
"오븐온도계 열선에 걸어도 돼?","ㅇㅇ ","119.202 ","05.08"
"회전형 광파오븐인데 세라믹 피자스톤 vs 롯지 8인치","ㅇㅇ ","223.38 ","05.08"
"딸기잼 질려서 그러는데","시노부o "," ","05.08"
"오레오 생크림을 만들고 싶은데요!","ㅇㅇ ","183.96 ","05.08"
"갤러분들은 건포도 모카빵 어떻게 생각하나요","시노부o "," ","05.08"
"우리나라 제과업체들은 왜 트랜스지방을 돈받고 팔까","ㅇㅇ ","117.111 ","05.08"
"케이크나 마카롱 납품","ㅇㅇ ","14.35 ","05.08"
"혼자서 설빙가보고싶은데 혼자설빙가본 사람있냐?","ㅇㅇ ","223.39 ","05.08"
"하겐다즈랑 젤라또 질감 차이?","ㅇㅇ ","223.62 ","05.08"
"빵중에서 가루 많고 안에 크림있고 고구마맛나는빵이름","ㅇㅇ ","121.175 ","05.08"
"여름대비 JMT아이스크림 추천해준 ","ㅇㅇ ","117.111 ","05.08"
