"dc_title","dc_writer","writer_ip","dc_date"
"근데 태블릿으론 뭔게임함?","공룡. "," ","05.08"
"강의 필기(페이퍼리스)는 아이패드가 더 좋은거 맞잖아","ㄹㄹ ","218.51 ","05.08"
"안드로이드 태블릿 카톡 언제나와?","ㅇㅇ ","14.54 ","05.08"
"미니로 게임하니까 지린다","ㅇㅇ ","223.39 ","05.08"
"에어3랑 미니5 중에서 어떤게 애플의 지뢰냐","ㅁㅁ ","211.109 ","05.08"
"프로3 지금사면 현역으로 몇년쓰냐","ㅇㅇ ","223.62 ","05.08"
"거치대 좀 길고 좋은거 추천좀","ㅇㅇ ","125.187 ","05.08"
"지금도 지하철에서 미니쓰는데","공룡. "," ","05.08"
"프로 2세대랑 갤탭 s4 비교하면 사용 시간은 갤탭쪽이 훨씬 높은 듯","ㅇㅇ ","125.183 ","05.08"
"니들 전면만 대충 보고 프로3이랑 갤오이 구분가능?","ㅇㅇ ","125.187 ","05.08"
"딸칠때랑 섹1할때 차이점","ㅁㅁ ","211.109 ","05.08"
"아이패드 미니가 정말 애매한거같다","ㅇㅇ ","223.62 ","05.08"
"태블릿이 별게 아니잖음.. 걍 사이즈큰 스마트폰이니까","ㄹㄹ ","218.51 ","05.08"
"아무튼 s5e 살 사람사라","죠립홍 "," ","05.08"
"태블릿도 잠금해놈???","ㅎㅎ ","112.149 ","05.08"
"근데 왜 카톡 안드패드 버전은 안나오냐","ㅇㅇ ","39.7 ","05.08"
"근데 진짜 궁금해서 묻는건데 아이패드가 태블릿시장","ㅇㅇ ","110.70 ","05.08"
"여기는 그냥 하루종일 싸우는데 맛들림 ㅋㅋㅋㅋ","ㅇㅇ ","175.223 ","05.08"
"탭오이 유저들의 생각","죠립홍 "," ","05.08"
"삼성폰 삼성노트북 삼성패드 ㅁㅌㅊ","ㅇㅇ ","141.223 ","05.08"
"praise the apple!","ㅇㅇ "," ","05.08"
"야 어차피 태블릿은 서피스가 죳바르게되있어 힘빼지마","ㅇㅇ ","221.145 ","05.08"
"안드 태블릿은 진짜 초토화네","ㅇㅇ ","211.202 ","05.08"
"안드탭 얼마나 빨게 없으면","111 ","49.168 ","05.08"
"근뎃 또래오래 콘듀치킨 맛있냐??","ㅇㅇ ","39.7 ","05.08"
"야 공홈 결제는 신용카드밖에 안되냐??","ㅇㅇ "," ","05.08"
"이쯤되서 서열 정리합니다","ㅇㅇ ","211.220 ","05.08"
"프로3이랑 서피스 옆에 펜붙는거 좃간지","김초록 ","210.111 ","05.08"
"아이패드 화면끌때랑 밝기조절할때 빨간화면 보이는거","ㅇㅇ ","223.62 ","05.08"
"솔직히 스위치가 셀룰러됐으면 아이패드 쳐다도안보지","ㄹㄹ ","218.51 ","05.08"
"념글 컷 존나낮네ㅋㅋㅋ","ㅇㅇ ","175.223 ","05.08"
"애플이 원래 속임수=트릭을 잘씀","ㄹㄹ ","218.51 ","05.08"
"아이패드는 동영상이 120헤르쯔로 보이는데 탭오이가 왜 영상용이냐","ㅇㅇ ","39.7 ","05.08"
"내가 아는 타의적 기부 2례","죠립홍 "," ","05.08"
"오이는 치명적인 단점이 있다.","ㅇ ","121.140 ","05.08"
"오이충새끼들 근데 호성이도 먹은거임?","ㅇㅇ ","211.220 ","05.08"
"갤오이 까는애들 갤호성있는 애들 아님?","문린이 "," ","05.08"
"밑에 별사진 아이패드 에어3냐?","ㅇ ","121.140 ","05.08"
"버벅이 사는건 사실상 뇌가 가출하지 않는 이상","ㅇㅇ ","211.220 ","05.08"
"그래서 영상쪽은 탭오이 &gt;&gt;&gt; 프로3 맞죠?","ㅇㅇ ","39.119 ","05.08"
"탭오이 프로3한테까지 비빌라 하네","Sdf ","49.168 ","05.08"
"앱등이들 흔한 착각.txt","죠립홍 "," ","05.08"
"얘들아 그럼 갤오이 lte신호는 문제없냐??","ㅇㅇ ","39.7 ","05.08"
"감당할 비용하고 운영체제 선호도 고려해서 쓰셈","rav "," ","05.08"
"이러다 진짜 탭5 나오면 태블릿시장 삼성이 먹는거아니냐 ??!","ㅇㅇ ","110.70 ","05.08"
"오이가 이렇게 개쩌는데 오성은 어떨까??","ㅇㅇ ","39.7 ","05.08"
"애플이 자랑하는 120hz 프로모션 어디어디 적용되는지좀 알려주실분?","ㅇㅇ ","39.119 ","05.08"
"오이충들의 일관성","ㅇㅇ ","211.220 ","05.08"
