"dc_title","dc_writer","writer_ip","dc_date"
"4.28점수","ㅇㅇ ","175.125 ","05.08"
"파고다 모의집 풀고 문제암기하고 토익300점 넘게오름","ㅇㅇ ","223.39 ","05.08"
"토익문제질은 ets보다 파고다가 낫다","ㅇㅇ ","223.39 ","05.08"
"토익 시험지에 필기하면 시험 무효처리되?","ㅇㅇ ","119.201 ","05.08"
"7시간 53분 남앗다...","11 ","211.206 ","05.08"
"8시간후에","ㅇㅇ ","175.125 ","05.08"
"토익 700을 만만하게 보는인간들 뭐냐?","ㅇㅅㅇ ","110.45 ","05.08"
"여기 토익강사 이명진, 김진영 아는 사람 있냐?","ㅇㅇ ","220.84 ","05.08"
"lc고수 게이들 내 문제가 뭔지 어떻게 해야하는지좀 알려주라","ㅇㅇ ","222.101 ","05.08"
"얼평 팩폭점해주셈","카톡 ","125.139 ","05.08"
"군인 토익노베","ㅇㅇ ","223.39 ","05.08"
"내일점수나온다..","ㅇㅇ ","175.195 ","05.08"
"키180은 되는데 얼굴이 존못이라.. ","저게 ","211.229 ","05.08"
"모의토익 답지는 어디서 구함???","ㅇㅇ ","175.223 ","05.08"
"LC리뷰 하는데 어느방향으로갈지 터치부탁드립니다 ㅠ","초코링 "," ","05.08"
"5형식동사도 모르는데 토익하는새기 이해가안간다","ㅜㅜ워홀충 "," ","05.08"
"원래 lc에서 파트 2가 젤 어렵나요?","ㅇㅇ ","223.62 ","05.08"
"인강들으면서 토익기본서에 필기vs빈노트에 정리","ㅇㅇ ","211.36 ","05.08"
"인강들으면서 토익책에 필기하기vs빈노트에 정리하며 공부하기","ㅇㅇ ","211.36 ","05.08"
"한 문항당 시간제한 얼마나 두는게 좋을까","ㅇㅇ ","223.39 ","05.08"
"토익 어케해야될지 머리 깨질거같은데 인강 추천점","ㅇㅇ ","59.18 ","05.08"
"호주성우 시험에 얼마나나옴?","ㅇㅇ ","220.125 ","05.08"
"LC 따라읽다가 이제 안하는데 맞는 방법일까요?ㅠㅠ","초코링 "," ","05.08"
"수능이나 평가원 기출로 공부하는거 ㄱㅊ?","ㅇㅇ ","223.39 ","05.08"
"2017년에 산 기본서로 공부해도 되나요?","ㅇㅇ ","122.44 ","05.08"
"토익 성적발표 시간이 몇시임?","ㅇㅇ ","119.196 ","05.08"
"해커스 1000제2 푸는데","ㅇㅇ ","220.125 ","05.08"
"여기알바글 거르는 방법...","19교행 "," ","05.08"
"울나라 영어 배우는거 ㅈ같음","ㅇㅇ ","59.21 ","05.08"
"Rc장애인 lc (공부방향?)질문","ㅇㅇ ","222.103 ","05.08"
"산타토익 고소 할려는데","ㅇㅇ ","221.153 ","05.08"
"875점인데 950가려면 어떻게하면될까여","19교행 "," ","05.08"
"노베 750이 높은거임?","ㅇㅇ ","39.7 ","05.08"
"토익고수들 인강 추천좀.","ㅇㅇㅌㅌ ","59.28 ","05.08"
"가볍게 풀만한 문제집 있음?","ㅇㅇ ","125.138 ","05.08"
"570이면 600강의 들을까요 700들을까요","ㅇㅅㅇ ","211.36 ","05.08"
"모의토익 시험지는 별도로 못구하나요???","ㅇㅇ ","218.155 ","05.08"
"토익 씹노베","아 ","211.36 ","05.08"
"노베놈들 필독","ㅇㅇㅇ ","110.70 ","05.08"
"해커스 노랭이 질문","제로베 ","210.113 ","05.08"
"야 우리 한국도 몰래 핵같은거 개발하고 있는거 아니냐?","ㄹㅇ ","121.131 ","05.08"
"워드마스터2000","고등어먹기 "," ","05.08"
"조조토익 괜찮네","ㅇㅇ ","211.36 ","05.08"
"오픽이나 토스 전화영어 해본게이??","ㅇㅇ ","175.223 ","05.08"
"민트보라 난이도 어떤거임?","ㅇㅇ ","175.223 ","05.08"
"학원에 왜 가냐 ㅋㅋ","ㅇㅇㅇ ","1.236 ","05.08"
"토익은 노베이스 850이네","ㅇㅇ ","221.154 ","05.08"
