"dc_title","dc_writer","writer_ip","dc_date"
"오늘 ....","토츠카사이카 "," ","05.08"
"건담이나 로봇은 홍제, 미소녀 스케일은 데톨프","ㅇㅇ ","220.117 ","05.08"
"지금 도쿄건베에서 파는거 정리해둔거 없나??","IsKa "," ","05.08"
"개씨발 빡치네","설사김치덮밥 "," ","05.08"
"MG 표준이 딱 스트라이크 리마스터 같음","asdas "," ","05.08"
"근데 그 중국제 무명역류 인가 그거 프리덤 사본 갤럼은 없음?","그럴수도있지 "," ","05.08"
"알콩 팔관절 좀 풀어주기만 하면 되는데","띠용뽀용 "," ","05.08"
"다이소에서 파는 줄 세트 ㄱㅊ?","과수원사과맛 "," ","05.08"
"아니 줘도 난리여","그럴수도있지 "," ","05.08"
"나만 디시 공앱 서버 븅신이냐","얼음창창 ","112.152 ","05.08"
"더판) 디비전2 골드에디션+월드워z","머구머구 "," ","05.08"
"알밴시 암드아머 못산거 개후회된다","띠용뽀용 "," ","05.08"
"1등상은 걸판 프라모델","ㅇㅇ ","221.159 ","05.08"
"박스 존나 모아다가 안에 다 집어넣은 다음에 박스에 번호 써놓고","ㅇㅇ ","221.159 ","05.08"
"아니시발 나눔 추첨끝나자마자 갤서버 정상되네","보따리장 "," ","05.08"
"나두 내일 청소 끝나면 나눔 랜덤박스 할거다","ㅇㅇ ","221.159 ","05.08"
"아 그러네 원하는거 착불 나눔이라고 하고","ㅇㅇ ","221.159 ","05.08"
"버리기 아까워서 나눔하는거라서 정말 쓰레기들임","ㅇㅇ ","221.159 ","05.08"
"하이레졸 윙제로 스페셜코팅 이거","그럴수도있지 "," ","05.08"
"퍼건 더빙 괜찮네","ㅂㅈㄷㅈ ","121.165 ","05.08"
"추첨2개 동시진행이네 피지컬이중요함","보따리장 "," ","05.08"
"아야메 괜히 산거 같음","띠용뽀용 "," ","05.08"
"시스쿠드 족보가 어케되냐?","준코코 "," ","05.08"
"경매 더판 빨리 물건 더 올려","ㅇㅇ ","223.62 ","05.08"
"oo간단 가입 인증 1콩 지급oo","슈슈슛돌 ","114.207 ","05.08"
"경매 현금결제가 좋습니까 카드결제가 좋습니까","분노조절장애 "," ","05.08"
"오늘 거래 하면서 느낀건데...","ㅇㅇ ","1.210 ","05.08"
"사과문 올려도 지랄하는 근첩새끼들 왜이리 많아졌냐","ㅇㅇ ","121.152 ","05.08"
"형님들 토린이 일마존 예구 질문","ㅇㅅㅇ도와줘 "," ","05.08"
"엔겜 좀 아시운거","ㅇㅇ ","121.184 ","05.08"
"경매 입금 어케함?","분노조절장애 "," ","05.08"
"마블레전드 10주년 럼로우만 팔면 사가냐","ㅇㅇ ","183.98 ","05.08"
"다팜","그럴수도있지 "," ","05.08"
"아 그리고 대신 오면 골라서 못가져감 다가져가야됨","ㅇㅇ ","221.159 ","05.08"
"로젠 롯데 경동 거르는3신기","보따리장 "," ","05.08"
"풀 아머 건담 설계자체가 이상힌게됬네","허비스더브니 "," ","05.08"
