"dc_title","dc_writer","writer_ip","dc_date"
"부산 당일치기로 갈만한곳 추천좀","大阪民國 ","121.169 ","05.08"
"승차권을 끊지않았거나 유효하지 않은 승차권 탑승하다 적발했을 때","현대뽑은우주 "," ","05.08"
"부산 괜찮은 모텔은 얼마함?","ㅇㅇ ","121.169 ","05.08"
"쿨메트로 가상노선도 이정도 만드려면...","현대뽑은우주 "," ","05.08"
"한인간 프로필","ㅇㅇ ","121.165 ","05.08"
"강릉 - 부전 끊은 갤런데","ㅇㅇ ","121.169 ","05.08"
"철갤에서 취민자이 하는놈들 보면 좀 말리고싶다","A12XBionic "," ","05.08"
"타갤런데 ktx 편도예매랑 왕복예매랑 가격이 달라요?","ㅇㅇ ","110.70 ","05.08"
"실시간으로 내가 타고있는 열차의 빈자리 알 방법 없냐?","ㅇㅇ ","211.63 ","05.08"
"강릉ㅡ부전 예약함 ㅅㅅ","大阪民<U+56FD> ","106.101 ","05.08"
"원종홍대선 gtx역 들렀다가 인천쪽으로 가겠지?","ㅇㅇ ","218.233 ","05.08"
"저는 이우현이라는 사람입니다.","ㅇㅇ ","175.223 ","05.08"
"주안-청담 출근하는데 온수역 급행 안서는거 좆같음","ㅇㅇ ","58.238 ","05.08"
"최민재 중국이름이 취민자이였구나","ㅇㅇ ","121.176 ","05.08"
"혹시 호남선 도보 정복한 인원 있음??","ㅇㅇ ","211.36 ","05.08"
"한","ㅇㅇ ","14.45 ","05.08"
"요새 지하철에서 하는 짓.txt","ㅇㅇㅇ ","175.223 ","05.08"
"그만해 이것들아. 그러다 취민자이가","ㅇㅇ ","223.38 ","05.08"
"KTX산천 창문짤리는 자리 있음요?","大阪民<U+56FD> ","106.101 ","05.08"
"근데 한인간은 만나면 피자랑 돈까스 사준다는데","ㅇㅇ ","220.117 ","05.08"
"취민자이 본명은 취민자이가 아니다","ㅇㅇ ","175.223 ","05.08"
"취민자이 영등포여중시절 어떻게 지냈냐","ㅇㅇ ","175.223 ","05.08"
"자동차와 고속도로를 부정하는 한인간","ㅇㅇ ","210.119 ","05.08"
"취민자이 대륙인의 정신을 가지고 살고있냐?","ㅇㅇ ","175.223 ","05.08"
"cu<U+012B>m<U+01D0>n z<U+01CE>i","ㅇㅇ ","211.36 ","05.08"
"취민자이 사과문 안쓰고 갤질하고있네","ㅇㅇ ","175.223 ","05.08"
"그런데 신선대역-서울역 무궁화호 어떰?","스즈카제아오바 "," ","05.08"
"취민자이 일베충이었네","ㅇㅇ ","221.168 ","05.08"
"휴가나가서 강릉ㅡ부전 완주할라는데 가능?","大阪民<U+56FD> ","106.101 ","05.08"
"최장시간 열차 뭐있음?","大阪民<U+56FD> ","106.101 ","05.08"
"한인간 자기 이름이 취민자이인걸 인정했다","ㅇㅇ ","39.7 ","05.08"
"취민자이피셜 똥꼬충은 변태다","ㅇㅇ ","39.7 ","05.08"
"겁쟁이가 장애인보다 낫다고 생각한다","ㅇㅇ ","39.7 ","05.08"
"취민자이 똥꼬충임? ","ㅇㅇ ","39.7 ","05.08"
"태군이 그래도 전문대 나왔는데","ㅇㅇ ","39.7 ","05.08"
"취민자이 철도만이 교통이라 했는데","ㅇㅇ ","39.7 ","05.08"
"프리파라 공식카페에서 왔는데 한인간이라는 새끼 가져가십쇼","클라라엔젤 라라 ","175.223 ","05.08"
"누가 프리파라 카페가서 취민자이 만행 사과문좀 적어줘","ㅇㅇ ","175.223 ","05.08"
"최민재 취민자이라고 인정하다","ㅇㅇ ","39.7 ","05.08"
"영등포여중 졸업한 취민자이님 계신가요","ㅇㅇ ","175.223 ","05.08"
"폐조센국은 귀일본국에 절대복종을 맹세합니다 ","ㅇㅇ ","223.39 ","05.08"
"취민자이 자지가 코끼리 자지라서 그걸로 골프친다며","ㅇㅇ ","221.168 ","05.08"
"허수아비돈까스 먹고싶으면댓글달아라","한인간 ","1.243 ","05.08"
"서리풀터널 뚤렸는데 2호선하고 7호선 직결하면 안되냐?","꾸라의주방 "," ","05.08"
"emu 들어오면 중앙선 망우~원주도 200 밟을듯","ㅇㅇ ","223.62 ","05.08"
"교통대말고 다른학교 철도과에서 코레일가는거 대부분 운전직아니냐?","ㅇㅇ ","210.222 ","05.08"
"한인간님 존경합니다.","ㅇㅇ ","175.120 ","05.08"
"한인간아저씨는 좆이 다리래 공을 던지면 좆으로 까지요","브런즈윅 ","223.33 ","05.08"
"수색 기지 궁금한 게 있는데","즐거움 ","116.47 ","05.08"
"우리나라 일반열차(기차)는 왜 지하철역개표기를 안씀?","ㅇㅇ ","118.221 ","05.08"
"누가 야마노테선 좋데","ㅇㅇ ","163.49 ","05.08"
"우와. 새절역이 트리플 역세권이 되노..","ㅇㅇ ","115.41 ","05.08"
"부산의 좆밥 울산에 지하철은 사치","신속한흡수 "," ","05.08"
"한인간 필독","ㅇㅇ ","203.232 ","05.08"
"호남고속선 ㅅㅂ 오송 핌피충새끼들 좆같다","권트램 "," ","05.08"
"1984년 전두환대통령이 일본에 방문하셨을때 모습 ㅎㄷㄷㄷ","한국청년 ","118.221 ","05.08"
"emu 개통하면서울에서 서원주까지 시간 얼마나 걸려? ","닝 ","110.70 ","05.08"
"JR 히가시는 은근히 급행을 코레일 같이 굴리네","ㅇㅇ ","211.114 ","05.08"
"제3의 판매승무원 갤러리 ktx 갤러리","ㅇㅇ ","223.62 ","05.08"
"원종홍대선 대장동까지 연장될 가능성은 없음?","ㅇㅇ ","218.233 ","05.08"
"장호원에서 서울나갈때 시외버스타는게 답이지?","ㅇㅇ ","110.70 ","05.08"
"울산은 촌동네 많아서 지하철은 무리다.","ㅇㅇ ","223.62 ","05.08"
"관동대 호텔조리학과 졸업 132kg 무직","윤보라 ","223.38 ","05.08"
"말로는 2021년 3월 31일까지 대체버스로 운송한다고 하지만","ㅇㅇㅇ ","175.223 ","05.08"
"울산에 지하철하면 수요많이나올거같은데..","울산호구 ","118.217 ","05.08"
"3기신도시 여당이 총선앞두고 서북부를 버리는 카드 썼다는게 맞는듯","ㅇㅇ ","1.237 ","05.08"
"자위한국당 해산하라!","ㅇㅇ ","175.223 ","05.08"
"만약 3기신도시 흥덕근처에 지었으면 볼만했을듯","유동아닌고닉 "," ","05.08"
"Apgujeong 역 이거 한궁말로 이럭케 쓰는거 만나요?","뒷구정물 ","175.223 ","05.08"
"관동대 호텔조리학과 질문받는다 ","윤보라 ","110.70 ","05.08"
"한인간이 부울경발전카페에 매일 판매승무원 기원글 올리면 실현됨","신속한흡수 "," ","05.08"
"4기신도시는 서울시내에 건설하자","ㅇㅇ ","223.39 ","05.08"
"갑자기 생각난건데 철갤에 정신병자 많은이유 알아냄","ㅇㅇ ","110.70 ","05.08"
"동해선 원동역 제 시간 안에 개통하려나?","으하 ","175.223 ","05.08"
"한인간에 대한 팩트","ㅇㅇ ","175.223 ","05.08"
"한인간 어록 신고했네","ㅇㅇ ","221.168 ","05.08"
"청주놈들 양심 어디?","니시도쿄공업대학 "," ","05.08"
"미국이 북한하고 전쟁하는 것은 불가능하다...","한국청년 ","118.221 ","05.08"
"경강선 왜 4량임??","희후니 "," ","05.08"
"srt화장실에서 계속 안나오면 무임아니냐 백퍼","에뭉이 "," ","05.08"
"대곡역 정치인들이 주변땅 갖고있냐?","ㅇㅇ ","14.42 ","05.08"
"빅보이 너무 좋아요","읔카 "," ","05.08"
"김제는 전주권? 익산권? 군산권?","류지 "," ","05.08"
"근데 철갤은 5~6년전부터","ㅇㅇ ","110.70 ","05.08"
"다원시스차 잔고장 많냐","ㅇㅇ ","1.237 ","05.08"
"351910 이 열차는 뭔데","ㅇㅇ ","175.223 ","05.08"
"야 우리 한국도 몰래 핵같은거 개발하고 있는거 아니냐?","ㄹㅇ ","121.131 ","05.08"
"노조는 노인무임에 대해 어떤 입장이냐?","ㅇㅇ ","59.25 ","05.08"
"복복선 부지가 있다고 하면 공사비 어느정도??","대됴 ","117.111 ","05.08"
"나를사칭하는 겁쟁이인간들은보아라","한인간 ","39.7 ","05.08"
"민재배 빵빵","ㅇㅇ ","221.168 ","05.08"
"한심한새끼 이름 최민재 아님","ㅇㅇ ","211.252 ","05.08"
"근데 한인간 만날 때마다 느낀 건데","ㅇㅇ ","175.223 ","05.08"
"니들 레드빈 조심해라","ㅇㅇ ","175.223 ","05.08"
"하루 한번 대전국제공항 찬양 10일차","권트램 "," ","05.08"
"교통여대는 동덕대급!","ㅇㅇ ","223.39 ","05.08"
"대한민국 다시 고도성장 하려면.","한국의감성발라드꽁냥 ","183.96 ","05.08"
"한인간이 방금 나에게 똥꼬색스하자고 문자보냄","ㅇㅇ ","175.223 ","05.08"
"철갤 서대동부 어그로들","A12XBionic "," ","05.08"
"한인간 요즘도 엉덩이털 밀고 다니냐???","ㅇㅇ ","175.223 ","05.08"
"버스는 출고장이 공개되는마당에 지하철철도 출고장을 공개","ㅌㅌㅌㅌ ","211.207 ","05.08"
"취민자이는 거기가 커서 항상 다리가 3개라고 불리지","ㅇㅇ ","175.223 ","05.08"
"오늘은 어버이날인데 취민자이는 일 안하고 놀러가겠지","ㅇㅇ ","175.223 ","05.08"
"상주역, 점촌역 승강장에 고객 대기실은 왜 만드는 거지?","신이문역 "," ","05.08"
"부산 경부선 폐선의 의문점","ㅇㅇ ","110.70 ","05.08"
"유튜브 철스퍼거들 덧글 특징","ㅇㅇ ","110.70 ","05.08"
"동북선 마들연장 가능하다고 생각함?","ㅇㅇ ","124.146 ","05.08"
"7호선 급행화하면 어떻게 돌리지","ㅇㅇ ","121.190 ","05.08"
"서부선 언제쯤 개통할까?","ㅇㅇ ","223.62 ","05.08"
"9호선 개통후 5호선 강서구 강동구쪽","Chronodiver "," ","05.08"
"근데 5호선 도심구간은","Chronodiver "," ","05.08"
"9호선은 왜 배차간격 1,2기지하철처럼 못하는거?","Chronodiver "," ","05.08"
"Srt 횟수차감형 정기권 매일 아침에 풀림?","ㅇㅇ ","110.70 ","05.08"
"창릉에 신도시 들어서면","ㅇㅇ ","125.177 ","05.08"
"근데 공철 가좌역 왜 안 만들었는지 의문","ㅇㅇ ","1.237 ","05.08"
"김포도시철도 고촌역에서 탈수 있긴하려나?","zeb ","117.111 ","05.08"
"개서울 9호선 혼잡도만 봐도 개서울=짱깨지","신속한흡수 "," ","05.08"
