"dc_title","dc_writer","writer_ip","dc_date"
"내일모레 유니버셜가는데 익스프레스 필요해??","ㅇㅇ ","122.35 ","05.08"
"김해공항 공항버스 6시도착이고 비행기출발 7시35분인데","ㅇㅅㅇ ","112.185 ","05.08"
"도쿄 신 우라야스역 잘아는 형님들 계신가요 ","다따버려 "," ","05.08"
"일본인들은 영국 미국중에 어딜 더 좋아함?","ㅇㅇ ","183.97 ","05.08"
"일본에서 한국인 구별 방법중 하나","누코 ","223.135 ","05.08"
"내가 알고있는지식은 대화안해봐도 이미 잘알것같은 친구는 어떤넘이냐?","ㅇㅇ ","175.223 ","05.08"
"일본 워홀 후기들 찾아보면 일본어 못하는 애들이 워홀은 겁나가네","ㅇㅇ ","221.155 ","05.08"
"나카스 호객행위가 원래심함?","텐가2 "," ","05.08"
"내일 오사카-교토 3박4일가는데 패스좀 봐줘ㅠㅠ","ㅇㅇ ","122.35 ","05.08"
"일본에서 운전 어렵냐...","ㅇㅇ ","175.223 ","05.08"
"외국인이 서울여행오면 어떤 코스로 다니는지 궁금","ㅇㅇ ","175.223 ","05.08"
"나리타 3터미널-&gt;2터미널 어떻게 가요?","ㄱㅈㅂㅈㄱ ","106.102 ","05.08"
"오키나와 맛집 추천점ㅎㅎ","ㅇㅇ ","175.223 ","05.08"
"일본 알바천국같은거 있냐","다네다리사 "," ","05.08"
"핑프미안한데 롯데월드타워 어떰?","ㅇㅇ ","39.7 ","05.08"
"서울여행 외국인 코스가 보통 어떻게 됨?","ㅇㅇ ","39.7 ","05.08"
"5월말에 엔화바꾸는데","Krapli_VEVO "," ","05.08"
"도쿄 6박7일 여행 계획중인데 질문점","Qman ","139.216 ","05.08"
"언제 또 일본 전국 돌아볼 수 있을까","ㅇㅇ ","223.38 ","05.08"
"후쿠오카 먹을 거 뭐가 유명하냐","ㅇㅇ ","211.210 ","05.08"
"님들 숙소는 어떻게잡아요??","항공고향 "," ","05.08"
"일본 텐리시는 어떤곳이에요?","12334 ","218.238 ","05.08"
"키타큐슈 vs 오카야마, 타카마츠","ㅇㅇ ","211.12 ","05.08"
"엔화 지금이라도살까 15일날 가는데 아","유키마츠 ","119.64 ","05.08"
"15일나고야공항도착후 신칸센타고 도쿄갈건데","유키마츠 ","119.64 ","05.08"
"엔화 폭등해서 동남아갈까했는데","ㅇㅇ ","175.214 ","05.08"
"[일본반응]점점 가난해지는 일본","ㅇㅇ ","1.240 ","05.08"
"일본가서 살면 좋은점","ㅇㅇ ","14.52 ","05.08"
"일본에서 축구 어디사이트로봄?","ㅇㅇ ","1.33 ","05.08"
"일본어가 외국어중에서 젤 배우기 만만함?","ㅇㅇ ","14.42 ","05.08"
"롯폰기에 명품 리폼거리가 있음??","ㅇㅇ ","58.238 ","05.08"
"일본에서 게이 BL물이 많은이유가 뭐임?","ㅇㅇ ","14.42 ","05.08"
