"dc_title","dc_writer","writer_ip","dc_date"
"같이일하는직원년 나한테만 말안걸어","강아지 ","110.12 ","05.08"
"인적성 제외 필기시험이 당락 좌우하는 직종은 피해야지","호토리 "," ","05.08"
"와우 진영 넘나 고민된다","ㅇㅇ ","119.71 ","05.08"
"아~ 공무원 하기싫은데..","공룡 ","223.39 ","05.08"
"쓰읍..나도 전두환시절 살았으면","공룡 ","223.39 ","05.08"
"학원강사 미래없는 직종이지?","공룡 ","223.39 ","05.08"
"내일 첫 동와리 련습.","기여운트러리 "," ","05.08"
"해림이 진짜 면접에서 여자때문에 걸러진 경험 있냐?","역식자 "," ","05.08"
"솔직히 우리나라 추녀 차별 노무 심한건 맞는데","호토리 "," ","05.08"
"닭트넘이 약국잡고 결슨 갈거 같아","Nirvana "," ","05.08"
"아 눈 존나간지럽네","ㅇㅅㄴ ","117.111 ","05.08"
"큽 ㅋㅋ","이희호 "," ","05.08"
"신한은행 프로야구 적금은 머냐ㅋㅋ","호토리 "," ","05.08"
"낼새벽4시알지? 킹갓흥 챔슨경기","유즈나 "," ","05.08"
"농구 들어와.","DoJin "," ","05.08"
"왜 고무통의 날은 없지..","지훋 "," ","05.08"
"와버이날 똥우 접속해서 와재햄한테 재롱잔치","Nirvana "," ","05.08"
"아 자식의날은 왜 없어 어버이날만 있고","론델 "," ","05.08"
"어버이날 같은거도 다 상술이잖아.","Nirvana "," ","05.08"
"조센징들 자동차는 왜케 많이 끌고 다니지","Nirvana "," ","05.08"
"공부하랴 알바하랴 죽겠네","공룡 ","223.62 ","05.08"
"햄릿읽는데 김종현이 자꾸 오버랩되서 신경이 날카로워지네","들개 "," ","05.08"
"저 놈들은 살아있을 자격이 없다.","호토리 "," ","05.08"
"근데 와붕이들 독신으로 살거라면서 한 달 500씩이나 필요하노?","호토리 "," ","05.08"
"친구비만 내면 친구가 돼죠??","와재 ","220.78 ","05.08"
"전쟁노래 협곡이랑 알터랙 계곡 가실분","도적 "," ","05.08"
"와 피눈물 나는 우정 모고","가유 "," ","05.08"
"고아를 전쟁병기로 키워","Nirvana "," ","05.08"
"고아 데리고 전장을 전전","가유 "," ","05.08"
"하루 12시간 숙면보장, 월500무상지급","공룡 ","219.249 ","05.08"
"어버이의 날","가유 "," ","05.08"
"국가는 국민에게 인간다운 삶을 살게 할 의무가 있어","Nirvana "," ","05.08"
"딸래기 완봉승 했노","Nirvana "," ","05.08"
"사람이면 하루에 12시간은 잘수잇게 해야해","지훋 "," ","05.08"
"Where do you want to go","들개 "," ","05.08"
"배그 대화한다고 폰꺼냇다노","이희호 "," ","05.08"
"붉은청룡 광주 자택에서 벽 존나 부시고있는중","ㅇㅇ ","121.143 ","05.08"
"롯데리아 버거세트를 8200원 주고 먹는 흑우가 있다?","Elle "," ","05.08"
"앞으로 메좆두 둘 다 발롱도르 주지 말았으면 좋겠네","호토리 "," ","05.08"
"클린 청정 광주 &gt;0&lt;","와재 ","220.78 ","05.08"
"운딸 씹","Nirvana "," ","05.08"
"리슨딱 우승하면 ‘그 귀염둥이 형’ 눈팅하러 온다vs안 온다","호토리 "," ","05.08"
"이번엔 리즌딱 ㄹㅇ 우승각인데","Nirvana "," ","05.08"
"와린이 스톰윈드 어케가나유..","징겅 ","221.145 ","05.08"
"으히히 어제 그래도 좆쥐 대역전극은 봤다","호토리 "," ","05.08"
"클롭은 리준딱해도 아무도못까지 ㄹㅇ...","유즈나 "," ","05.08"
"클롭감동님 준우승 더블까지 제발...","호토리 "," ","05.08"
"ㄹㅇ 네이버 실검보고 개좆도없었나 싶었는데","호토리 "," ","05.08"
"아니 씨발 로또풀 뭐야ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","호토리 "," ","05.08"
"와갤에 구토색기한명 있지않았나 ㅋㄷ","유즈나 "," ","05.08"
"도적아","와재 ","220.78 ","05.08"
"야 우리 한국도 몰래 핵같은거 개발하고 있는거 아니냐?","ㄹㅇ ","121.131 ","05.08"
"꾸레 매수해도 졋네","Nirvana "," ","05.08"
"타이어맛집이나 다녀볼까","d861ch "," ","05.08"
"세계 어딘가에선","d861ch "," ","05.08"
"흐음 이게 나름 타당한 이유였던거야?","와재 ","220.78 ","05.08"
"당신을 믿으려고 애썻엇지만 오늘은 아닌거 같아","Adriel "," ","05.08"
"미친ㅋㅋㄱ ㅋ","기여운트러리 "," ","05.08"
"머고","기여운트러리 "," ","05.08"
"님들아 나 20렙인데 왜 소지금제한임????","징겅 ","221.145 ","05.08"
"사는고 노무힘들어","공룡 ","219.249 ","05.08"
"허허허","Nirvana "," ","05.08"
