"dc_title","writer","dc_date"
"술이 꼭 있어야 됩니다.[1112]  ","김유식  ","02.10.23"
"구와앙악 블루문 뭔맛으로 먹냐[1]  ","ㅇㅇ(223.33)  ","23:44"
"적뇌조 시음기[3]  ","oo  ","23:43"
"엔젤스 넥타르 리치 피트에디션  ","ㅇㅇ(211.202)  ","23:42"
"주린이 한달간 강제 금주 들어간다[1]  ","LovingSkyWithoutWing  ","23:42"
"40분만에 꿀주 16잔 마시고 필름끊겼는데[5]  ","ㅇㅇ(183.99)  ","23:42"
"ㅅㅅ는 넘사벽이 있어서 유트브 불가능  ","체벨(175.113)  ","23:41"
"근데 확실한건 가게에 술사다놓은뒤론 통장에 돈이 모임[10]  ","늒네야  ","23:40"
"형들 로마에서 bdm 못구해요??[5]  ","GR2  ","23:40"
"솔직히 바에서 민폐끼치는 인싸들은 쪼까내더됨  ","소고기＃U＃U  ","23:38"
"난 인싸들도 다희 데려가는데[2]  ","체벨(175.113)  ","23:36"
"뭐먹을지 고민된다 시벌거[4]  ","반건조오징어  ","23:34"
"릴)데스페라도스 받고  ","적양파  ","23:33"
"다희 5인팟은 솔직히 좀 에반 것 같음[6]  ","느금  ","23:32"
"릴) 로쿠진 진토닉 받고  ","물제조  ","23:31"
"4캔 만원중 하나좀 추천해줘[3]  ","ㅇㅇ(117.111)  ","23:31"
"다희 인싸피케이션 너무 심하다[1]  ","ㅇㅇ(59.17)  ","23:31"
"깔바도스 존나 맛난듯[1]  ","까동이  ","23:30"
"위스키 공병 세척은어케해야할까요  ","넘야해  ","23:30"
"힘드네요[3]  ","외롭다  ","23:30"
"온더락 한잔 해야지  ","푸드킬러  ","23:30"
"소주 안주로 맥주랑 피클  ","느금  ","23:29"
"머구에서 벤치마크 올드8 어디서 파냐[1]  ","ㅇㅇ(222.103)  ","23:29"
"좀 이상하게 들릴지 모르겠지만 질문 좀[12]  ","해츨링  ","23:28"
"진토닉 마시고 아쉬운데 하이볼 마실까?[4]  ","체벨(175.113)  ","23:27"
"오늘의 와인[2]  ","ㅇㅇ(223.38)  ","23:26"
"탱커레이 120ml에 취기 올라 먼저 잔다  ","ㅇㅇ(175.223)  ","23:24"
"치돈튀김ㅋㅋ[5]  ","토순쟝  ","23:24"
"소주 좋아하는 아부지께 무슨 와인이 좋을까요[11]  ","까동이  ","23:22"
"우리 (릴) 하자 나부터 시작이야 [2]  ","적양파  ","23:22"
"봄베이를 진정으로 즐기는 사람은 천재인 듯 [1]  ","ㅇㅇ(175.223)  ","23:19"
"막걸리 맥주 다 막겠는데 소주는 못먹겠더라  ","ㅇㅇ(58.239)  ","23:19"
"혼자 감성에 젖어 술마시기 괜찮은곳좀..[6]  ","ㅇㅇ(218.144)  ","23:18"
"캔달잭슨 가볍게 먹기ㄱㅊ음?  ","ㅇㅇ(211.36)  ","23:18"
"감사합니다 처음으로 어버이날 선물 샀네요[3]  ","따현  ","23:17"
"스톤 22 주년 한정판[2]  ","컴공전투력  ","23:14"
"아 맞닼ㅋㅋㅋ 님들 저 자랑할 겈ㅋㅋ 있음ㅋㅋㅋㅋ[4]  ","ㅇㅇ(121.146)  ","23:12"
"주맥리) 마인드 헤이즈 이파[2]  ","ㅇㅇ(218.144)  ","23:12"
"탱커토닉 마시며 남자의취미 채널 보다가 들은 생각[3]  ","ㅇㅇ(175.223)  ","23:12"
"부산 삐에로에는 보타니스트 있으려나  ","스테비아  ","23:10"
"치킨이랑 먹울 편의점먁주 하나만 추천좀[4]  ","병력  ","23:09"
"섹스ㅋㅋㅋㅋㅋㅋㅋㅋㅋ[6]  ","ㅇㅇ(118.160)  ","23:09"
"봄베이 간만에 먹으니 넘모 갓갓인데[1]  ","5&#39;-11.7"".  ","23:09"
"근데 곤약은 왜 안팔어[1]  ","스테비아  ","23:07"
"간장 다먹엇다[1]  ","ㅅㅍ  ","23:07"
"불릿 라이[3]  ","미친과학자  ","23:06"
"위스키 생년 빈티지  ","아이우에오(121.164)  ","23:03"
"술을... 안마시니까..... 너무 출출하다........  ","ㅂㄷㅂㄷ(126.204)  ","23:03"
"자신의 ‘흑역사’도 웃음으로 승화시킨 스타는?","운영자","19.05.07"
"메뉴판 진쟈 커피처럼 쓸수도없고 개ㅇㅓ렵네[39]  ","늒네야  ","23:02"
"좆냥이새끼 메가톤펀치 맥여버렷다[6]  ","부-야  ","23:02"
"님들아 코르크 바사삭 안할라면 매일 30초 정도 뒤집어주면댐?[6]  ","소고기＃U＃U  ","23:01"
"지금 왜 조용하냐고? 어버이날 챙긴다고 조용하겠지[5]  ","ㅇㅇ(121.146)  ","22:59"
"곧 엔젤스 넥타르 피트를 시음하겠습니다[1]  ","ㅇㅇ(211.202)  ","22:59"
"롯데마트 지점별로 행사 다른거[2]  ","ㅇㅇ(221.156)  ","22:59"
"근데 적뇌조는 날아가네[9]  ","토순쟝  ","22:59"
"^^*[6]  ","뱀맨뱀맨뱀맨뱀맨  ","22:58"
"근데 주갤글 퍼나르는사람 많더라[7]  ","브랜디(121.140)  ","22:58"
"갤 지금 조용한 이유[4]  ","궁서(124.63)  ","22:58"
"쌍뇌조[2]  ","돈업썽  ","22:57"
"비노가 주것슴다 (_ _)[6]  ","947097(180.230)  ","22:56"
"아시발 피트[4]  ","D0ve  ","22:55"
"롯데마트 샘아담스 네캔만원 하네?[4]  ","amaretto(112.154)  ","22:54"
"피봄[1]  ","5&#39;-11.7"".  ","22:53"
"갤이 조용하네요 주세 얘기나 할까요[2]  ","고독한미식이(211.248)  ","22:53"
