"dc_title","writer","dc_date"
"워킹 정복 후[2]  ","<U+2728>ㅂㄷㅂㄷ<U+2728>  ","23:43"
"어제 아고고 걸 정산하는데 같이 같다[2]  ","ㄲㄸㄴㄴ(180.183)  ","23:38"
"5~6월 여행 조각방 & 정보 공유방 톡[1]  ","캔(112.151)  ","23:34"
"헐리 이푸알??[3]  ","샹디(223.62)  ","23:32"
"아 ㅅㅂ 안에서 담배를 못피니 시간 존내 안가네  ","비아  ","23:31"
"푸잉 착해  ","ㅇㅇ(223.62)  ","23:30"
"푸잉 몸매 좋음  ","ㅇㅇ(223.62)  ","23:29"
"푸잉 입냄새 없음  ","ㅇㅇ(223.62)  ","23:27"
"형들 하나만 더물어볼께   수완나폼에서 국내선환승 1시간30분 가능할까?[2]  ","1541(58.232)  ","23:25"
"추억의 세부 일기  ","m00n  ","23:25"
"푸잉입냄새가 그리 심하냐??[2]  ","오로나(110.70)  ","23:23"
"진정한 동시발럼이란[2]  ","비아  ","23:22"
"형림들 테메 이푸알??[22]  ","ㅇㅇ(211.36)  ","23:22"
"아 오늘은 일하기 졸라싫네  ","ㅇㅅㅇ얼구리  ","23:19"
"얘들아  ","만수르(58.226)  ","23:18"
"아무나 샣기야ㅑㅑㅑㅑ  ","ㅇㅅㅇ얼구리  ","23:17"
"시발 나 왜이리 여자한테 인기가 많을까[1]  ","ㅇㅇ(223.62)  ","23:17"
"태국애들[2]  ","무림의은둔고츄(223.39)  ","23:13"
"푸잉이랑 사진찍자하면[3]  ","ㅇㅇ(175.210)  ","23:13"
"꽁씹 최적화네 이거ㅋㅋㅋ[4]  ","ㅇㅇ(121.126)  ","23:11"
"아 배가 안고픈데 ㅜㅜㅜㅜㅜㅜㅜ[6]  ","아무나ㅋㅋㅋㅋ  ","23:06"
"내 무의식 속에 이상형은 태국 미인이었음[1]  ","ㅇㅇ(223.62)  ","23:04"
"유식이형 서버좀 사지 또 만두만 샀나[1]  ","야호(211.187)  ","23:03"
"러스트에서 방송하는 ㅅㄲ 누구냐[1]  ","ㅇㅇ(1.47)  ","23:03"
"메리어트 스쿰빗 가격 왜 이렇게 올랐냐[2]  ","ㅇㅇ(223.62)  ","22:59"
"저장 노우~~~[3]  ","하모니(211.59)  ","22:57"
"흥국이 말나와서[3]  ","ㅇㅇ(49.230)  ","22:52"
"아무나 그지임[1]  ","또라이몽  ","22:51"
"영어로 댓글다는형 개웃기네 ㅋㅋㅋㅋㅋ[3]  ","이블린(211.49)  ","22:49"
"아무나 금수저임??[3]  ","ㅇㅇ(211.36)  ","22:47"
"파타야 스카이폴 8000밧 짜리도 있음?[2]  ","파워후(218.234)  ","22:46"
"푸잉하고 영상통화 하는데 존나 달콤하다[5]  ","ㅇㅇ(223.62)  ","22:46"
"아무나가 개병신 같은건[2]  ","ㅇㅇ(117.111)  ","22:45"
"팔라스 번호 두자릿수면[4]  ","ㅇㅇ(175.210)  ","22:44"
"ㅌㄸ에 베트남 일반녀 작업하기 노하우  ","ㅇㅇ(175.120)  ","22:43"
"이거 완전 꽁씹 전용이네ㅋㅋㅋ[1]  ","ㅇㅇ(49.254)  ","22:43"
"800 가지고 한양 오세요[7]  ","또라이몽  ","22:43"
