"dc_title","writer","dc_date"
"김해공항 공항버스 6시도착이고 비행기출발 7시35분인데  ","ㅇㅅㅇ(112.185)  ","23:15"
"도쿄 신 우라야스역 잘아는 형님들 계신가요   ","다따버려  ","23:01"
"일본인들은 영국 미국중에 어딜 더 좋아함?  ","ㅇㅇ(183.97)  ","22:58"
"일본에서 한국인 구별 방법중 하나[3]  ","누코(223.135)  ","22:24"
"내가 알고있는지식은 대화안해봐도 이미 잘알것같은 친구는 어떤넘이냐?  ","ㅇㅇ(175.223)  ","22:09"
"일본 워홀 후기들 찾아보면 일본어 못하는 애들이 워홀은 겁나가네  ","ㅇㅇ(221.155)  ","22:06"
"나카스 호객행위가 원래심함?  ","텐가2  ","21:52"
"이제 서울은 확실히 도쿄급 도시지..  ","ㅇㅇ(211.36)  ","21:09"
"한국의 요코하마가 송도라며[6]  ","일여갤(221.167)  ","20:55"
"초행인데 히라가나 가타카나 통째로 외워가면[2]  ","ㅇㅅㅇ(223.62)  ","20:31"
"내일 오사카-교토 3박4일가는데 패스좀 봐줘ㅠㅠ[1]  ","ㅇㅇ(122.35)  ","20:26"
"전세계 사람들이 일본문화좋아서 온다 떠드는구만...  ","ncaa(39.122)  ","20:24"
"일본에서 운전 어렵냐...[7]  ","ㅇㅇ(175.223)  ","20:00"
"외국인이 서울여행오면 어떤 코스로 다니는지 궁금[1]  ","ㅇㅇ(175.223)  ","19:49"
"오사카 2박3일 꽉찬일정인데[4]  ","ㅇㅅㅇ(223.62)  ","19:18"
"퇴근길 또 지연났습니다 이맛에 갓본 살죠!!![1]  ","프로외노자  ","18:56"
"이거 일본 가라오케 같지 않냐?[9]  ","석천인지  ","18:51"
"나리타 3터미널->2터미널 어떻게 가요?[1]  ","ㄱㅈㅂㅈㄱ(106.102)  ","18:34"
"나가노역 앞에 15~18시 해피타임 생맥한잔 100엔하는 츠키지시장식당[2]  ","렌탈중붕이  ","18:08"
"오키나와 맛집 추천점ㅎㅎ  ","ㅇㅇ(175.223)  ","17:42"
"일본 알바천국같은거 있냐[1]  ","다네다리사  ","17:38"
"핑프미안한데 롯데월드타워 어떰?[1]  ","ㅇㅇ(39.7)  ","17:24"
"서울여행 외국인 코스가 보통 어떻게 됨?[1]  ","ㅇㅇ(39.7)  ","17:24"
"5월말에 엔화바꾸는데  ","Krapli_VEVO  ","16:16"
"도쿄 6박7일 여행 계획중인데 질문점[1]  ","Qman(139.216)  ","16:07"
"언제 또 일본 전국 돌아볼 수 있을까  ","ㅇㅇ(223.38)  ","15:50"
